['0', '135', '738', '91', '537', '716', '90', '762', '596', '490', '766', '66', '745', '336', '55', '714', '48', '578', '718', '320']
['1', '360', '407', '446', '633', '663', '735', '480', '463', '33', '476', '419', '506', '760', '605', '609', '728', '681', '327', '410']
['10', '251', '666', '312', '749', '686', '710', '99', '466', '613', '612', '783', '632', '647', '513', '620', '303', '791', '300', '293']
['100', '310', '701', '322', '5', '77', '673', '53', '47', '41', '590', '525', '344', '585', '376', '470', '460', '631', '81', '61']
['101', '724', '808', '560', '399', '754', '608', '774', '316', '351', '30', '522', '427', '626', '340', '95', '668', '555', '324', '434']
['102', '72', '365', '88', '512', '737', '493', '744', '617', '453', '4', '517', '757', '96', '467', '671', '630', '356', '725', '729']
['103', '207', '69', '672', '776', '56', '385', '321', '733', '472', '291', '384', '634', '416', '494', '92', '417', '600', '437', '804']
['104', '759', '773', '694', '422', '687', '604', '451', '792', '306', '381', '428', '426', '595', '473', '801', '406', '377', '401', '594']
['105', '292', '294', '503', '802', '556', '414', '539', '42', '38', '462', '542', '664', '619', '6', '370', '433', '639', '651', '586']
['106', '767', '502', '412', '713', '779', '818', '337', '696', '442', '597', '575', '787', '746', '75', '439', '669', '786', '521', '544']
['107', '775', '780', '611', '290', '699', '54', '86', '770', '87', '637', '387', '447', '454', '510', '711', '550', '309', '693', '742']
['108', '518', '83', '372', '369', '445', '689', '660', '514', '436', '543', '380', '730', '331', '552', '482', '697', '576', '800', '796']
['109', '151', '307', '706', '318', '297', '722', '413', '610', '765', '662', '347', '658', '618', '553', '772', '487', '409', '794', '393']
['11', '204', '616', '423', '45', '704', '46', '534', '339', '341', '777', '63', '813', '500', '755', '709', '566', '769', '80', '475']
['110', '408', '35', '349', '449', '332', '561', '62', '394', '559', '477', '343', '592', '398', '799', '789', '3', '563', '50', '79']
['111', '805', '622', '562', '645', '444', '715', '505', '785', '375', '353', '541', '656', '643', '685', '358', '530', '352', '489', '519']
['112', '809', '646', '366', '315', '538', '97', '367', '739', '425', '695', '345', '615', '526', '362', '707', '396', '34', '614', '682']
['113', '68', '741', '443', '721', '491', '379', '346', '421', '678', '71', '338', '761', '756', '675', '683', '402', '588', '602', '531']
['114', '661', '568', '411', '676', '7', '582', '516', '691', '528', '747', '674', '603', '782', '581', '94', '571', '495', '700', '70']
['115', '667', '359', '599', '420', '653', '348', '386', '468', '641', '574', '811', '404', '501', '554', '363', '9', '527', '803', '635']
['116', '764', '458', '642', '498', '483', '548', '649', '524', '529', '31', '508', '89', '640', '499', '397', '457', '790', '484', '452']
['117', '145', '32', '743', '65', '606', '76', '784', '364', '305', '532', '424', '389', '703', '354', '520', '52']
['118', '215']
['119', '280']
['12', '323']
['120', '311']
['121', '768']
['122', '670']
['123', '535']
['124', '717']
['125', '795']
['126', '285']
['127', '239']
['128', '589']
['129', '486']
['13', '793']
['130', '373']
['131', '515']
['132', '708']
['133', '591']
['134', '328']
['84', '73']
['136', '492']
['137', '798']
['138', '507']
['139', '625']
['14', '810']
['140', '325']
['141', '580']
['142', '403']
['143', '751']
['144', '726']
['536', '39']
['146', '593']
['147', '330']
['148', '474']
['149', '727']
['15', '485']
['150', '156']
['623', '283']
['152', '815']
['153', '579']
['154', '629']
['155', '684']
['540', '319']
['157', '392']
['158', '584']
['159', '314']
['16', '564']
['160', '257']
['161', '308']
['162', '450']
['163', '680']
['164', '246']
['165', '29']
['166', '355']
['167', '763']
['168', '350']
['169', '788']
['17', '806']
['170', '85']
['171', '719']
['172', '547']
['173', '816']
['174', '546']
['175', '628']
['176', '627']
['177', '702']
['178', '723']
['179', '278']
['18', '430']
['180', '731']
['181', '361']
['182', '335']
['183', '302']
['184', '272']
['185', '479']
['186', '263']
['187', '217']
['188', '573']
['189', '429']
['19', '382']
['190', '27']
['191', '504']
['192', '23']
['193', '655']
['194', '329']
['195', '753']
['196', '440']
['197', '44']
['198', '238']
['199', '415']
['2', '270']
['20', '266']
['200', '688']
['201', '465']
['202', '679']
['203', '58']
['471', '259']
['205', '388']
['206', '405']
['665', '740']
['208', '390']
['209', '469']
['21', '734']
['210', '690']
['211', '654']
['212', '275']
['213', '692']
['214', '248']
['771', '636']
['216', '333']
['814', '441']
['218', '570']
['219', '400']
['22', '565']
['220', '464']
['221', '277']
['222', '242']
['223', '82']
['224', '781']
['225', '750']
['226', '558']
['227', '488']
['228', '334']
['229', '431']
['378', '551']
['230', '511']
['231', '572']
['232', '455']
['233', '301']
['234', '720']
['235', '545']
['236', '650']
['237', '49']
['57', '461']
['523', '557']
['24', '418']
['240', '265']
['241', '807']
['677', '812']
['243', '736']
['244', '817']
['245', '621']
['299', '93']
['247', '28']
['438', '607']
['249', '478']
['25', '456']
['250', '295']
['797', '569']
['252', '383']
['253', '624']
['254', '36']
['255', '64']
['256', '326']
['391', '98']
['258', '40']
['752', '78']
['26', '317']
['260', '509']
['261', '497']
['262', '59']
['432', '577']
['264', '313']
['371', '758']
['601', '712']
['267', '748']
['268', '342']
['269', '395']
['51', '638']
['368', '587']
['271', '652']
['598', '276']
['273', '284']
['274', '357']
['8', '659']
['778', '567']
['60', '288']
['37', '296']
['279', '43']
['374', '459']
['549', '298']
['281', '74']
['282', '304']
['732', '644']
['657', '698']
['533', '435']
['286', '448']
['287', '705']
['496', '481']
['289', '583']
['67', '648']
