['21', '3', '4', '6', '296', '116', '126', '154', '158']
['302', '15', '28', '36', '281', '179', '181', '186', '187']
['253', '8', '16', '24', '276', '197', '217', '224', '229']
['83', '30', '41', '46', '64', '189', '196', '241', '245']
['101', '5', '10', '44', '50', '198', '211', '212', '242']
['162', '37', '39', '43', '98', '180', '254', '263', '292']
['195', '0', '48', '56', '42', '202', '256', '265', '274']
['27', '47', '57', '66', '45', '190', '219', '297', '301']
['285', '58', '60', '75', '259', '289', '325', '11', '19']
['320', '70', '78', '88', '74', '315', '317', '14', '33']
['271', '76', '84', '86', '249', '310', '314', '35', '79']
['290', '55', '91', '92', '169', '61', '127', '135', '156']
['146', '49', '54', '89', '295', '26', '68', '77', '87']
['255', '97', '102', '114', '233', '110', '133', '140', '205']
['251', '93', '95', '105', '22', '62', '129', '246', '258']
['65', '99', '115', '119', '134', '139', '166', '273', '306']
['80', '104', '106', '125', '293', '247', '13', '149', '81']
['286', '121', '122', '123', '157', '96', '267', '100', '272']
['145', '120', '130', '132', '225', '185']
['221', '128', '131', '137']
['18', '151', '153', '160']
['201', '136', '147', '148']
['305', '124', '141', '159']
['171', '138', '152', '161']
['230', '143', '163', '164']
['71', '165', '168', '170']
['90', '172', '175', '177']
['73', '173', '183', '192']
['266', '182', '191', '200']
['282', '184', '188', '193']
['72', '208', '210', '216']
['199', '178', '204', '213']
['304', '206', '207', '220']
['7', '209', '214', '215']
['234', '223', '236', '248']
['238', '222', '228', '1']
['257', '231', '232', '244']
['268', '237', '240', '243']
['321', '239', '252', '262']
['69', '227', '250', '260']
['226', '261', '275', '277']
['155', '269', '270', '278']
['25', '284', '288', '298']
['176', '294', '300', '303']
['112', '279', '299', '308']
['218', '264', '280', '291']
['312', '287', '307', '2']
['322', '318', '9', '12']
['38', '313', '316', '319']
['40', '17', '20', '31']
['53', '323', '324', '326']
['194', '327', '23', '29']
['167', '51', '63', '67']
['235', '32', '59', '82']
['174', '311', '52', '85']
['283', '34', '94', '108']
['203', '103', '111', '113']
['142', '107', '117', '144']
['309', '109', '118', '150']
