['396', '0', '12', '16', '20', '39', '40', '60', '66', '121', '194', '258', '271', '283', '291', '337', '4', '7', '8', '74']
['398', '21', '24', '45', '48', '91', '117', '127', '160', '192', '215', '285', '307', '324', '359', '23', '25', '26', '28', '326']
['384', '1', '44', '50', '111', '129', '157', '201', '238', '250', '288', '298', '312', '313', '339', '2', '3', '5', '9', '205']
['387', '29', '57', '58', '82', '115', '241', '242', '248', '328', '331', '343', '346', '27', '30', '32', '33', '34', '35', '222']
['392', '68', '154', '180', '211', '228', '254', '259', '260', '274', '279', '327', '348', '349', '386', '61', '62', '63', '64', '301']
['399', '59', '70', '99', '104', '203', '221', '225', '245', '246', '276', '296', '325', '333', '22', '37', '41', '42', '43', '366']
['186', '85', '110', '147', '182', '184', '185', '187', '189', '195', '196', '197', '207', '234', '249', '252', '338', '31', '46', '244']
['385', '52', '56', '88', '96', '114', '123', '162', '172', '193', '236', '280', '294', '310', '319', '390', '19', '47', '51', '303']
['382', '6', '10', '105', '142', '168', '177', '179', '199', '204', '230', '287', '293', '305', '345', '394', '11', '13', '15', '84']
['393', '53', '65', '80', '83', '87', '90', '93', '122', '139', '173', '235', '340', '54', '55', '202', '212', '316', '353', '255']
['383', '97', '124', '143', '171', '176', '240', '329', '347', '358', '18', '49', '81', '86', '89', '92', '94', '95', '98', '216']
['391', '72', '77', '119', '120', '137', '247', '251', '266', '270', '292', '306', '67', '69', '73', '76', '78', '106', '148', '395']
['135', '107', '113', '125', '126', '128', '130', '133', '136', '138', '220', '226', '256', '295', '302', '304', '335', '100', '101', '167']
['102', '38', '79', '108', '112', '116', '118', '181', '257', '263', '267', '278', '299', '341', '344', '397', '36', '71', '134', '300']
['352', '174', '183', '206', '243', '342', '354', '355', '356', '357', '377', '161', '163', '164', '166', '169', '170', '175', '178', '155']
['380', '151', '190', '208', '213', '261', '314', '320', '109', '141', '144', '145', '146', '152', '153', '156', '158', '217', '322', '318']
['381', '14', '231', '273', '332', '149', '188', '290', '311', '362', '159', '200', '223', '227', '229', '232', '233', '237', '239', '308']
['388', '282', '132', '286', '297', '350', '389', '131', '210', '309', '351', '379', '272', '289', '317', '17', '284', '323', '103', '219']
['364', '150', '315', '321', '360', '365', '368', '370', '371', '375', '378', '191', '336', '367', '372', '165', '209', '224', '277', '376']
['268', '262', '265', '269', '275', '334', '373', '264', '75', '140', '198', '374', '214', '281', '330', '253', '363', '369', '218', '361']
