['0', '71']
['1', '387']
['10', '388']
['100', '79']
['101', '55']
['102', '339']
['103', '434']
['104', '435']
['105', '471']
['106', '422']
['107', '371']
['108', '356']
['109', '39']
['11', '453']
['110', '429']
['111', '58']
['112', '357']
['113', '91']
['114', '460']
['115', '416']
['116', '407']
['117', '491']
['118', '426']
['119', '43']
['12', '495']
['120', '41']
['121', '484']
['122', '343']
['123', '436']
['124', '50']
['125', '334']
['126', '456']
['127', '338']
['128', '392']
['129', '480']
['13', '376']
['130', '70']
['131', '419']
['132', '378']
['133', '497']
['134', '33']
['135', '391']
['136', '465']
['137', '401']
['138', '370']
['139', '84']
['14', '431']
['140', '81']
['141', '360']
['142', '418']
['143', '45']
['144', '95']
['145', '394']
['146', '353']
['147', '369']
['148', '437']
['149', '46']
['15', '477']
['150', '38']
['151', '461']
['152', '490']
['153', '425']
['154', '451']
['155', '403']
['156', '42']
['157', '402']
['158', '427']
['159', '86']
['16', '430']
['160', '68']
['161', '462']
['162', '474']
['163', '372']
['164', '54']
['165', '359']
['166', '478']
['167', '65']
['168', '6']
['169', '345']
['17', '396']
['170', '5']
['171', '390']
['172', '469']
['173', '83']
['174', '342']
['175', '75']
['176', '98']
['177', '432']
['178', '7']
['179', '340']
['18', '439']
['180', '485']
['181', '53']
['182', '89']
['183', '63']
['184', '365']
['185', '335']
['186', '82']
['187', '67']
['188', '493']
['189', '476']
['19', '47']
['190', '383']
['191', '332']
['192', '492']
['193', '87']
['194', '489']
['195', '324']
['196', '459']
['197', '354']
['198', '374']
['199', '487']
['2', '481']
['20', '482']
['200', '368']
['201', '96']
['202', '40']
['203', '406']
['204', '49']
['205', '344']
['206', '494']
['207', '479']
['208', '337']
['209', '411']
['21', '66']
['210', '438']
['211', '385']
['212', '77']
['213', '470']
['214', '446']
['215', '381']
['216', '450']
['217', '69']
['218', '323']
['219', '421']
['22', '414']
['220', '352']
['221', '358']
['222', '51']
['223', '379']
['224', '444']
['225', '440']
['226', '373']
['227', '348']
['228', '347']
['229', '395']
['23', '498']
['230', '386']
['231', '80']
['232', '448']
['233', '73']
['234', '382']
['235', '393']
['236', '466']
['237', '355']
['238', '488']
['239', '8']
['24', '72']
['240', '94']
['241', '496']
['242', '399']
['243', '97']
['244', '442']
['245', '52']
['246', '330']
['247', '37']
['248', '472']
['249', '486']
['25', '59']
['250', '60']
['251', '447']
['252', '74']
['253', '363']
['254', '76']
['255', '409']
['256', '457']
['257', '454']
['258', '400']
['259', '404']
['26', '449']
['260', '441']
['261', '349']
['262', '333']
['263', '364']
['264', '420']
['265', '9']
['266', '415']
['267', '90']
['268', '78']
['269', '464']
['27', '475']
['270', '463']
['271', '384']
['272', '341']
['273', '328']
['274', '99']
['275', '413']
['276', '361']
['277', '398']
['278', '408']
['279', '410']
['28', '467']
['280', '389']
['281', '367']
['282', '433']
['283', '331']
['284', '417']
['285', '443']
['286', '93']
['287', '452']
['288', '473']
['289', '62']
['29', '423']
['290', '329']
['291', '61']
['292', '405']
['293', '362']
['294', '468']
['295', '35']
['296', '88']
['297', '366']
['298', '397']
['299', '36']
['3', '375']
['30', '325']
['300', '412']
['301', '350']
['302', '424']
['303', '346']
['304', '44']
['305', '336']
['306', '4']
['307', '64']
['308', '34']
['309', '351']
['31', '445']
['310', '85']
['311', '455']
['312', '326']
['313', '48']
['314', '499']
['315', '327']
['316', '380']
['317', '56']
['318', '458']
['319', '92']
['32', '57']
['320', '428']
['321', '377']
['322', '483']
