['DANA', 'CORA', 'AVA', 'DEBORAH', 'ESTHER', 'LUCY', 'TERRY', 'FANNIE', 'MARYANN', 'MADELINE', 'EMILY', 'LINDA', 'SHEILA', 'HAZEL', 'SUZANNE', 'JAMIE', 'MELISSA', 'SHERYL', 'PAMELA', 'ERIKA', 'PAULINE', 'TIFFANY', 'EMMA', 'PAULA', 'GWENDOLYN', 'CYNTHIA', 'CLARA', 'MARGUERITE', 'MARILYN', 'MARGARITA', 'PHYLLIS', 'NORA', 'REBECCA', 'STACEY', 'ELSIE']
['JACKIE', 'INEZ', 'AMY', 'VICTORIA', 'LORETTA', 'PRISCILLA', 'SANDY', 'LINDSEY', 'CANDACE', 'CARRIE', 'MARGIE', 'MOLLY', 'BRANDY', 'MARION', 'GUADALUPE', 'CLAUDIA', 'ROBERTA', 'MARGARET', 'JESSICA', 'JANICE', 'VIOLA', 'PENNY', 'CLAIRE', 'JENNY', 'BETH', 'ELLA', 'VIVIAN', 'ASHLEY', 'MARJORIE', 'AUDREY', 'JANET', 'TANYA', 'GLADYS']
['JESSIE', 'TONYA', 'LOGAN', 'SAMANTHA', 'RENEE', 'VANESSA', 'JEANNE', 'MAUREEN', 'FAYE', 'WILLIE', 'GERTRUDE', 'JOY', 'SUE', 'TAMARA', 'SUSIE', 'GENEVA', 'SHELLY', 'NATALIE', 'JOSEPHINE', 'RUTH', 'TERESA', 'LEAH', 'FELICIA']
['MARIAN', 'JENNIFER', 'PATRICIA', 'ROSIE', 'APRIL', 'LORI', 'LAUREN', 'GAIL', 'RAMONA', 'SAMUEL', 'LILLIAN', 'MABEL', 'JODI', 'HEATHER', 'JANE', 'LENA', 'ANNA', 'MARY', 'DORIS', 'CECILIA', 'CAROLINE', 'PATSY', 'BRANDI']
['NAOMI', 'KIM', 'CASSANDRA', 'NATASHA', 'SANDRA', 'JULIE', 'ANA', 'BLANCHE', 'SONYA', 'OLGA', 'DOROTHY', 'CAROL', 'LISA', 'LOIS', 'CARLA', 'LEE', 'VIOLET', 'IRMA', 'CHRISTINA', 'BOBBIE', 'MICHELE', 'ANNE', 'THERESA']
['ALICIA', 'YVETTE', 'GEORGIA', 'SUSAN', 'LEONA', 'SHERRI', 'AMELIA', 'LAURIE', 'VERA', 'BETTY', 'EDITH', 'GLENDA', 'RITA', 'ROSEMARY', 'EDNA', 'GINA', 'MONIQUE', 'DEBRA', 'KATHRYN', 'CHARLENE', 'MATTIE', 'JOANNA', 'ANGIE']
['CHERYL', 'KATRINA', 'TAMMY', 'HILDA', 'DENISE', 'LYNDA', 'ETHAN', 'LOUISE', 'TRACEY', 'RACHEL', 'CARMEN', 'DORA', 'SHANNON', 'MAGGIE', 'PEGGY', 'AMANDA', 'DAWN', 'YVONNE', 'ISABEL', 'MARCIA', 'TRACY', 'VIRGINIA', 'CHRISTINE']
['BRITTANY', 'BERNICE', 'PEARL', 'JUDITH', 'CINDY', 'VERONICA', 'JANIE', 'ELIZABETH', 'SHARON', 'RUBY', 'BESSIE', 'MELINDA', 'JO', 'ANGELA', 'KRISTINA', 'MICHAEL', 'ADDISON', 'HELEN', 'LAURA', 'DIANA', 'IRIS', 'SHIRLEY', 'KATHY']
['GENEVIEVE', 'DIANE', 'MARTHA', 'HEIDI', 'LESLIE', 'JEAN', 'DEBBIE', 'JOANNE', 'DOLORES', 'LUZ', 'ARLENE', 'NELLIE', 'JEANETTE', 'SHERRY', 'TONI', 'MADISON', 'LILLIE', 'ROSE', 'BEVERLY', 'BEATRICE', 'EILEEN', 'BARBARA', 'ANN']
['GLORIA', 'YOLANDA', 'DAISY', 'DARLENE', 'NICOLE', 'GRACE', 'KAYLA', 'NANCY', 'ERICA', 'DEANNA', 'FRANCES', 'KRISTEN', 'HATTIE', 'AGNES', 'BECKY', 'COURTNEY', 'STELLA', 'MAE', 'LUCILLE', 'CATHERINE', 'ERIN', 'REGINA', 'KELLY']
['HOLLY', 'ALBERTA', 'JILL', 'JUNE', 'MELODY', 'JOAN', 'KRISTIN', 'LYNN', 'WILMA', 'ANNETTE', 'MICHELLE', 'SARAH', 'JOYCE', 'ANITA', 'BERTHA', 'MYRTLE', 'CAROLE', 'LINDSAY', 'BONNIE', 'LORRAIN', 'ANNIE', 'KRISTI', 'MISTY']
['IRENE', 'VICKI', 'KATHLEEN', 'KATHERINE', 'CHRISTY', 'SYLVIA', 'HARRIET', 'MIRIAM', 'MARSHA', 'TERRI', 'VALERIE', 'SONIA', 'DELORES', 'ROBIN', 'EVA', 'BILLIE', 'ALICE', 'CATHY', 'DONNA', 'ETHEL', 'SABRINA', 'CRYSTAL', 'RHONDA']
['ISABELLA', 'VELMA', 'CONSTANCE', 'KIMBERLY', 'JULIA', 'ADA', 'MINNIE', 'CHARLOTTE', 'GERALDINE', 'NINA', 'SARA', 'JUDY', 'NORMA', 'STACY', 'BRENDA', 'EVELYN', 'KAREN', 'COLLEEN', 'HANNAH', 'THELMA', 'MEGAN', 'TARA', 'MARLENE']
['JAN', 'BELINDA', 'SALLY', 'ALMA', 'VICKIE', 'CHLOE', 'EUNICE', 'AMBER', 'ALISON', 'LYDIA', 'ROSA', 'ELAINE', 'CARTER', 'ANDREA', 'KATIE', 'WANDA', 'MAXINE', 'ALEXANDER', 'AIDEN', 'MILDRED', 'JACOB', 'DANIEL', 'MELANIE']
['JUANITA', 'MONICA', 'ELLEN', 'JENNIE', 'ALLISON', 'OPAL', 'STEPHANIE', 'JACQUELINE', 'MARIE', 'FLORENCE', 'MARIA', 'DIANNE', 'IDA', 'WENDY', 'CONNIE', 'CAROLYN', 'JOANN', 'ELEANOR', 'WILLIAM', 'DANIELLE', 'KAY', 'TINA', 'KRISTINE']
