['306', '2', '5', '6', '8', '9', '11', '12', '13', '14', '17', '18', '19', '349', '318', '345', '365', '368', '382', '383', '393', '397', '401', '402', '409', '410', '355', '388', '389', '395']
['262', '1', '3', '7', '16', '20', '21', '25', '28', '30', '31', '33', '34', '418', '361', '377', '399', '400', '411', '413', '415', '419', '412', '417', '405', '408']
['347', '0', '10', '23', '26', '27', '29', '32', '38', '39', '41', '45', '46']
['121', '22', '24', '36', '37', '43', '44', '47', '48', '49', '50', '51', '54']
['127', '56', '59', '61', '62', '64', '66', '77', '85', '92', '93', '95', '97']
['358', '4', '15', '35', '70', '73', '76', '78', '88', '89', '90', '94', '96']
['108', '42', '55', '57', '60', '67', '68', '69', '71', '75', '80', '81', '84']
['115', '52', '63', '72', '82', '99', '103', '104', '112', '117', '118', '120', '123']
['237', '40', '53', '65', '79', '91', '102', '105', '107', '110', '111', '114', '116']
['245', '83', '86', '100', '109', '122', '124', '128', '129', '130', '131', '134', '135']
['340', '74', '98', '106', '113', '119', '126', '132', '133', '136', '138', '140', '153']
['386', '125', '139', '143', '147', '154', '156', '157', '158', '161', '162', '165', '167']
['346', '87', '141', '142', '144', '146', '149', '152', '164', '170', '171', '172', '173']
['353', '58', '101', '145', '148', '163', '166', '169', '174', '175', '176', '178', '183']
['404', '150', '151', '155', '159', '179', '182', '185', '186', '188', '193', '197', '200']
['407', '180', '189', '194', '198', '201', '203', '207', '208', '211', '214', '215', '217']
['287', '137', '168', '177', '187', '190', '191', '192', '195', '210', '216', '218', '219']
['370', '160', '199', '202', '205', '209', '213', '221', '224', '226', '227', '228', '230']
['396', '181', '206', '212', '220', '222', '223', '225', '231', '234', '235', '236', '238']
['291', '184', '196', '232', '233', '239', '241', '242', '243', '246', '247', '249', '250']
['261', '229', '240', '244', '251', '253', '255', '256', '259', '260', '263', '267', '268']
['416', '204', '254', '257', '258', '264', '269', '270', '271', '273', '275', '277', '278']
['286', '248', '252', '266', '276', '279', '280', '281', '282', '283', '284', '285', '288']
['372', '290', '293', '294', '295', '296', '297', '300', '304', '305', '312', '314', '315']
['309', '274', '301', '303', '311', '313', '317', '320', '324', '325', '327', '329', '330']
['352', '272', '289', '298', '302', '310', '316', '332', '334', '335', '336', '338', '339']
['333', '265', '292', '307', '308', '319', '322', '323', '331', '337', '341', '342', '343']
['394', '299', '321', '350', '354', '357', '359', '363', '366', '369', '373', '378', '379']
['390', '328', '356', '360', '362', '371', '374', '375', '380', '381', '384', '385', '387']
['414', '326', '344', '348', '351', '364', '367', '376', '391', '392', '398', '403', '406']
