['307', '327', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '286']
['376', '253', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '255']
['271', '43', '34', '35', '36', '37', '38', '39', '40', '41', '42', '44', '45', '46', '47', '48', '49', '50', '51', '197']
['377', '369', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '246']
['289', '74', '69', '70', '71', '72', '73', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '337']
['277', '168', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '180']
['360', '169', '106', '108', '109', '114', '115', '116', '122', '124', '126', '127', '130', '132', '134', '136', '137', '144', '145', '263']
['379', '396', '104', '105', '107', '110', '111', '112', '113', '117', '118', '119', '120', '121', '123', '125', '128', '129', '131', '230']
['338', '251', '178', '226', '260', '272', '334', '343', '346', '367', '373', '378', '384', '399', '133', '135', '138', '139', '140', '393']
['291', '233', '152', '215', '219', '237', '249', '258', '269', '278', '293', '300', '304', '311', '321', '339', '344', '370', '371', '199']
['274', '252', '224', '146', '184', '192', '250', '297', '316', '325', '329', '366', '398', '141', '142', '143', '147', '148', '149', '268']
['345', '151', '150', '153', '154', '155', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165', '166', '167', '170', '375']
['391', '200', '182', '193', '206', '208', '210', '234', '247', '259', '261', '264', '287', '348', '350', '352', '358', '364', '381', '296']
['267', '171', '174', '201', '212', '217', '218', '220', '236', '244', '248', '292', '295', '299', '301', '302', '305', '312', '315', '254']
['389', '394', '294', '183', '317', '326', '336', '349', '355', '380', '395', '397', '172', '173', '175', '176', '177', '179', '181', '235']
['298', '368', '241', '221', '388', '332', '342', '353', '288', '229', '190', '207', '279', '256', '213', '323', '303', '313', '216', '231']
['357', '392', '335', '245', '354', '204', '242', '275', '285', '205', '225', '374', '228', '387', '320', '282', '273', '322', '333', '290']
['284', '356', '222', '331', '314', '185', '187', '239', '386', '214', '362', '382', '223', '341', '330', '310', '262', '240', '328', '372']
['280', '319', '270', '390', '359', '189', '186', '265', '308', '203', '318', '347', '276', '238', '198', '191', '196', '385', '257', '283']
['324', '340', '202', '281', '194', '227', '383', '365', '361', '306', '243', '195', '363', '266', '232', '209', '309', '351', '211', '188']
