['104', '131', '1', '289', '7', '204', '237', '238', '19', '212', '110', '86', '220', '4', '240', '78', '267', '251', '98', '284', '34', '112', '148', '295', '191']
['145', '222', '3', '29', '48', '150', '186', '221', '68', '164', '286', '287', '242', '117', '72', '273', '264', '173', '109', '77', '120', '234', '188']
['149', '189', '76', '233', '229', '12', '17', '33', '203', '245', '127', '50', '226', '266']
['200', '274', '23', '89', '142', '175', '281', '66', '278', '174', '184', '293', '162', '84']
['206', '268', '16', '115', '179', '57', '265', '111', '134', '180', '292', '183', '261', '210']
['228', '47', '63', '14', '92', '87', '11', '157', '216', '152', '254', '135', '298', '176']
['49', '297', '90', '113', '133', '288', '5', '275', '270', '244', '125', '224', '211', '201']
['52', '118', '18', '96', '207', '25', '197', '41', '2', '43', '291', '223', '205', '61']
['58', '24', '246', '280', '192', '132', '290', '262', '190', '263', '71', '80', '116', '122']
['6', '166', '101', '27', '35', '243', '159', '167', '177', '130', '32', '136', '144', '69']
['64', '39', '10', '283', '227', '128', '88', '62', '256', '178', '279', '81', '209', '123']
['65', '36', '232', '73', '195', '199', '247', '217', '44', '53', '160', '124', '241', '296']
['102', '119', '100', '219', '285', '40', '202', '171', '213', '15', '260', '198', '141', '91']
['105', '153', '20', '215', '155', '51', '85', '248', '269', '22', '225', '236', '235', '60']
['107', '106', '218', '300', '168', '137', '151', '185', '94', '271', '182', '249', '9', '31']
['114', '138', '143', '156', '74', '75', '55', '230', '187', '38', '26', '59', '193', '103']
['129', '214', '158', '56', '169', '276', '161', '99', '121', '172', '147', '28', '67', '253']
['8', '208', '146', '165', '82', '277', '37', '257', '54', '181', '126', '13', '294', '70']
['45', '140', '21', '30', '97', '196', '239', '139', '299', '46', '170', '259', '154', '250']
['282', '79', '258', '83', '163', '93', '272', '42', '95', '231', '194', '255', '252', '108']
