['476', '4', '13', '16', '17', '18', '21', '24', '25', '27', '29', '33', '34', '35', '36', '37', '45', '46', '48', '50', '51', '52', '53', '55', '492']
['127', '0', '1', '2', '3', '5', '6', '8', '10', '11', '20', '40', '42', '43', '44', '47', '54', '56', '57', '62', '64', '72', '73', '75', '494']
['7', '12', '26', '28', '58', '60', '70', '74', '76', '77', '78', '84', '87', '88', '89', '92', '93', '96', '100', '101', '108', '109', '110', '112', '381']
['175', '14', '19', '32', '39', '65', '67', '68', '69', '71', '82', '97', '103', '105', '123', '124', '126', '129', '136', '138', '146', '148', '153', '157', '410']
['302', '22', '23', '30', '31', '38', '63', '85', '98', '113', '114', '118', '120', '132', '134', '135', '143', '149', '150', '151', '152', '154', '155', '160', '497']
['417', '9', '41', '83', '86', '91', '94', '99', '104', '107', '111', '117', '122', '128', '133', '139', '141', '156', '158', '161', '163', '164', '166', '167', '489']
['189', '15', '66', '80', '81', '115', '116', '125', '137', '142', '144', '147', '162', '165', '173', '179', '180', '181', '184', '186', '188', '190', '191', '197', '491']
['205', '119', '130', '131', '159', '172', '174', '182', '187', '196', '203', '204', '207', '208', '210', '211', '212', '213', '216', '219', '222', '223', '224', '226', '488']
['445', '49', '79', '90', '121', '145', '168', '195', '198', '199', '200', '201', '206', '209', '214', '215', '217', '218', '220', '227', '228', '233', '237', '240', '487']
['495', '61', '95', '140', '178', '185', '192', '225', '229', '239', '241', '242', '243', '244', '246', '250', '254', '255', '258', '260', '264', '266', '267', '268', '461']
['352', '59', '171', '177', '183', '194', '202', '221', '230', '234', '235', '251', '262', '263', '269', '270', '271', '275', '277', '279', '280', '281', '294', '296', '421']
['356', '169', '232', '236', '249', '252', '253', '272', '274', '276', '278', '286', '288', '289', '295', '297', '304', '308', '312', '313', '315', '316', '318', '321', '483']
['415', '102', '170', '245', '247', '257', '265', '273', '283', '291', '298', '306', '323', '325', '328', '329', '336', '337', '338', '339', '340', '341', '345', '351', '482']
['479', '231', '238', '256', '284', '292', '293', '307', '309', '311', '317', '320', '322', '326', '332', '333', '335', '342', '347', '353', '354', '358', '360', '363', '484']
['343', '106', '248', '259', '261', '282', '287', '290', '299', '300', '301', '303', '305', '324', '344', '349', '355', '357', '359', '364', '366', '369', '370', '372', '393']
['193', '285', '319', '327', '331', '346', '350', '362', '375', '383', '384', '386', '391', '394', '398', '400', '405', '407', '409', '411', '413', '418', '420', '422', '485']
['478', '176', '334', '348', '365', '374', '376', '377', '390', '392', '396', '397', '399', '401', '403', '406', '408', '424', '426', '427', '434', '435', '436', '440', '416']
['498', '314', '330', '378', '380', '382', '419', '423', '425', '430', '431', '432', '441', '442', '444', '446', '452', '457', '458', '464', '465', '470', '473', '474', '395']
['438', '310', '367', '371', '373', '379', '385', '388', '389', '402', '404', '412', '414', '428', '433', '437', '439', '448', '451', '453', '456', '462', '463', '467', '481']
['387', '443', '447', '449', '450', '454', '460', '468', '471', '472', '475', '477', '490', '496', '361', '429', '455', '466', '469', '480', '486', '493', '499', '368', '459']
