['235', '426', '223', '24', '386', '122', '460', '313', '447', '194']
['489', '166', '430', '479', '324', '373', '152', '207', '466', '298']
['0', '226', '480', '310', '289', '474', '135', '255', '69', '281']
['1', '462', '14', '182', '245', '331', '365', '44', '348', '401']
['10', '188', '318', '97', '431', '478', '363', '403', '307', '191']
['100', '451', '95', '93', '299', '309', '465', '54', '195', '454']
['101', '114', '218', '394', '339', '238', '31', '445', '247', '172']
['102', '94', '13', '303', '275', '334', '215', '162', '467', '51']
['103', '362', '450', '137', '59', '246', '413', '107', '23', '344']
['104', '147', '382', '174', '282', '291', '29', '187', '424', '167']
['105', '15', '72', '19', '189', '48', '81', '141', '337', '179']
['106', '178', '80', '75', '288', '343', '230', '357', '273', '279']
['458', '87', '364', '456', '82', '3', '314', '353', '264', '412']
['108', '120', '269', '266', '327', '409', '425', '57', '265', '217']
['109', '169', '329', '234', '470', '488', '9', '322', '295', '287']
['11', '110', '315', '99', '421', '486', '149', '66', '257', '471']
['308', '393', '244', '198', '190', '476', '383', '300', '361', '52']
['111', '185', '271', '148', '366', '498', '241', '437', '453', '203']
['112', '145', '20', '449', '164', '40', '175', '290', '168', '231']
['113', '36', '359', '402', '7', '377', '67', '225', '252', '78']
['96', '415', '119', '341', '34', '349', '37', '485', '197', '407']
['115', '146', '408', '340', '321', '212', '62', '284', '65', '350']
['116', '253', '469', '441', '117', '6', '41', '205', '335', '88']
['163', '262', '274', '468', '160', '4', '356', '124', '384', '158']
['118', '243', '316', '311', '38', '432', '236', '352', '472', '332']
['32', '406', '411', '211', '210', '483', '186', '170', '423', '85']
['12', '435', '495', '229', '216', '133', '381', '399', '371', '325']
['491', '395', '317', '42', '159', '126', '347', '293', '43', '155']
['121', '219', '49', '387', '142', '25', '74', '153', '463', '86']
['233', '405', '184', '261', '280', '200', '461', '214', '323', '368']
['123', '181', '16', '438', '294', '389', '444', '227', '53', '61']
['213', '26', '360', '240', '433', '380', '297', '92', '270', '90']
['125', '301', '239', '263', '165', '47', '138', '452', '196', '398']
['336', '202', '496', '50', '374', '193', '228', '134', '91', '422']
['127', '173', '151', '8', '358', '73', '79', '176', '154', '446']
['128', '397', '55', '143', '351', '18', '63', '208', '77', '434']
['129', '354', '30', '355', '328', '370', '248', '487', '379', '272']
['419', '481', '250', '201', '416', '418', '385', '372', '459', '83']
['130', '204', '260', '302', '320', '242', '342', '390', '70', '251']
['131', '2', '484', '417', '27', '455', '475', '33', '259', '209']
['132', '330', '312', '376', '56', '171', '177', '391', '58', '76']
['493', '404', '224', '494', '304', '64', '346', '254', '443', '68']
['192', '427', '400', '156', '5', '414', '278', '89', '292', '267']
['440', '306', '39', '232', '499', '436', '439', '429', '375', '277']
['136', '84', '473', '378', '21', '457', '319', '28', '222', '464']
['410', '221', '45', '286', '448', '482', '237', '326', '206', '369']
['490', '256', '285', '388', '144', '60', '17', '276']
['139', '442', '150', '180', '305', '183', '367', '420']
['157', '35', '333', '268', '46', '258', '249', '71']
['140', '296', '161', '492', '338', '220', '497', '396']
['22', '428', '98', '392', '345', '283', '199', '477']
