['238', '553', '468', '764', '544', '86', '56', '883', '81', '311', '929', '549', '837', '44', '970', '882', '495', '708', '294', '574']
['596', '111', '124', '491', '143', '240', '861', '184', '416', '506', '232', '532', '483', '426', '419', '415', '947', '180', '193', '888']
['163', '881', '648', '176', '93', '719', '378', '690', '706', '255', '349', '392', '851', '70', '586', '829', '786', '809', '716', '325']
['389', '981', '515', '973', '582', '949', '273', '423', '633', '394', '868', '840', '16', '835', '41', '961', '747', '658', '253', '320']
['754', '589', '203', '637', '873', '159', '327', '780', '646', '365', '272', '195', '687', '857', '980', '356', '148', '441', '196', '252']
['816', '28', '959', '207', '534', '136', '548', '599', '498', '920', '714', '821', '496', '569', '715', '33', '300', '156', '424', '740']
['169', '630', '466', '597', '399', '290', '957', '770', '575', '319', '696', '173', '261', '146', '673', '934', '522', '366', '535', '537']
['181', '692', '119', '669', '955', '905', '974', '371', '795', '276', '251', '299', '579', '541', '110', '486', '353', '514', '546', '488']
['504', '76', '841', '936', '743', '622', '938', '382', '236', '239', '713', '314', '702', '403', '775', '336', '197', '46', '777', '283']
['508', '746', '287', '259', '812', '798', '992', '993', '820', '59', '677', '825', '210', '462', '312', '357', '130', '380', '932', '876']
['614', '26', '906', '128', '31', '350', '444', '758', '524', '129', '456', '723', '651', '732', '432', '58', '591', '585', '953', '245']
['643', '753', '709', '678', '712', '22', '458', '969', '359', '472', '246', '894', '757', '703', '666', '979', '649', '639', '787', '884']
['730', '494', '540', '601', '808', '580', '513', '241', '674', '545', '768', '682', '103', '818', '681', '215', '52', '661', '581', '900']
['745', '27', '139', '636', '951', '604', '843', '577', '728', '329', '0', '516', '34', '788', '230', '865', '879', '695', '182', '121']
['790', '845', '51', '120', '29', '916', '109', '94', '140', '960', '552', '632', '509', '473', '83', '538', '324', '223', '858', '908']
['872', '613', '944', '45', '626', '292', '84', '647', '539', '948', '237', '304', '18', '470', '360', '907', '641', '234', '249', '778']
['988', '49', '446', '489', '39', '717', '256', '64', '761', '1', '87', '744', '168', '191', '291', '170', '185', '592', '910', '461']
['105', '464', '247', '862', '166', '455', '968', '6', '459', '519', '971', '631', '3', '526', '779', '502', '452', '999', '370', '711']
['106', '123', '431', '660', '844', '963', '527', '400', '457', '5', '529', '375', '14', '8', '990', '62', '126', '583', '141', '490']
['164', '402', '368', '704', '886', '749', '38', '735', '348', '91', '40', '823', '465', '131', '705', '864', '859', '852', '769', '889']
['17', '217', '72', '24', '570', '89', '479', '405', '297', '231', '693', '689', '807', '602', '794', '145', '863', '620', '137', '987']
['208', '23', '954', '387', '218', '332', '773', '902', '213', '315', '477', '122', '437', '407', '819', '158', '267', '784', '48', '609']
['243', '804', '411', '766', '442', '785', '741', '675', '867', '836', '507', '220', '373', '939', '940', '274', '351', '436', '345', '734']
['257', '877', '317', '410', '560', '362', '471', '994', '318', '264', '161', '752', '88', '605', '855', '750', '967', '701', '975', '420']
['289', '625', '92', '198', '453', '153', '565', '806', '921', '782', '162', '104', '43', '476', '898', '890', '891', '573', '737', '913']
['307', '79', '209', '924', '340', '725', '931', '216', '47', '588', '832', '78', '559', '985', '302', '802', '149', '376', '587', '628']
['322', '352', '904', '433', '386', '397', '694', '941', '748', '306', '935', '550', '313', '235', '834', '338', '849', '147', '871', '914']
['326', '928', '211', '499', '962', '385', '850', '82', '188', '571', '281', '427', '69', '430', '154', '266', '279', '659', '915', '30']
['254', '945', '842', '965', '525', '395', '227', '576', '759', '603', '848', '328', '369', '469', '175', '831', '638', '634', '309', '619']
['393', '200', '75', '214', '293', '739', '897', '511', '212', '680', '100', '847', '811', '918', '248', '133', '278', '991', '760', '282']
['409', '610', '108', '670', '244', '751', '726', '492', '558', '277', '607', '275', '663', '187', '422', '950', '838', '528', '860', '846']
['271', '937', '827', '776', '655', '341', '922', '815', '875', '467', '199', '463', '448', '956', '909', '354', '19', '401', '557', '493']
['482', '364', '114', '335', '151', '391', '13', '308', '225', '995', '584', '303', '296', '736', '912', '144', '96', '408', '288', '870']
['556', '219', '77', '7', '450', '972', '262', '54', '361', '964', '172', '986', '765', '344', '25', '20', '134', '600', '531', '517']
['57', '662', '9', '74', '826', '414', '418', '568', '285', '668', '683', '665', '594', '95', '178', '617', '177', '268', '722', '372']
['650', '142', '358', '460', '996', '67', '799', '564', '562', '194', '878', '942', '612', '478', '903', '443', '523', '55', '982', '138']
['590', '700', '899', '97', '481', '657', '179', '10', '487', '263', '796', '536', '298', '331', '926', '406', '800', '295', '35', '242']
['679', '828', '783', '174', '381', '363', '797', '781', '555', '635', '856', '310', '202', '667', '566', '896', '738', '892', '933', '664']
['684', '578', '269', '927', '118', '901', '383', '911', '233', '204', '228', '958', '367', '616', '984', '50', '2', '102', '346', '284']
['724', '171', '505', '839', '895', '952', '321', '384', '671', '551', '718', '510', '598', '66', '792', '572', '917', '563', '645', '727']
['729', '286', '434', '258', '323', '421', '874', '85', '853', '330', '160', '520', '624', '542', '374', '447', '793', '206', '866', '822']
['73', '65', '930', '337', '654', '265', '710', '377', '37', '697', '347', '250', '885', '774', '925', '36', '449', '398', '767', '497']
['135', '966', '503', '155', '756', '61', '186', '887', '621', '11', '801', '485', '608', '672', '567', '530', '4', '445', '640', '627']
['742', '316', '698', '90', '343', '221', '113', '547', '205', '404', '379', '686', '688', '699', '615', '150', '997', '439', '435', '830']
['440', '12', '157', '280', '629', '412', '333', '998', '618', '192', '438', '127', '224', '390', '339', '755', '762', '413', '731', '15']
['978', '789', '791', '763', '611', '125', '132', '71', '893', '63', '428', '989', '68', '167', '474', '656', '270', '425', '189', '919']
['772', '260', '803', '501', '623', '53', '707', '543', '152', '652', '644', '116', '42', '480', '165', '190', '98', '342', '301', '334']
['824', '817', '593', '115', '222', '814', '977', '943', '226', '484', '923', '554', '595', '112', '691', '976', '388', '810', '201', '80']
['475', '229', '676', '771', '983', '805', '642', '733', '720', '946', '183', '813', '107', '429', '854', '518', '500', '101', '417', '721']
['880', '512', '355', '685', '833', '454', '117', '305', '533', '869', '653', '32', '60', '99', '396', '606', '521', '561', '451', '21']
