['728', '339', '506', '362', '488', '120', '627', '657', '44', '359', '105', '606', '752', '477', '795', '24', '152', '16', '360', '541', '402', '369', '156', '656', '146', '58', '789', '662', '69', '161', '162', '526', '717', '530', '629', '430', '586', '338', '5', '178', '682', '89', '591', '490', '559', '237', '424', '597', '36', '401']
['20', '34', '63', '555', '25', '241', '186', '498', '192', '97', '78', '229', '772', '750', '661', '459', '371', '268', '259', '309', '417', '403', '224', '587', '53', '19', '320', '169', '324', '755', '263', '335', '264', '219', '96', '470', '708', '515', '471', '474', '648', '427', '102', '55', '614', '787', '301', '645', '507', '306']
['625', '689', '38', '511', '157', '175', '380', '251', '52', '779', '765', '72', '596', '140', '419', '26', '17', '77', '295', '273', '764', '326', '568', '762', '713', '28', '121', '373', '478', '88', '394', '458', '579', '43', '719', '747', '32', '564', '310', '64', '410', '558', '686', '289', '312', '376', '790', '560', '676', '163']
['318', '736', '652', '116', '108', '600', '125', '334', '115', '131', '749', '577', '601', '516', '139', '793', '300', '197', '111', '575', '451', '33', '473', '50', '1', '191', '128', '604', '551', '372', '493', '4', '760', '390', '227', '123', '527', '148', '92', '544', '321', '6', '56', '208', '299', '741', '420', '484', '675', '570']
['624', '265', '313', '65', '423', '246', '3', '494', '519', '184', '681', '298', '701', '598', '286', '239', '249', '414', '275', '302', '391', '7', '87', '154', '679', '525', '434', '172', '503', '775', '664', '101', '492', '59', '261', '742', '214', '723', '727', '636', '453', '406', '99', '512', '758', '483', '671', '599', '220', '280']
['328', '562', '396', '536', '199', '576', '370', '720', '395', '388', '774', '166', '454', '60', '714', '142', '660', '635', '22', '54', '761', '501', '610', '592', '670', '340', '641', '193', '574', '374', '497', '580', '225', '48', '531', '45', '739', '47', '12', '73', '10', '757', '337', '341', '643', '436', '778', '404', '361', '177']
['768', '132', '138', '134', '42', '325', '343', '659', '250', '724', '633', '94', '791', '688', '256', '572', '209', '400', '744', '235', '185', '620', '692', '486', '634', '164', '21', '258', '583', '144', '513', '352', '107', '421', '542', '382', '651', '180', '117', '349', '46', '442', '155', '207', '731', '638', '130', '746', '460', '41']
['653', '725', '690', '290', '649', '567', '608', '129', '254', '452', '582', '517', '532', '753', '543', '260', '355', '67', '438', '204', '729', '684', '49', '379', '441', '405', '674', '607', '243', '296', '2', '691', '709', '368', '732', '611', '15', '66', '616', '557', '665', '292', '548', '654', '367', '718', '440', '573', '799', '70']
['711', '407', '794', '284', '456', '710', '277', '205', '524', '556', '428', '650', '566', '84', '687', '730', '114', '234', '495', '327', '211', '160', '281', '449', '777', '788', '433', '569', '432', '174', '695', '740', '188', '704', '721', '549', '706', '781', '622', '595', '384', '308', '520', '196', '330', '287', '365', '150', '628', '133']
['253', '344', '269', '472', '346', '85', '443', '221', '126', '285', '613', '509', '71', '189', '426', '195', '8', '247', '467', '425', '773', '529', '216', '475', '540', '502', '581', '534', '315', '646', '769', '637', '329', '412', '533', '40', '743', '463', '82', '159', '201', '202', '798', '455', '76', '766', '14', '415', '422', '751']
['364', '667', '487', '293', '135', '158', '603', '147', '314', '190', '756', '242', '31', '397', '109', '735', '737', '171', '354', '476', '228', '780', '504', '561', '593', '194', '528', '81', '90', '537', '240', '700', '377', '143', '149', '392', '51', '619', '464', '304', '550', '351', '375', '770', '445', '294', '594', '27', '93', '68']
['617', '389', '733', '11', '589', '782', '584', '439', '726', '585', '677', '356', '745', '386', '480', '413', '481', '124', '345', '35', '137', '523', '399', '642', '545', '763', '217', '122', '236', '466', '429', '535', '673', '297', '398', '748', '291', '79', '182', '104', '632', '640', '647', '62', '553', '623', '83', '100', '0', '759']
['274', '408', '331', '446', '416', '226', '505', '238', '590', '785', '693', '378', '113', '112', '336', '485', '279', '489', '409', '605', '127', '173', '283', '482', '212', '151', '57', '303', '437', '245', '153', '786', '252', '702', '316', '270', '468', '218', '307', '179', '683', '210', '311', '98', '357', '176', '666', '181', '631', '145']
['668', '29', '385', '37', '618', '588', '444', '244', '106', '319', '266', '272', '563', '694', '257', '317', '9', '703', '685', '767', '699', '521', '465', '496', '626', '170', '609', '669', '612', '381', '30', '305', '696', '61', '462', '255', '278', '797', '366', '469', '342', '554', '630', '363', '206', '715', '165', '183', '447', '232']
['738', '796', '233', '491', '288', '522', '231', '621', '262', '578', '615', '75', '167', '678', '658', '333', '510', '655', '571', '479', '323', '215', '230', '680', '200', '546', '110', '411', '282', '754', '95', '23', '203', '705', '187', '168', '448', '734', '514', '118', '393', '119', '776', '387', '539', '358', '518', '322', '347', '222']
['508', '103', '198', '248', '271', '663', '457', '461', '697', '418', '698', '707', '784', '141', '267', '39', '538', '332', '13', '348', '276', '722', '431', '565', '500', '499', '18', '639', '383', '136', '672', '213', '783', '74', '86', '716', '435', '547', '91', '644', '552', '792', '602', '223', '353', '771', '80', '350', '450', '712']
