['0', '496', '437', '449', '689', '869', '469']
['1', '424', '931', '31', '97', '269', '768']
['10', '570', '891', '364', '637', '810', '584']
['100', '818', '769', '753', '749', '703', '905']
['101', '125', '836', '254', '615', '417', '808']
['102', '186', '84', '677', '586', '320', '953']
['103', '969', '8', '797', '18', '352', '781']
['104', '695', '49', '197', '154', '835', '537']
['105', '845', '175', '239', '576', '666', '888']
['106', '283', '766', '678', '333', '465', '46']
['107', '291', '732', '904', '593', '670', '81']
['108', '968', '709', '497', '721', '531', '834']
['109', '270', '713', '726', '3', '366', '717']
['11', '527', '190', '878', '19', '456', '681']
['110', '863', '780', '502', '644', '525', '430']
['111', '347', '837', '234', '173', '363', '696']
['112', '714', '685', '560', '80', '294', '6']
['113', '400', '14', '311', '383', '744', '887']
['114', '566', '137', '694', '179', '405', '361']
['115', '92', '423', '952', '232', '924', '631']
['116', '499', '67', '215', '605', '4', '879']
['117', '725', '428', '219', '897', '805', '334']
['118', '577', '493', '251', '128', '851', '775']
['119', '875', '594', '882', '896', '431', '445']
['12', '494', '354', '767', '177', '764', '919']
['120', '73', '707', '822', '750', '660', '832']
['121', '538', '509', '551', '71', '391', '512']
['122', '26', '777', '658', '741', '438', '281']
['123', '722', '610', '470', '482', '279', '872']
['124', '260', '565', '543', '171', '655', '448']
['39', '486', '530', '433', '419', '468', '748']
['126', '51', '489', '691', '127', '64', '427']
['262', '164', '739', '963', '27', '675', '511']
['413', '970', '238', '846', '569', '365', '477']
['129', '572', '747', '752', '224', '728', '37']
['13', '647', '396', '79', '371', '796', '724']
['130', '510', '471', '514', '155', '718', '859']
['131', '182', '498', '53', '682', '913', '406']
['132', '225', '928', '716', '941', '264', '271']
['133', '583', '559', '598', '218', '351', '348']
['134', '360', '435', '684', '587', '613', '661']
['135', '971', '529', '515', '679', '300', '325']
['136', '304', '422', '816', '210', '408', '466']
['484', '544', '382', '519', '43', '454', '373']
['138', '680', '492', '523', '731', '258', '787']
['139', '784', '418', '476', '385', '902', '306']
['328', '142', '29', '649', '648', '581', '967']
['140', '161', '143', '76', '942', '38', '414']
['141', '864', '894', '308', '620', '442', '345']
['461', '54', '506', '398', '280', '786', '622']
['488', '929', '534', '368', '857', '557', '756']
['144', '921', '516', '508', '535', '401', '794']
['145', '248', '407', '923', '702', '416', '788']
['146', '776', '178', '286', '216', '771', '918']
['147', '590', '603', '761', '490', '66', '922']
['148', '862', '925', '240', '948', '266', '903']
['149', '654', '789', '688', '886', '96', '821']
['15', '513', '820', '201', '185', '275', '950']
['150', '426', '856', '938', '284', '297', '30']
['151', '194', '289', '495', '472', '57', '452']
['152', '541', '425', '597', '324', '287', '429']
['153', '524', '867', '176', '564', '627', '568']
['930', '757', '791', '22', '552', '710', '949']
['762', '773', '874', '180', '633', '860', '601']
['156', '380', '231', '542', '356', '880', '33']
['157', '193', '711', '388', '720', '641', '812']
['158', '98', '191', '563', '754', '483', '288']
['159', '229', '331', '626', '619', '299', '671']
['16', '912', '651', '893', '249', '268', '70']
['160', '90', '69', '163', '763', '819', '353']
['436', '399', '227', '441', '78', '85', '474']
['162', '638', '9', '567', '305', '394', '548']
['244', '222', '550', '317', '779', '293', '521']
['665', '199', '276', '705', '737', '662', '785']
['165', '866', '233', '900', '885', '667', '895']
['166', '374', '547', '56', '267', '881', '571']
['167', '228', '823', '803', '545', '68', '907']
['168', '799', '501', '828', '937', '884', '314']
['169', '242', '772', '453', '804', '580', '873']
['17', '277', '451', '296', '833', '592', '549']
['170', '487', '657', '295', '934', '813', '962']
['940', '44', '184', '203', '247', '485', '972']
['172', '628', '274', '562', '473', '800', '892']
['723', '358', '526', '204', '392', '237', '375']
['174', '858', '99', '187', '579', '24', '687']
['329', '730', '381', '917', '40', '640', '75']
['278', '736', '965', '241', '505', '397', '612']
['901', '245', '783', '656', '376', '94', '734']
['343', '444', '600', '556', '847', '595', '253']
['908', '943', '877', '944', '554', '464', '843']
['83', '255', '440', '955', '697', '630', '362']
['478', '372', '369', '344', '774', '312', '532']
['181', '927', '889', '936', '88', '663', '926']
['876', '585', '708', '301', '760', '611', '906']
['183', '319', '853', '313', '87', '346', '591']
['817', '533', '60', '504', '202', '50', '956']
['664', '698', '618', '326', '839', '957', '5']
['349', '960', '890', '790', '840', '491', '273']
['809', '826', '415', '2', '920', '558', '42']
['188', '870', '729', '62', '257', '911', '574']
['189', '384', '460', '745', '735', '751', '692']
['758', '715', '589', '443', '195', '235', '755']
['310', '668', '624', '712', '704', '292', '871']
['410', '596', '632', '256', '683', '250', '47']
['192', '829', '503', '636', '659', '841', '614']
['935', '411', '802', '528', '390', '458', '455']
['643', '909', '838', '801', '387', '645', '389']
['55', '341', '933', '236', '966', '332', '95']
['196', '207', '379', '20', '420', '650', '243']
['450', '212', '959', '599', '958', '951', '865']
['198', '28', '915', '582', '555', '852', '45']
['520', '701', '318', '323', '481', '446', '699']
['669', '86', '459', '868', '36', '588', '629']
['34', '61', '226', '421', '898', '315', '272']
['200', '850', '316', '23', '261', '480', '693']
['522', '518', '609', '672', '727', '946', '404']
['463', '854', '916', '653', '606', '252', '350']
['646', '815', '575', '623', '861', '830', '961']
['500', '93', '91', '539', '336', '339', '58']
['205', '604', '322', '706', '355', '855', '652']
['206', '778', '782', '303', '302', '954', '432']
['910', '690', '370', '746', '673', '740', '263']
['208', '831', '82', '74', '849', '48', '409']
['209', '883', '475', '214', '608', '573', '616']
['21', '964', '507', '402', '814', '798', '561']
['738', '844', '41', '367', '393', '285', '674']
['211', '553', '378', '439', '479', '540', '77']
['457', '467', '290', '792', '899', '621', '32']
