['106', '977', '758', '164', '330', '197', '524', '708', '754', '695', '45', '273', '737', '532', '22', '363', '68', '844', '501', '847']
['150', '988', '874', '814', '816', '325', '669', '606', '107', '780', '248', '704', '828', '520', '256', '83', '749', '830', '111', '351']
['345', '978', '521', '658', '410', '376', '62', '458', '120', '20', '253', '900', '996', '448', '923', '672', '356', '871', '288', '66']
['407', '972', '122', '275', '402', '920', '92', '115', '983', '552', '285', '921', '782', '561', '694', '968', '81', '517', '500', '200']
['457', '338', '135', '474', '763', '584', '608', '738', '880', '576', '33', '321', '786', '469', '970', '668', '522', '653', '644', '934']
['467', '964', '557', '930', '748', '224', '508', '858', '312', '713', '590', '559', '926', '34', '319', '377', '673', '225', '849', '625']
['470', '374', '165', '452', '25', '724', '947', '91', '887', '699', '990', '989', '843', '635', '867', '414', '924', '320', '581', '39']
['578', '304', '342', '961', '475', '61', '371', '85', '401', '546', '425', '953', '498', '329', '550', '863', '408', '499', '610', '293']
['981', '367', '327', '459', '727', '30', '309', '794', '504', '575', '484', '549', '721', '774', '427', '846', '823', '790', '333', '75']
['105', '907', '571', '299', '17', '752', '162', '516', '919', '456', '937', '514', '984', '419', '295', '827', '665', '201', '486', '702']
['109', '545', '316', '362', '259', '723', '400', '815', '519', '736', '622', '648', '216', '626', '393', '819', '818', '534', '64', '429']
['113', '439', '431', '641', '157', '759', '710', '388', '346', '298', '956', '963', '916', '502', '98', '47', '652', '397', '933', '802']
['119', '463', '97', '192', '523', '944', '746', '536', '810', '438', '862', '538']
['121', '181', '943', '762']
['124', '155', '530', '951']
['140', '807', '597', '684']
['143', '569', '686', '535']
['144', '882', '543', '254']
['151', '861', '212', '464']
['160', '935', '443', '659']
['403', '166', '302', '413']
['179', '649', '909', '556']
['186', '172', '507', '460']
['191', '565', '753', '939']
['195', '603', '455', '0']
['202', '938', '247', '868']
['209', '503', '383', '221']
['210', '241', '379', '268']
['211', '415', '674', '513']
['227', '270', '795', '263']
['230', '976', '307', '399']
['747', '138', '709', '102']
['242', '391', '560', '628']
['262', '889', '149', '238']
['265', '510', '692', '544']
['267', '969', '547', '883']
['271', '587', '766', '739']
['272', '893', '585', '859']
['291', '894', '515', '824']
['296', '718', '838', '142']
['297', '906', '176', '353']
['310', '840', '832', '389']
['332', '441', '896', '633']
['343', '324', '866', '9']
['344', '194', '731', '250']
['349', '595', '77', '897']
['36', '235', '898', '732']
['361', '995', '277', '936']
['300', '13', '236', '128']
['365', '750', '982', '487']
['369', '108', '594', '110']
['372', '5', '540', '851']
['375', '446', '67', '395']
['380', '660', '468', '616']
['392', '147', '287', '43']
['405', '733', '292', '808']
['422', '604', '485', '148']
['436', '387', '118', '845']
['450', '842', '154', '214']
['451', '357', '145', '15']
['196', '170', '255', '725']
['466', '605', '493', '161']
['479', '10', '839', '623']
['48', '276', '891', '566']
['488', '480', '902', '505']
['490', '589', '965', '289']
['494', '959', '328', '598']
['512', '592', '141', '163']
['526', '69', '768', '306']
['527', '434', '548', '203']
['53', '788', '765', '215']
['531', '38', '539', '973']
['537', '368', '12', '279']
['473', '261', '991', '404']
['568', '852', '16', '593']
['577', '482', '714', '629']
['582', '756', '701', '442']
['59', '987', '554', '386']
['497', '734', '286', '650']
['60', '378', '781', '634']
['607', '198', '382', '564']
['620', '390', '870', '614']
['651', '735', '416', '899']
['663', '366', '471', '908']
['666', '637', '31', '136']
['696', '682', '915', '600']
['7', '234', '260', '239']
['705', '509', '240', '688']
['707', '574', '334', '528']
['71', '72', '903', '875']
['726', '290', '189', '79']
['73', '716', '323', '715']
['730', '775', '615', '690']
['74', '96', '599', '337']
['602', '26', '103', '925']
['764', '355', '779', '364']
['767', '204', '222', '87']
['771', '418', '11', '558']
['777', '454', '112', '95']
['948', '82', '90', '609']
['783', '243', '308', '689']
['796', '872', '282', '433']
['798', '931', '553', '854']
['799', '461', '167', '542']
['803', '657', '185', '962']
['811', '314', '971', '841']
['817', '303', '675', '664']
['350', '49', '491', '812']
['831', '525', '335', '655']
['836', '586', '233', '104']
['84', '435', '158', '683']
['848', '476', '740', '805']
['94', '711', '886', '855']
