['113', '57', '789', '309', '305', '639', '589', '429', '544', '870']
['717', '949', '487', '230', '291', '713', '146', '120', '485', '924']
['109', '72', '800', '357', '604', '155', '591', '341', '118', '347']
['512', '596', '726', '501', '11', '213', '241', '448', '698', '256']
['588', '31', '2', '378', '90', '176', '931', '281', '5', '703']
['468', '150', '389', '937', '690', '841', '738', '459', '516', '741']
['577', '417', '290', '269', '552', '158', '783', '883', '77', '438']
['444', '404', '885', '914', '159', '63', '576', '689', '208', '834']
['875', '277', '257', '67', '142', '59', '355', '427', '393', '348']
['117', '749', '400', '260', '940', '624', '350', '288', '447', '692']
['874', '686', '232', '582', '872', '98', '524', '719', '0', '929']
['229', '175', '811', '457', '526', '615', '212', '18', '667', '45']
['397', '43', '143', '162', '740', '621', '662', '47', '314', '409']
['66', '628', '479', '278', '889', '957', '505', '450', '244', '294']
['664', '380', '420', '677', '876', '970', '618', '569', '24', '820']
['816', '863', '976', '579', '12', '388', '737', '46', '720', '679']
['274', '638', '258', '632', '815', '121', '921', '828', '900', '469']
['435', '531', '16', '338', '635', '434', '821', '538', '939', '814']
['680', '892', '769', '203', '182', '419', '801', '207', '705', '35']
['774', '850', '10', '383', '776', '48', '29', '897', '209', '104']
['806', '60', '344', '326', '402', '655', '425', '76', '659', '19']
['809', '799', '757', '584', '157', '521', '264', '761', '93', '148']
['191', '685', '307', '575', '298', '536', '488', '474', '311', '36']
['340', '406', '645', '668', '752', '574', '607', '848', '69', '784']
['984', '998', '306', '967', '366', '286', '96', '567', '426', '933']
['977', '33', '996', '517', '302', '985', '779', '242', '52', '611']
['492', '78', '625', '99', '525', '605', '61', '739', '672', '390']
['184', '753', '714', '14', '805', '553', '755', '980', '710', '706']
['375', '127', '64', '865', '4', '608', '960', '792', '565', '331']
['486', '414', '73', '796', '623', '289', '126', '416', '930', '70']
['496', '315', '715', '123', '598', '642', '187', '235', '328', '973']
['515', '368', '745', '205', '853', '354', '657', '843', '926', '193']
['583', '649', '374', '387', '968', '573', '857', '650', '742', '91']
