['272', '245', '494', '303', '396', '82', '361', '356', '735', '318', '679', '192', '345', '604', '677', '256', '387', '418', '451', '372', '472', '499', '202', '251', '252', '507', '8', '694', '477', '431', '48', '613', '732', '23', '156', '147', '70', '742', '566', '249', '352', '533', '308', '71', '189', '725', '223', '233', '113', '743']
['13', '712', '481', '190', '394', '358', '248', '33', '280', '633', '424', '584', '749', '442', '532', '160', '696', '122', '642', '118', '621', '661', '354', '29', '721', '279', '104', '544', '30', '18', '500', '479', '685', '521', '459', '410', '702', '455', '290', '121', '169', '728', '513', '51', '259', '385', '120', '673', '366', '585']
['312', '413', '422', '736', '450', '502', '527', '14', '476', '124', '224', '363', '112', '718', '109', '583', '437', '321', '653', '239', '683', '596', '227', '310', '334', '135', '528', '693', '181', '395', '697', '408', '462', '614', '262', '125', '173', '675', '47', '518', '624', '37', '16', '187', '684', '138', '297', '671', '672', '420']
['364', '46', '234', '211', '643', '34', '549', '389', '285', '632', '94', '41', '541', '292', '445', '270', '531', '114', '73', '458', '659', '117', '552', '473', '257', '556', '268', '474', '607', '593', '38', '406', '448', '347', '412', '134', '63', '710', '623', '230', '11', '260', '210', '45', '386', '66', '328', '700', '9', '678']
['546', '676', '688', '559', '589', '717', '421', '317', '382', '284', '666', '652', '145', '562', '206', '242', '498', '85', '692', '620', '360', '326', '415', '221', '510', '667', '433', '595', '226', '133', '68', '314', '489', '344', '384', '417', '454', '368', '54', '61', '435', '291', '157', '577', '214', '665', '137', '572', '139', '6']
['654', '246', '244', '215', '540', '655', '432', '142', '645', '657', '574', '461', '367', '12', '524', '103', '36', '263', '616', '32', '715', '438', '20', '537', '690', '21', '78', '608', '207', '333', '745', '31', '64', '391', '69', '108', '551', '381', '627', '723', '136', '598', '62', '315', '175', '335', '200', '563', '264', '440']
['419', '504', '503', '674', '50', '738', '663', '299', '617', '615', '89', '289', '336', '77', '636', '105', '87', '711', '204', '691', '243', '730', '707', '650', '22', '602', '306', '1', '293', '203', '542', '265', '60', '40', '102', '278', '199', '496', '561', '373', '569', '606', '180', '597', '162', '123', '587', '92', '439', '416']
['90', '484', '353', '519', '141', '411', '398', '509', '580', '709', '701', '581', '703', '713', '253', '475', '325', '444', '75', '687', '695', '305', '53', '4', '288', '371', '195', '493', '648', '470', '316', '298', '273', '225', '369', '534', '209', '590', '281', '327', '483', '699', '218', '44', '482', '578', '634', '744', '526', '229']
['588', '184', '24', '545', '161', '514', '430', '388', '267', '115', '664', '228', '271', '357', '669', '10', '402', '274', '241', '231', '276', '365', '329', '586', '379', '213', '748', '26', '378', '680', '441', '522', '322', '746', '714', '376', '93', '167', '491', '96', '185', '631', '506', '414', '144', '426', '311', '91', '342', '375']
['131', '670', '309', '236', '535', '557', '539', '110', '346', '319', '390', '704', '579', '179', '140', '80', '651', '567', '405', '727', '238', '188', '485', '560', '183', '610', '43', '443', '601', '355', '726', '307', '3', '622', '492', '716', '428', '0', '158', '172', '350', '65', '201', '488', '640', '719', '149', '399', '84', '497']
['734', '480', '456', '517', '193', '628', '165', '219', '660', '340', '708', '550', '530', '582', '222', '468', '275', '619', '99', '148', '739', '564', '649', '501', '380', '611', '635', '733', '67', '471', '359', '630', '52', '609', '166', '98', '56', '196', '5', '168', '150', '220', '538', '464', '351', '516', '547', '515', '457', '529']
['570', '383', '571', '258', '403', '74', '486', '72', '159', '296', '374', '400', '106', '575', '76', '682', '198', '722', '392', '600', '629', '639', '466', '49', '240', '349', '638', '618', '536', '266', '302', '313', '232', '25', '543', '7', '177', '126', '237', '469', '255', '573', '706', '295', '729', '286', '490', '132', '282', '747']
['348', '505', '130', '97', '594', '558', '287', '337', '576', '331', '111', '487', '429', '247', '397', '592', '393', '59', '447', '605', '737', '269', '86', '235', '332', '612', '300', '495', '107', '119', '689', '58', '19', '465', '151', '27', '658', '81', '656', '116', '555', '320', '720', '508', '603', '163', '153', '362', '425', '2']
['283', '101', '216', '436', '155', '478', '523', '662', '637', '146', '404', '591', '57', '208', '205', '705', '83', '304', '407', '644', '324', '294', '35', '698', '554', '182', '741', '626', '28', '250', '129', '176', '128', '277', '127', '152', '171', '427', '170', '641', '79', '460', '452', '42', '254', '446', '599', '449', '647', '194']
['401', '668', '409', '55', '197', '463', '178', '15', '565', '39', '686', '261', '548', '186', '512', '339', '453', '330', '338', '740', '731', '434', '143', '17', '323', '217', '301', '341', '646', '164', '553', '100', '343', '377', '95', '423', '724', '525', '174', '88', '212', '191', '520', '511', '154', '568', '625', '467', '681', '370']
