['728', '339', '506', '362', '488', '120', '627', '657', '44', '359', '105', '606', '752', '477', '795', '24', '152', '16', '360', '541', '402', '369', '156', '656', '146', '58', '789', '662', '69', '161', '162', '526', '717', '530', '629', '430', '586', '338', '5', '178', '682', '89', '591', '490', '559', '237', '424', '597', '36', '233']
['20', '34', '63', '555', '25', '241', '186', '498', '192', '97', '78', '229', '772', '750', '661', '459', '371', '268', '259', '309', '417', '403', '224', '587', '53', '19', '320', '169', '324', '755', '263', '335', '264', '219', '96', '470', '708', '515', '471', '474', '648', '427', '102', '55', '614', '787', '301', '645', '507', '535']
['625', '689', '38', '511', '157', '175', '380', '251', '52', '779', '765', '72', '596', '140', '419', '26', '17', '77', '295', '273', '764', '326', '568', '762', '713', '28', '121', '373', '478', '88', '394', '458', '579', '43', '719', '747', '32', '564', '310', '64', '410', '558', '686', '289', '312', '376', '790', '560', '676', '167']
['318', '736', '652', '116', '108', '600', '125', '334', '115', '131', '749', '577', '601', '516', '139', '793', '300', '197', '111', '575', '451', '33', '473', '50', '1', '191', '128', '604', '551', '372', '493', '4', '760', '390', '227', '123', '527', '148', '92', '544', '321', '6', '56', '208', '299', '741', '420', '484', '675', '61']
['624', '265', '313', '65', '423', '246', '3', '494', '519', '184', '681', '298', '701', '598', '286', '239', '249', '414', '275', '302', '391', '7', '87', '154', '679', '525', '434', '172', '503', '775', '664', '101', '492', '59', '261', '742', '214', '723', '727', '636', '453', '406', '99', '512', '758', '483', '671', '599', '220', '75']
['693', '210', '215', '455', '710', '687', '160', '11', '623', '432', '740', '452', '85', '250', '774', '166', '446', '255', '296', '565', '177', '416', '226', '622', '590', '118', '732', '785', '425', '168', '113', '112', '644', '610', '448', '190', '279', '308', '209', '677', '520', '212', '393', '356', '751', '773', '734', '274', '756', '247']
['768', '132', '138', '134', '42', '325', '343', '659', '388', '724', '633', '94', '791', '688', '256', '572', '400', '744', '235', '185', '620', '337', '643', '692', '486', '634', '164', '21', '258', '583', '144', '513', '352', '107', '421', '542', '382', '651', '180', '117', '349', '46', '442', '155', '207', '731', '638', '130', '746', '783']
['653', '725', '690', '290', '649', '567', '608', '129', '254', '582', '517', '532', '753', '543', '260', '355', '67', '438', '204', '729', '684', '49', '379', '441', '405', '454', '674', '607', '60', '243', '2', '142', '691', '709', '368', '611', '15', '66', '616', '580', '225', '557', '665', '292', '548', '654', '367', '718', '440', '550']
['711', '396', '407', '794', '284', '456', '277', '205', '524', '556', '428', '199', '650', '566', '84', '730', '114', '234', '495', '327', '211', '281', '449', '777', '788', '433', '569', '174', '370', '720', '695', '188', '704', '721', '549', '706', '781', '54', '595', '384', '196', '330', '287', '365', '150', '628', '737', '522', '508', '133']
['460', '743', '159', '521', '726', '173', '242', '193', '244', '745', '397', '271', '328', '672', '457', '461', '602', '697', '698', '754', '707', '141', '252', '39', '358', '669', '332', '231', '23', '621', '163', '413', '354', '270', '712', '9', '481', '518', '771', '646', '276', '547', '722', '194', '81', '90', '642', '236', '344', '504']
['357', '14', '311', '562', '463', '415', '230', '232', '82', '667', '487', '666', '798', '408', '536', '76', '766', '293', '29', '0', '469', '378', '585', '127', '153', '119', '319', '694', '784', '578', '137', '399', '333', '738', '294', '323', '291', '104', '280', '98', '176', '269', '680', '181', '552', '422', '202', '631', '553', '437']
['475', '100', '158', '509', '253', '426', '8', '639', '187', '439', '409', '641', '588', '574', '374', '48', '531', '322', '668', '739', '106', '776', '757', '502', '341', '778', '404', '74', '86', '109', '266', '387', '272', '257', '282', '10', '386', '248', '165', '476', '523', '528', '537', '763', '479', '68', '632', '640', '647', '203']
['62', '767', '733', '135', '759', '200', '83', '346', '395', '389', '465', '385', '467', '529', '216', '630', '45', '206', '316', '381', '678', '27', '218', '182', '696', '331', '496', '126', '285', '613', '189', '366', '626', '342', '514', '540', '363', '786', '702', '345', '593', '240', '51', '305', '770', '589', '472', '41', '505', '143']
['445', '443', '450', '603', '91', '554', '500', '170', '347', '480', '539', '615', '780', '637', '561', '703', '412', '533', '468', '447', '700', '377', '222', '658', '149', '392', '619', '545', '464', '304', '217', '375', '685', '122', '466', '510', '429', '364', '655', '799', '673', '401', '571', '297', '40', '748', '179', '570', '79', '618']
['699', '103', '482', '151', '47', '436', '361', '716', '411', '612', '306', '462', '660', '782', '635', '499', '110', '18', '198', '761', '670', '383', '136', '663', '213', '228', '573', '351', '796', '22', '145', '238', '501', '485', '592', '283', '340', '57', '303', '609', '538', '93', '314', '336', '605', '245', '431', '715', '714', '489']
['315', '444', '12', '435', '534', '267', '350', '95', '124', '262', '769', '348', '30', '35', '617', '147', '497', '288', '563', '317', '735', '80', '797', '584', '491', '31', '73', '307', '683', '581', '398', '171', '418', '353', '37', '223', '71', '546', '13', '201', '221', '278', '594', '576', '195', '70', '705', '183', '329', '792']
