['173', '109', '381', '332', '264', '17', '399', '45', '398', '110']
['210', '265', '103', '242', '149', '38', '4', '171', '184', '107']
['216', '314', '379', '404', '252', '349', '460', '66', '263', '489']
['217', '7', '54', '443', '346', '318', '472', '253', '423', '476']
['30', '104', '221', '395', '275', '427', '313', '55', '373', '85']
['34', '208', '393', '495', '475', '353', '198', '324', '473', '267']
['341', '456', '295', '156', '48', '241', '227', '385', '111', '75']
['37', '197', '492', '9', '335', '96', '323', '77', '339', '480']
['424', '337', '87', '22', '29', '277', '3', '193', '326', '42']
['50', '93', '407', '179', '311', '330', '481', '432', '496', '435']
['74', '26', '433', '307', '229', '11', '71', '18', '336', '402']
['126', '358', '186', '255', '315', '356', '429', '108', '178', '117']
['150', '225', '409', '279', '344', '257', '302', '183', '114', '112']
['159', '392', '122', '136', '396', '288', '88', '408', '177', '368']
['169', '69', '451', '187', '170', '56', '119', '276', '487', '434']
['182', '390', '230', '113', '240', '445', '306', '444', '371', '363']
['189', '308', '23', '354', '351', '467', '483', '92', '414', '76']
['204', '121', '321', '206', '378', '60', '58', '320', '301', '46']
['232', '175', '57', '461', '235', '133', '152', '222', '389', '462']
['101', '153', '412', '459', '233', '162', '282', '269', '212', '406']
['236', '449', '115', '13', '10', '144', '86', '89', '262', '493']
['237', '494', '24', '224', '226', '352', '478', '468', '309', '70']
['248', '137', '413', '223', '120', '102', '52', '168', '411', '16']
['258', '430', '285', '401', '442', '97', '63', '278', '254', '220']
['27', '377', '290', '420', '99', '243', '296', '213', '357', '185']
['271', '214', '260', '174', '134', '261', '360', '365', '484', '465']
['28', '273', '125', '128', '161', '417', '116', '19', '199', '474']
['280', '123', '361', '422', '218', '176', '40', '47', '359', '231']
['291', '249', '458', '129', '310', '98', '81', '293', '485', '416']
['316', '238', '165', '488', '202', '132', '59', '367', '154', '62']
['322', '91', '446', '345', '438', '188', '190', '244', '469', '158']
['325', '15', '369', '292', '466', '426', '419', '14', '84', '31']
['327', '482', '207', '284', '376', '382', '397', '78', '454', '294']
['340', '342', '142', '386', '2', '498', '455', '203', '333', '441']
['355', '470', '41', '305', '431', '61', '200', '209', '239', '131']
['36', '372', '436', '350', '6', '439', '94', '53', '362', '247']
['251', '141', '259', '448', '304', '452', '272', '334', '140', '447']
['391', '343', '421', '347', '303', '130', '64', '205', '405', '44']
['100', '146', '194', '219', '388', '364', '166', '297', '428', '65']
['440', '274', '8', '331', '73', '167', '5', '163', '43', '289']
['281', '151', '127', '139', '1', '450', '160', '49', '464', '32']
['486', '270', '39', '338', '471', '246', '286', '25', '124', '374']
['490', '437', '157', '106', '287', '21', '384', '245', '192', '410']
['499', '370', '195', '80', '191', '20', '319', '383', '453', '12']
['51', '79', '403', '35', '172', '72', '143', '266', '211', '256']
['67', '298', '196', '147', '105', '312', '228', '479', '463', '250']
['0', '300', '68', '135', '394', '82', '380', '415', '497', '457']
['138', '491', '400', '366', '375', '118', '387', '328', '317', '33']
['180', '348', '155', '215', '418', '425', '234', '477', '283', '268']
['299', '95', '201', '83', '164', '148', '90', '329', '145', '181']
