['381', '211', '3', '489', '378', '393', '721', '764', '610', '235']
['116', '126', '751', '407', '680', '29', '475', '352', '591', '584']
['127', '465', '404', '34', '568', '11', '649', '791', '528', '679']
['206', '220', '266', '274', '67', '688', '711', '659', '379', '412']
['207', '362', '214', '134', '633', '541', '79', '544', '775', '536']
['241', '245', '0', '224', '152', '233', '685', '161', '45', '635']
['256', '516', '669', '773', '26', '81', '238', '447', '39', '463']
['760', '656', '789', '658', '64', '158', '109', '684', '437', '33']
['310', '376', '260', '546', '263', '704', '612', '695', '259', '239']
['359', '98', '232', '223', '35', '350', '333', '626', '770', '423']
['361', '16', '747', '96', '673', '78', '664', '255', '467', '270']
['391', '786', '53', '631', '2', '181', '322', '472', '202', '125']
['449', '68', '788', '410', '258', '606', '556', '455', '83', '671']
['468', '759', '162', '745', '448', '670', '722', '72', '702', '114']
['58', '17', '692', '382', '578', '269', '621', '756', '13', '21']
['700', '632', '421', '627', '590', '723', '406', '351', '52', '1']
['744', '597', '496', '73', '452', '595', '405', '499', '473', '371']
['774', '743', '498', '180', '763', '103', '354', '305', '559', '138']
['108', '675', '155', '653', '483', '230', '767', '244', '661', '111']
['130', '719', '285', '488', '90', '497', '368', '139', '100', '18']
['15', '484', '208', '7', '246', '436', '31', '24', '613', '398']
['163', '226', '342', '339', '645', '183', '630', '470', '283', '697']
['494', '356', '166', '293', '558', '146', '539', '609', '216', '457']
['191', '185', '320', '575', '314', '640', '264', '136', '600', '740']
['201', '168', '124', '754', '565', '123', '144', '619', '460', '145']
['55', '454', '312', '790', '713', '657', '742', '542', '580', '343']
['248', '628', '727', '538', '564', '733', '400', '603', '349', '25']
['213', '782', '122', '726', '720', '170', '476', '563', '82', '534']
['41', '210', '332', '509', '439', '184', '572', '227', '647', '8']
['278', '736', '651', '112', '493', '453', '772', '560', '413', '249']
['282', '794', '48', '357', '571', '140', '715', '396', '86', '458']
['779', '115', '12', '80', '200', '203', '46', '761', '429', '229']
['288', '718', '344', '118', '616', '105', '304', '511', '469', '85']
['290', '151', '175', '306', '236', '562', '172', '289', '74', '548']
['299', '780', '160', '395', '650', '434', '366', '482', '589', '167']
['302', '234', '596', '198', '689', '119', '120', '629', '674', '218']
['308', '271', '374', '346', '451', '133', '682', '91', '284', '732']
['32', '741', '795', '566', '149', '110', '557', '375', '311', '668']
['323', '602', '660', '698', '678', '9', '75', '364', '716', '297']
['327', '221', '601', '623', '643', '228', '325', '101', '243', '199']
['336', '92', '505', '165', '478', '456', '197', '430', '525', '582']
['337', '30', '247', '383', '758', '187', '424', '735', '307', '156']
['783', '784', '141', '506', '422', '286', '672', '22', '576', '654']
['380', '296', '370', '137', '766', '750', '409', '625', '574', '10']
['389', '386', '338', '84', '252', '604', '731', '128', '547', '522']
['392', '313', '440', '681', '401', '59', '192', '19', '545', '334']
['331', '487', '648', '426', '567', '402', '335', '762', '734', '300']
['40', '14', '176', '5', '491', '549', '543', '526', '663', '414']
['309', '250', '717', '153', '614', '147', '65', '527', '443', '441']
['432', '345', '620', '588', '728', '189', '384', '581', '665', '533']
['433', '521', '317', '686', '420', '262', '530', '225', '157', '287']
['188', '298', '44', '150', '714', '385', '637', '464', '408', '799']
['445', '254', '49', '739', '171', '561', '315', '20', '326', '195']
['154', '294', '159', '792', '519', '194', '500', '450', '694', '752']
['471', '169', '178', '474', '518', '148', '785', '237', '42', '485']
['204', '36', '730', '550', '641', '768', '709', '755', '466', '261']
['273', '646', '492', '746', '535', '104', '551', '182', '394', '778']
['495', '411', '179', '61', '757', '553', '652', '219', '190', '76']
['513', '749', '88', '622', '666', '62', '481', '537', '617', '608']
['196', '102', '209', '765', '135', '4', '23', '532', '28', '87']
['523', '706', '69', '50', '520', '708', '605', '253', '353', '215']
['531', '51', '480', '776', '435', '738', '583', '753', '303', '573']
['552', '687', '577', '113', '693', '707', '593', '461', '117', '501']
['89', '636', '634', '66', '340', '280', '570', '662', '377', '690']
['517', '427', '524', '251', '363', '624', '106', '70', '490', '667']
['615', '696', '369', '655', '240', '729', '27', '415', '737', '462']
['781', '57', '276', '416', '275', '267', '77', '503', '701', '328']
['644', '431', '348', '748', '132', '301', '6', '594', '477', '38']
['397', '56', '388', '599', '796', '425', '347', '508', '292', '54']
['705', '321', '71', '272', '43', '47', '419', '479', '242', '268']
['676', '724', '316', '107', '94', '699', '217', '360', '257', '186']
['428', '37', '793', '515', '798', '642', '607', '507', '341', '358']
['205', '769', '585', '372', '390', '318', '329', '504', '399', '291']
['703', '97', '587', '592', '231', '554', '510', '99', '611', '512']
['277', '691', '710', '771', '579', '555', '387', '131', '279', '442']
['712', '777', '502', '173', '222', '93', '529', '797', '683', '638']
['319', '324', '444', '365', '330', '164', '265', '143', '95', '446']
['618', '459', '367', '281', '174', '438', '417', '373', '121', '177']
['129', '63', '514', '677', '60', '418', '540', '295', '787', '725']
['586', '598', '355', '212', '569', '142', '193', '639', '486', '403']
