['0', '386', '551', '237', '196', '747', '693']
['1', '178', '582', '377', '496', '205', '303']
['10', '66', '454', '719', '501', '631', '212']
['100', '201', '421', '493', '600', '641', '457']
['101', '709', '659', '784', '487', '589', '300']
['102', '762', '580', '335', '59', '60', '117']
['103', '557', '521', '652', '743', '767', '73']
['104', '672', '194', '275', '264', '732', '81']
['105', '25', '85', '529', '431', '394', '380']
['107', '246', '466', '51', '92', '433', '776']
['11', '295', '680', '353', '645', '694', '72']
['111', '720', '793', '729', '429', '265', '498']
['113', '614', '419', '187', '447', '616', '80']
['114', '228', '338', '592', '449', '539', '522']
['115', '373', '82', '679', '350', '398', '364']
['116', '74', '96', '347', '696', '88', '540']
['118', '97', '86', '410', '739', '530', '699']
['119', '330', '184', '469', '209', '523', '651']
['12', '360', '639', '121', '229', '202', '515']
['120', '512', '506', '768', '161', '461', '782']
['123', '267', '61', '666', '70', '751', '681']
['124', '36', '93', '467', '367', '738', '650']
['125', '208', '617', '459', '698', '536', '458']
['126', '516', '555', '615', '112', '468', '773']
['127', '486', '236', '702', '609', '296', '610']
['128', '28', '688', '64', '532', '133', '56']
['129', '375', '707', '715', '361', '623', '665']
['13', '225', '648', '560', '629', '503', '84']
['130', '18', '420', '642', '414', '590', '572']
['131', '220', '695', '626', '473', '527', '537']
['132', '593', '769', '662', '624', '509', '734']
['134', '799', '306', '778', '79', '42', '44']
['135', '721', '542', '55', '484', '790', '402']
['137', '733', '342', '524', '758', '558', '453']
['138', '658', '789', '675', '718', '110', '497']
['139', '627', '221', '4', '91', '748', '632']
['14', '779', '323', '401', '561', '644', '654']
['140', '490', '710', '340', '444', '772', '62']
['141', '358', '756', '791', '604', '352', '479']
['142', '477', '446', '520', '494', '53', '596']
['143', '554', '579', '620', '106', '333', '247']
['145', '451', '94', '622', '605', '259', '40']
['146', '185', '576', '136', '594', '432', '460']
['147', '464', '270', '795', '765', '667', '731']
['148', '356', '392', '368', '571', '337', '331']
['149', '664', '689', '403', '359', '722', '700']
['15', '568', '344', '783', '430', '363', '668']
['151', '307', '24', '321', '304', '670', '545']
['152', '52', '608', '471', '673', '435', '588']
['154', '489', '43', '716', '108', '320', '408']
['155', '476', '162']
['156', '544', '492']
['157', '32', '349']
['158', '514', '676']
['159', '678', '277']
['16', '488', '188']
['388', '76', '591']
['164', '3', '241']
['165', '169', '761']
['166', '168', '452']
['167', '597', '528']
['182', '227', '210']
['69', '660', '628']
['171', '179', '519']
['172', '587', '301']
['173', '691', '90']
['174', '736', '483']
['175', '755', '708']
['176', '525', '39']
['37', '436', '750']
['400', '744', '286']
['437', '780', '613']
['180', '443', '531']
['181', '723', '89']
['426', '314', '491']
['774', '63', '315']
['186', '606', '547']
['602', '518', '326']
['189', '737', '299']
['19', '266', '57']
['190', '382', '396']
['192', '244', '585']
['193', '535', '663']
['289', '71', '282']
['195', '268', '677']
['197', '553', '31']
['198', '798', '548']
['199', '33', '472']
['20', '252', '391']
['200', '376', '316']
['683', '785', '726']
['204', '305', '7']
['206', '599', '262']
['207', '701', '440']
['399', '697', '83']
['21', '573', '324']
['211', '445', '78']
['214', '649', '441']
['215', '463', '584']
['216', '533', '381']
['217', '389', '456']
['219', '317', '322']
['144', '122', '422']
['712', '674', '46']
['222', '550', '251']
['223', '257', '713']
['777', '565', '318']
['226', '369', '504']
['345', '499', '29']
['23', '637', '256']
['231', '781', '500']
['232', '603', '578']
['233', '411', '439']
['234', '279', '770']
['5', '607', '285']
['239', '759', '633']
['339', '328', '424']
['240', '99', '653']
['495', '319', '502']
['242', '788', '741']
['243', '706', '763']
['717', '250', '87']
['245', '442', '404']
['513', '213', '260']
['248', '546', '534']
['249', '478', '291']
['727', '26', '745']
['351', '711', '704']
['682', '625', '27']
['598', '538', '766']
['253', '302', '705']
['254', '575', '385']
['255', '725', '365']
['574', '753', '293']
['427', '191', '38']
['787', '581', '586']
['261', '35', '728']
['47', '75', '357']
['263', '390', '280']
['686', '510', '294']
['730', '218', '475']
['569', '482', '481']
['269', '416', '448']
['407', '797', '383']
['656', '362', '669']
['271', '480', '30']
['272', '336', '354']
['273', '563', '505']
['274', '417', '485']
['276', '735', '794']
['611', '355', '45']
['278', '465', '541']
['754', '54', '684']
['601', '393', '746']
['153', '258', '630']
['281', '412', '49']
['570', '58', '657']
['284', '647', '687']
['566', '370', '98']
['346', '415', '109']
['288', '792', '290']
['764', '423', '406']
['397', '41', '757']
['177', '203', '67']
['292', '543', '661']
['8', '742', '640']
['564', '372', '434']
['405', '238', '387']
['297', '379', '619']
['298', '384', '692']
['636', '311', '714']
['634', '341', '170']
['559', '618', '309']
['562', '786', '34']
['160', '724', '2']
['517', '230', '413']
['752', '343', '366']
['450', '425', '671']
['308', '567', '428']
['17', '95', '334']
['310', '760', '511']
['22', '395', '65']
['312', '556', '77']
['313', '595', '685']
['474', '749', '455']
['371', '283', '643']
['796', '690', '655']
['646', '183', '638']
['508', '771', '68']
['235', '418', '526']
['740', '287', '9']
['552', '507', '224']
['348', '325', '621']
['163', '549', '374']
['703', '470', '378']
['327', '775', '6']
['329', '438', '48']
['150', '462', '50']
['612', '577', '583']
['332', '635', '409']
