['308', '585', '317', '884', '672', '7', '605', '541', '379', '577', '827', '580', '740', '590', '337', '498', '339', '326', '180', '516', '967', '94', '521', '876', '570', '715', '615', '738', '448', '563', '341', '562', '900', '737', '92', '287', '253', '571', '579', '194', '805', '175', '633', '578', '527', '86', '868', '340', '846', '336', '965', '181', '847', '58', '265', '966', '147', '467', '263', '920', '350', '640', '27', '488']
['203', '16', '142', '716', '773', '123', '803', '706', '458', '670', '227', '594', '925', '639', '272', '676', '375', '929', '406', '779', '999', '873', '354', '196', '660', '184', '292', '539', '3', '495', '753', '338', '407', '77', '584', '664', '473']
['37', '494', '895', '463', '844', '247', '88', '714', '877', '422', '501', '153', '520', '745', '157', '67', '313', '386', '220', '838', '197', '652', '169', '31', '159', '663', '493', '502', '515', '596', '434']
['472', '617', '140', '864', '889', '788', '903', '113', '995', '625', '840', '286', '651', '450', '645', '282', '230', '109', '235', '974', '333', '507', '830', '93', '302', '29', '306', '768', '523', '726', '930']
['532', '378', '135', '785', '242', '821', '413', '766', '946', '289', '301', '195', '141', '835', '484', '212', '786', '611', '42', '777', '733', '568', '187', '545', '59', '404', '872', '273', '775', '176', '794']
['103', '137', '225', '437', '426', '564', '297', '718', '500', '607', '529', '250', '236', '87', '906', '739', '798', '787', '627', '736', '857', '693', '356', '894', '746', '371', '226', '485', '349', '461', '410']
['44', '522', '330', '669', '156', '953', '117', '423', '653', '910', '599', '374', '446', '855', '215', '887', '84', '890', '158', '125', '960', '576', '519', '489', '759', '547', '923', '778', '428', '345', '806']
['694', '863', '962', '256', '454', '813', '649', '214', '100', '780', '917', '741', '120', '657', '491', '536', '828', '548', '725', '91', '908', '961', '70', '205', '319', '321', '133', '445', '424', '902', '797']
['96', '427', '730', '393', '618', '569', '968', '244', '35', '717', '776', '604', '621', '980', '845', '675', '241', '219', '546', '537', '831', '57', '774', '854', '17', '280', '540', '947', '648', '796', '65']
['474', '592', '78', '296', '471', '128', '114', '674', '465', '479', '304', '888', '874', '875', '53', '525', '60', '723', '860', '985', '667', '278', '689', '763', '695', '415', '691', '573', '572', '843', '373']
['475', '438', '409', '419', '372', '481', '323', '784', '55', '447', '131', '729', '848', '20', '310', '871', '704', '348', '762', '146', '924', '328', '357', '600', '79', '508', '271', '752', '783', '685', '8']
['634', '510', '353', '129', '983', '270', '108', '713', '2', '160', '449', '106', '398', '814', '268', '581', '815', '981', '904', '878', '284', '22', '712', '988', '970', '118', '614', '905', '504', '503', '637']
['818', '721', '33', '0', '360', '288', '327', '511', '626', '914', '430', '403', '83', '453', '318', '191', '940', '612', '551', '61', '396', '122', '989', '166', '921', '416', '51', '764', '414', '275', '425']
['54', '732', '399', '705', '73', '283', '886', '391', '177', '207', '632', '795', '658', '170', '816', '462', '772', '432', '332', '850', '710', '996', '347', '127', '735', '629', '870', '575', '742', '74', '531']
['896', '188', '661', '97', '300', '883', '743', '126', '927', '254', '309', '557', '673', '892', '699', '998', '138', '85', '982', '771', '802', '654', '222', '686', '744', '678', '412', '932', '476', '671', '361']
['276', '834', '121', '69', '232', '530', '554', '346', '358', '754', '782', '851', '149', '528', '105', '429', '307', '997', '918', '144', '259', '119', '856', '145', '1', '298', '249', '32', '817', '635', '631']
['538', '973', '709', '52', '809', '401', '499', '303', '381', '186', '643', '34', '790', '603', '468', '130', '237', '913', '559', '811', '907', '30', '201', '394', '915', '239', '380', '48', '376', '719', '956']
['748', '90', '602', '681', '5', '697', '193', '21', '76', '824', '95', '211', '9', '749', '482', '64', '650', '622', '351', '836', '891', '677', '859', '107', '861', '842', '228', '505', '56', '760', '240']
['116', '190', '110', '81', '198', '829', '10', '342', '944', '751', '139', '616', '761', '389', '366', '14', '460', '293', '810', '897', '837', '305', '40', '443', '62', '487', '692', '958', '793', '466', '352']
['23', '192', '486', '355', '880', '909', '833', '200', '574', '206', '25', '804', '344', '295', '799', '229', '926', '628', '938', '993', '882', '6', '285', '939', '75', '260', '71', '598', '334', '879', '666']
['972', '945', '990', '912', '115', '322', '18', '452', '656', '720', '382', '543', '325', '421', '943', '542', '161', '644', '964', '922', '367', '801', '680', '702', '549', '750', '248', '252', '369', '700', '24']
['417', '556', '45', '819', '662', '916', '243', '862', '101', '609', '335', '245', '789', '867', '583', '588', '11', '792', '178', '370', '266', '587', '50', '387', '274', '684', '47', '610', '15', '942', '277']
['13', '593', '820', '659', '49', '208', '80', '682', '513', '172', '189', '560', '514', '509', '823', '665', '174', '343', '984', '620', '987', '182', '363', '179', '701', '408', '928', '619', '132', '165', '26']
['534', '747', '311', '636', '163', '517', '936', '707', '439', '39', '269', '204', '397', '597', '807', '623', '464', '524', '959', '949', '171', '822', '765', '865', '291', '234', '12', '849', '261', '451', '841']
['758', '164', '68', '316', '143', '668', '238', '566', '963', '952', '767', '565', '881', '431', '526', '561', '312', '314', '951', '553', '978', '43', '683', '941', '185', '969', '497', '606', '148', '832', '977']
['698', '104', '727', '435', '36', '696', '66', '46', '911', '899', '591', '483', '320', '808', '216', '154', '608', '469', '937', '183', '442', '812', '731', '246', '167', '315', '134', '162', '63', '898', '124']
['329', '724', '869', '791', '679', '687', '478', '331', '893', '490', '901', '728', '885', '586', '281', '690', '957', '931', '390', '492', '385', '151', '257', '734', '405', '202', '991', '976', '647', '506', '418']
