['0', '147', '500', '463', '586', '487', '556', '328', '373', '495']
['1', '221', '493', '76', '521', '338', '61', '564', '32', '395']
['10', '284', '424', '566', '337', '326', '79', '383', '263', '369']
['100', '324', '591', '422', '235', '159', '434', '471', '462', '366']
['101', '214', '584', '264', '88', '325', '295', '49', '439', '348']
['102', '291', '416', '80', '322', '491', '43', '244', '378', '38']
['103', '428', '573', '490', '377', '99', '345', '231', '529', '194']
['104', '421', '396', '249', '271', '408', '390', '393', '78', '56']
['105', '513', '253', '268', '340', '302', '359', '496', '450', '211']
['106', '68', '67', '47', '226', '401', '207', '427', '530', '209']
['107', '293', '445', '23', '415', '267', '342', '229', '17', '37']
['108', '589', '541', '336', '173', '45', '143', '420', '238', '215']
['109', '481', '361', '565', '230', '472', '363', '404', '265', '42']
['11', '165', '592', '93', '368', '518', '219', '179', '425', '34']
['110', '213', '301', '560', '138', '258', '579', '538', '341', '391']
['111', '19', '534', '9', '570', '436', '269', '577', '30', '292']
['112', '163', '419', '95', '536', '449', '66', '553', '355', '170']
['113', '175', '568', '168', '400', '183', '236', '44', '514', '331']
['114', '473', '578', '308', '3', '157', '459', '300', '330', '273']
['115', '318', '257', '526', '451', '597', '389', '162', '446', '588']
['116', '483', '456', '524', '405', '133', '65', '546', '27', '484']
['117', '460', '73', '278', '97', '280', '371', '16', '201', '310']
['118', '247', '442', '294', '585', '474', '98', '8', '218', '519']
['119', '375', '29', '398', '432', '559', '299', '461', '195', '205']
['12', '90', '256', '431', '542', '469', '289', '224', '52', '312']
['120', '435', '413', '240', '532', '315', '372', '593', '255', '4']
['121', '505', '418', '489', '82', '412', '458', '81', '296', '306']
['122', '499', '188', '21', '467', '248', '409', '217', '334', '403']
['123', '598', '414', '367', '381', '176', '252', '190', '594', '563']
['124', '394', '208', '297', '171', '346', '441', '279', '177', '397']
['125', '525', '561', '35', '86', '492', '477', '468', '454', '417']
['127', '245', '317', '266', '550', '504', '523', '83', '587', '307']
['128', '327', '187', '237', '581', '590', '426', '69', '276', '186']
['129', '55', '360', '250', '554', '206', '494', '344', '482', '161']
['13', '91', '282', '197', '558', '24', '452', '552', '539', '399']
['130', '191', '239', '551', '7', '410', '571', '364', '261', '575']
['131', '506', '281', '354', '243', '465', '352', '320', '77', '321']
['132', '376', '233', '429', '350', '349', '189', '533', '423', '440']
['134', '388', '555', '365', '285', '517', '270', '520', '204', '509']
['135', '87', '545', '160', '528', '46', '480', '343', '18', '31']
['136', '547', '497', '54', '62', '75', '314', '444', '433', '242']
['137', '507', '51', '522', '544', '48', '251', '358', '382', '28']
['139', '411', '184', '347', '172', '574', '182', '510', '478', '596']
['14', '498', '241', '332', '515', '476', '22', '557', '70', '406']
['140', '158', '25', '85', '84', '227', '164', '562', '5', '6']
['141', '362', '508', '272', '305', '167', '311', '232', '466', '192']
['142', '379', '453', '180', '572', '2', '582', '212', '166', '60']
['144', '193', '313', '329', '50', '438', '222', '254', '71', '380']
['145', '569', '96', '33', '356', '64', '335', '200', '464', '185']
['146', '485', '262', '72', '576', '94', '392', '202', '455', '511']
['148', '63', '298', '287', '437', '58', '448', '316', '57', '527']
['149', '319', '323', '210', '583', '196', '543', '537', '198', '384']
['15', '501', '470', '26', '407', '220', '74', '540', '339', '595']
['150', '488', '178', '36', '580', '20', '274', '92', '41', '386']
['151', '567', '228', '303', '40', '457', '353', '549', '502', '370']
['152', '283', '223', '430', '447', '181', '387', '59', '309', '277']
['153', '225', '599', '503', '39', '169', '374', '531', '357', '53']
['154', '286', '535', '288', '512', '199', '443', '234', '333', '259']
['155', '402', '479', '516', '475', '486', '290', '548', '351', '89']
['156', '203', '275', '304', '216', '246', '174', '260', '385', '126']
