['235', '426', '223', '24', '386', '122', '460', '313', '427', '156']
['489', '166', '430', '479', '324', '373', '152', '207', '33', '279']
['0', '226', '480', '310', '289', '474', '135', '255', '61', '195']
['1', '462', '14', '182', '245', '331', '365', '44', '433', '297']
['10', '188', '318', '97', '431', '478', '363', '403', '196', '398']
['100', '451', '95', '93', '299', '309', '465', '54', '191', '307']
['101', '114', '218', '394', '339', '238', '31', '445', '440', '306']
['102', '94', '13', '303', '275', '334', '215', '162', '477', '464']
['103', '362', '450', '137', '59', '246', '413', '107', '251', '222']
['104', '147', '382', '174', '282', '291', '29', '187', '179', '448']
['105', '15', '72', '19', '189', '48', '81', '141', '82', '364']
['106', '178', '80', '75', '288', '343', '230', '357', '459', '298']
['247', '172', '467', '267', '51', '369', '344', '209', '192', '400']
['108', '120', '269', '266', '327', '409', '425', '57', '446', '300']
['109', '169', '329', '234', '470', '488', '9', '322', '89', '434']
['11', '110', '315', '99', '421', '486', '149', '66', '466', '420']
['345', '205', '392', '41', '98', '117', '428', '469', '308', '393']
['111', '185', '271', '148', '366', '498', '241', '437', '171', '177']
['112', '145', '20', '449', '164', '40', '175', '290', '214', '461']
['113', '36', '359', '402', '7', '377', '67', '225', '28', '77']
['206', '381', '78', '216', '252', '495', '384', '12', '53', '76']
['115', '146', '408', '340', '321', '212', '62', '284', '305', '183']
['116', '253', '441', '6', '388', '60', '256', '17', '499', '436']
['153', '424', '25', '167', '387', '257', '219', '471', '68', '198']
['118', '243', '316', '311', '38', '432', '236', '352', '210', '411']
['119', '96', '34', '415', '37', '341', '485', '349', '285', '490']
['419', '481', '250', '201', '416', '418', '385', '372', '277', '458']
['197', '74', '407', '142', '423', '49', '194', '121', '265', '154']
['374', '228', '50', '193', '134', '86', '463', '217', '144', '412']
['497', '338', '161', '140', '296', '492', '220', '396', '429', '22']
['123', '181', '16', '438', '294', '389', '444', '227', '283', '199']
['124', '168', '4', '231', '468', '379', '262', '337', '163', '211']
['125', '301', '239', '263', '165', '47', '138', '452', '87', '244']
['126', '293', '42', '88', '395', '335', '491', '383', '32', '406']
['127', '173', '151', '8', '358', '73', '79', '176', '190', '180']
['128', '397', '55', '143', '351', '18', '63', '208', '273', '391']
['129', '354', '30', '355', '328', '370', '248', '487', '439', '476']
['378', '473', '21', '84', '457', '136', '319', '475', '232', '39']
['130', '204', '260', '302', '320', '356', '160', '274', '454', '71']
['131', '2', '484', '417', '270', '90', '272', '399', '286', '367']
['132', '330', '312', '376', '56', '368', '278', '70', '170', '483']
['133', '229', '435', '240', '380', '26', '213', '360', '314', '472']
['52', '361', '83', '155', '23', '43', '287', '295', '5', '276']
['482', '237', '326', '346', '150', '304', '442', '224', '292', '414']
['347', '159', '317', '332', '401', '348', '58', '325', '447', '27']
['496', '202', '336', '158', '350', '65', '323', '186', '233', '455']
['390', '242', '353', '342', '3', '422', '456', '91']
['139', '375', '371', '85', '259', '264', '69', '281']
['443', '203', '453', '280', '261', '200', '184', '405']
['333', '157', '46', '35', '258', '268', '249', '92']
['254', '64', '494', '404', '493', '410', '221', '45']
