['444', '862', '356', '843', '268', '814', '652', '516', '402', '783', '510', '612', '184', '284', '241', '999', '248', '752', '278', '111', '511', '943', '570', '316', '449', '798', '705', '513', '964', '183', '134', '236', '800', '776', '282', '129', '445', '764', '229', '375', '418', '879', '809', '514', '760', '960', '73', '962', '410', '956']
['691', '150', '214', '811', '549', '182', '901', '515', '506', '878', '670', '167', '141', '551', '190', '395', '854', '815', '24', '695', '909', '874', '246', '194', '397', '11', '50', '7', '632', '646', '369', '932', '737', '639', '331', '123', '530', '613', '96', '571', '217', '169', '888', '626', '495', '860', '372', '469', '981', '75']
['258', '136', '156', '33', '915', '95', '300', '887', '949', '847', '714', '19', '498', '468', '295', '569', '657', '911', '861', '289', '309', '589', '842', '775', '970', '780', '554', '240', '610', '591', '638', '724', '743', '35', '273', '456', '584', '178', '324', '450', '802', '448', '454', '401', '680', '671', '436', '978', '341', '580']
['838', '994', '821', '565', '729', '232', '264', '586', '494', '423', '983', '329', '247', '867', '476', '717', '296', '707', '404', '161', '566', '728', '431', '750', '769', '700', '109', '596', '673', '390', '834', '347', '157', '92', '221', '308', '699', '64', '851', '6', '26', '634', '896', '835', '381', '678', '206', '828', '816', '747']
['170', '593', '968', '782', '254', '126', '403', '706', '611', '85', '687', '351', '777', '920', '501', '108', '876', '582', '910', '895', '665', '93', '890', '400', '303', '49', '176', '884', '207', '971', '500', '491', '825', '989', '168', '280', '721', '354', '686', '756', '252', '961', '486', '649', '437', '523', '419', '365', '622', '697']
['830', '69', '655', '202', '463', '719', '736', '90', '959', '627', '4', '727', '415', '218', '710', '338', '522', '318', '853', '253', '70', '512', '412', '641', '881', '902', '227', '438', '592', '461', '725', '443', '121', '661', '313', '270', '629', '745', '165', '478', '625', '132', '143', '398', '336', '912', '836', '342', '722', '417']
['679', '677', '101', '458', '330', '94', '973', '618', '432', '276', '643', '433', '746', '840', '477', '396', '644', '957', '367', '32', '374', '304', '348', '507', '557', '741', '393', '708', '352', '306', '434', '204', '992', '112', '210', '662', '609', '376', '534', '762', '590', '162', '191', '299', '475', '212', '224', '567', '839', '151']
['659', '243', '619', '631', '317', '413', '149', '274', '559', '68', '382', '730', '186', '545', '457', '492', '77', '482', '199', '474', '894', '690', '712', '950', '86', '556', '801', '972', '66', '702', '529', '181', '238', '47', '913', '219', '327', '76', '831', '533', '903', '230', '339', '314', '938', '154', '322', '269', '391', '866']
['794', '980', '373', '521', '768', '91', '984', '732', '738', '411', '288', '735', '696', '440', '875', '100', '377', '703', '763', '487', '71', '892', '378', '993', '244', '955', '681', '863', '883', '293', '245', '97', '819', '133', '228', '23', '489', '774', '298', '120', '328', '153', '155', '682', '817', '663', '600', '620', '944', '272']
['656', '773', '144', '106', '865', '672', '225', '635', '497', '528', '368', '759', '547', '754', '919', '185', '226', '758', '38', '406', '542', '550', '383', '640', '428', '279', '558', '914', '363', '974', '446', '291', '340', '906', '757', '564', '180', '43', '535', '359', '14', '87', '192', '335', '614', '146', '826', '470', '138', '267']
['115', '837', '292', '669', '315', '72', '44', '713', '731', '40', '158', '479', '788', '676', '581', '265', '203', '301', '234', '333', '430', '364', '668', '942', '116', '683', '407', '52', '548', '171', '524', '189', '509', '885', '621', '290', '60', '332', '966', '857', '20', '135', '61', '633', '337', '310', '856', '786', '907', '833']
