['0', '496', '437', '449', '689', '700', '483']
['1', '424', '931', '31', '97', '96', '821']
['10', '570', '891', '364', '637', '873', '540']
['100', '818', '769', '753', '749', '661', '62']
['101', '125', '836', '254', '615', '840', '349']
['102', '186', '84', '677', '586', '285', '631']
['103', '969', '8', '797', '18', '47', '257']
['104', '695', '49', '197', '154', '235', '479']
['105', '845', '175', '239', '576', '447', '265']
['106', '283', '766', '678', '333', '491', '962']
['107', '291', '776', '146', '568', '801', '387']
['108', '968', '709', '497', '721', '746', '690']
['109', '270', '713', '726', '3', '288', '920']
['11', '527', '190', '878', '19', '362', '719']
['110', '863', '780', '502', '644', '345', '442']
['111', '347', '837', '234', '173', '81', '670']
['112', '714', '947', '340', '462', '953', '320']
['113', '400', '14', '311', '383', '884', '314']
['114', '566', '137', '694', '179', '655', '550']
['115', '92', '423', '952', '232', '871', '292']
['116', '499', '67', '215', '605', '957', '5']
['117', '725', '428', '219', '897', '327', '561']
['118', '577', '493', '251', '128', '664', '556']
['119', '875', '594', '882', '896', '444', '343']
['12', '494', '354', '767', '177', '955', '697']
['120', '73', '707', '822', '750', '626', '331']
['121', '538', '509', '551', '71', '410', '683']
['122', '26', '777', '658', '741', '80', '588']
['123', '722', '610', '470', '482', '737', '705']
['124', '260', '565', '543', '171', '795', '329']
['450', '134', '587', '684', '435', '768', '269']
['126', '51', '489', '691', '127', '525', '430']
['399', '436', '441', '78', '306', '237', '375']
['775', '879', '851', '922', '4', '419', '530']
['129', '572', '747', '752', '224', '729', '613']
['13', '647', '396', '79', '371', '243', '650']
['130', '510', '471', '514', '155', '412', '246']
['131', '182', '498', '53', '682', '485', '427']
['132', '225', '928', '716', '941', '847', '600']
['133', '583', '559', '598', '218', '970', '413']
['416', '966', '342', '617', '827', '33', '64']
['135', '971', '529', '515', '679', '468', '748']
['136', '304', '422', '816', '210', '740', '685']
['411', '802', '528', '390', '835', '394', '585']
['138', '680', '492', '523', '731', '860', '601']
['139', '784', '418', '476', '385', '843', '751']
['850', '465', '23', '261', '316', '346', '704']
['140', '161', '143', '76', '942', '935', '537']
['141', '864', '894', '308', '620', '445', '317']
['142', '408', '466', '29', '648', '326', '698']
['640', '717', '75', '366', '956', '278', '736']
['144', '921', '516', '508', '535', '480', '323']
['145', '248', '407', '923', '702', '275', '452']
['692', '300', '671', '532', '312', '724', '796']
['147', '590', '603', '761', '490', '357', '663']
['148', '862', '925', '240', '948', '660', '88']
['149', '654', '789', '688', '886', '252', '337']
['15', '513', '820', '201', '185', '911', '794']
['150', '426', '856', '938', '284', '45', '591']
['151', '194', '289', '495', '472', '861', '832']
['152', '541', '838', '909', '643', '86', '669']
['153', '524', '867', '176', '564', '451', '296']
['667', '70', '849', '895', '558', '66', '414']
['831', '208', '43', '544', '382', '241', '965']
['156', '238', '846', '569', '380', '539', '868']
['157', '193', '711', '388', '720', '325', '299']
['158', '98', '191', '563', '754', '760', '708']
['159', '519', '484', '229', '293', '255', '440']
['16', '912', '651', '893', '249', '696', '461']
['160', '90', '69', '163', '763', '30', '297']
['755', '674', '405', '607', '742', '85', '474']
['162', '638', '9', '567', '305', '870', '865']
['625', '807', '321', '223', '743', '294', '6']
['164', '739', '262', '27', '386', '629', '518']
['165', '866', '233', '900', '885', '910', '370']
['166', '374', '547', '56', '267', '439', '959']
['167', '228', '823', '803', '545', '630', '806']
['168', '799', '501', '828', '937', '250', '548']
['169', '242', '772', '453', '804', '227', '902']
['17', '277', '621', '429', '420', '458', '800']
['170', '487', '657', '295', '934', '819', '353']
['632', '596', '256', '687', '24', '611', '914']
['172', '628', '274', '562', '473', '266', '903']
['313', '348', '907', '853', '68', '967', '581']
['174', '858', '99', '187', '579', '906', '287']
['365', '815', '575', '623', '646', '738', '844']
['606', '854', '916', '653', '699', '798', '673']
['597', '34', '61', '226', '425', '32', '391']
['178', '286', '216', '627', '733', '351', '87']
['785', '662', '521', '52', '230', '808', '417']
['792', '467', '290', '888', '899', '652', '855']
['180', '773', '874', '926', '633', '409', '48']
['181', '927', '718', '675', '859', '301', '876']
['403', '59', '361', '404', '560', '36', '91']
['183', '319', '282', '89', '72', '592', '41']
['184', '44', '247', '203', '303', '330', '676']
['258', '715', '758', '787', '195', '93', '459']
['377', '536', '328', '649', '549', '898', '350']
['279', '744', '334', '887', '872', '681', '456']
['188', '245', '783', '656', '376', '511', '813']
['189', '384', '460', '745', '735', '393', '367']
['642', '963', '324', '421', '904', '972', '332']
['917', '730', '381', '602', '40', '825', '395']
['488', '929', '534', '368', '857', '310', '924']
['192', '829', '619', '503', '636', '272', '505']
['264', '271', '481', '701', '318', '268', '42']
['616', '573', '531', '945', '35', '546', '307']
['584', '469', '869', '401', '438', '618', '659']
['196', '372', '478', '369', '344', '574', '608']
['728', '37', '734', '94', '639', '788', '842']
['198', '28', '915', '582', '555', '500', '356']
['199', '276', '635', '665', '686', '315', '457']
['2', '826', '415', '809', '595', '880', '253']
['20', '379', '433', '486', '39', '397', '446']
['200', '46', '57', '512', '950', '464', '74']
['913', '905', '406', '852', '703', '522', '666']
['202', '533', '60', '504', '82', '889', '281']
['506', '54', '363', '398', '280', '622', '786']
['204', '723', '526', '392', '358', '817', '961']
['205', '604', '322', '706', '355', '448', '779']
['206', '778', '634', '338', '7', '431', '83']
['207', '774', '890', '960', '790', '918', '771']
['373', '454', '770', '517', '335', '624', '672']
['209', '883', '302', '475', '214', '793', '830']
['21', '964', '507', '402', '814', '38', '463']
['782', '940', '933', '236', '578', '58', '762']
['211', '599', '958', '553', '378', '932', '63']
['212', '360', '614', '571', '833', '954', '432']
['213', '25', '557', '756', '811', '263', '765']
['589', '443', '339', '805', '693']
['455', '812', '892', '477', '641']
['389', '645', '50', '77', '943']
['217', '839', '352', '781', '939']
['309', '434', '95', '848', '951']
['946', '273', '841', '881', '520']
['22', '757', '791', '552', '930']
['220', '759', '712', '609', '727']
['221', '824', '834', '580', '901']
['222', '244', '542', '231', '810']
['936', '877', '908', '944', '554']
['65', '298', '919', '764', '612']
['949', '710', '341', '55', '668']
['259', '732', '359', '593', '336']
