['1', '103', '99', '94', '96', '100', '91']
['107', '47', '49', '46', '44', '48', '133']
['108', '105', '130', '124', '127', '119', '280']
['109', '237', '229', '238', '225', '226', '149']
['110', '76', '266', '260', '261', '262', '175']
['111', '121', '120', '122', '123', '125', '38']
['112', '206', '204', '189', '199', '201', '202']
['113', '340', '335', '344', '330', '331', '106']
['141', '338', '329', '339', '327', '342', '328']
['142', '19', '13', '15', '16', '17', '69']
['143', '233', '222', '234', '223', '236', '270']
['144', '95', '92', '97', '86', '98', '40']
['145', '39', '268', '253', '267', '274', '138']
['146', '168', '155', '162', '151', '154', '70']
['147', '349', '87', '82', '85', '88', '37']
['148', '114', '58', '45', '50', '62', '78']
['165', '263', '264', '265', '269', '279', '188']
['176', '305', '291', '302', '304', '295', '244']
['177', '348', '14', '9', '12', '126', '74']
['178', '164', '156', '163', '160', '161', '255']
['179', '318', '59', '55', '51', '52', '60']
['180', '298', '296', '297', '299', '300', '66']
['181', '153', '152', '90', '89', '104', '30']
['182', '235', '220', '230', '232', '219', '272']
['183', '208', '258', '254', '256', '257', '41']
['2', '322', '203', '187', '197', '200', '326']
['212', '68', '64', '53', '57', '61', '158']
['213', '34', '29', '23', '28', '32', '277']
['214', '102', '321', '83', '79', '81', '43']
['215', '140', '134', '128', '135', '136', '171']
['216', '75', '333', '332', '334', '336', '80']
['217', '239', '240', '241', '242', '243', '42']
['218', '350', '314', '309', '292', '301', '320']
['246', '303', '288', '308', '313', '307', '73']
['247', '35', '115', '116', '117', '118', '325']
['248', '294', '289', '56', '54', '319', '72']
['249', '193', '190', '191', '192', '194', '337']
['250', '290', '209', '211', '186', '184', '157']
['251', '67', '65', '174', '169', '167', '22']
['252', '7', '276', '306', '293', '137', '207']
['259', '198', '311', '196', '195', '317', '205']
['281', '101', '275', '347', '323', '173', '77']
['282', '345', '6', '224', '245', '84', '343']
['283', '166', '170', '5', '150', '132', '221']
['284', '346', '129', '312', '63', '172', '310']
['285', '324', '26', '21', '25', '18', '31']
['286', '11', '10', '71', '4', '341', '210']
['287', '315', '228', '227', '231', '8', '159']
['3', '36', '33', '20', '24', '27', '185']
['316', '278', '273', '271', '139', '93', '131']
