['215', '249', '180', '15', '286', '115', '217', '366', '160', '321', '396', '134', '86', '154', '319', '50', '305', '243', '271', '41']
['247', '220', '202', '7', '68', '337', '369', '87', '397', '189', '110', '38', '208', '106', '188', '367', '118', '314', '395', '297']
['278', '69', '338', '191', '6', '137', '348', '347', '2', '121', '201', '269', '263', '320', '184', '298', '138', '371', '394', '13']
['88', '382', '95', '195', '30', '282', '153', '71', '187', '283', '322', '16', '51', '255', '1', '39', '24', '233', '222', '143']
['275', '205', '312', '99', '345', '40', '5', '316', '72', '105', '310', '236', '361', '165', '152', '219', '163', '258', '181', '360']
['31', '206', '18', '131', '125', '196', '190', '307', '308', '156', '113', '66', '226', '306', '67', '27', '112', '332', '294', '373']
['326', '229', '37', '387', '148', '250', '0', '64', '228', '117', '357', '127', '85', '265', '141', '192', '25', '372', '315', '212']
['253', '245', '76', '333', '289', '375', '291', '162', '8', '343', '374', '230', '45', '256', '19', '225', '238', '279', '92', '323']
['303', '270', '349', '55', '179', '351', '342', '216', '292', '170', '235', '83', '227', '362', '392', '383', '96', '354', '14', '251']
['301', '32', '17', '203', '98', '155', '390', '376', '204', '295', '120', '124', '12', '90', '182', '384', '177', '35', '309', '146']
['329', '132', '328', '175', '102', '168', '267', '104', '211', '171', '172', '10', '63', '4', '161', '60', '9', '108', '359', '135']
['142', '74', '300', '313', '139', '21', '224', '164', '129', '70', '341', '393', '356', '259', '159', '285', '100', '173', '158', '381']
['336', '43', '350', '147', '57', '194', '109', '266', '128', '3', '77', '136', '290', '81', '176', '378', '339', '364', '273', '248']
['261', '218', '280', '311', '36', '28', '353', '47', '151', '257', '244', '198', '331', '34', '324', '355', '167', '296', '48', '157']
['149', '284', '386', '73', '213', '268', '114', '52', '26', '33', '133', '185', '231', '209', '234', '84', '264', '262', '58', '44']
['183', '272', '276', '166', '82', '61', '80', '119', '240', '111', '22', '325', '214', '174', '103', '200', '365', '302', '318', '169']
['20', '380', '242', '122', '29', '293', '207', '97', '340', '241', '59', '78', '130', '126', '116', '391', '368', '399', '75', '93']
['11', '377', '140', '288', '144', '260', '327', '388', '150', '91', '65', '223', '299', '370', '53', '23', '363', '274', '246', '389']
['379', '252', '232', '62', '239', '254', '145', '49', '199', '237', '42', '330', '287', '197', '193', '210', '346', '352', '94', '398']
['79', '54', '344', '334', '178', '107', '123', '186', '89', '335', '277', '56', '101', '221', '304', '317', '385', '358', '281', '46']
