['11', '93', '62', '164', '111', '110', '22', '26', '42', '186']
['105', '14', '36', '57', '101', '103', '232', '3', '163', '132']
['140', '74', '150', '206', '193', '70', '71', '167', '102', '34']
['148', '9', '81', '104', '174', '214', '212', '47', '122', '225']
['141', '32', '72', '106', '198', '187', '189', '192', '17', '77']
['158', '7', '37', '50', '51', '178', '173', '221', '230', '213']
['160', '1', '91', '119', '136', '142', '145', '152', '155', '33']
['2', '149', '66', '247', '125', '166', '227', '19', '161', '154']
['92', '65', '84', '112', '170', '207', '157', '20', '25', '80']
['194', '12', '60', '113', '114', '116', '137', '177', '239', '179']
['176', '0', '8', '16', '35', '52', '64', '73', '143', '45']
['131', '28', '39', '76', '109', '128', '222', '185', '59', '249']
['197', '24', '86', '95', '120', '190', '226', '68', '218', '241']
['200', '79', '108', '139', '147', '184', '204', '203', '223', '240']
['21', '15', '56', '23', '183', '228', '49', '208', '96', '53']
['234', '46', '115', '123', '127', '168', '196', '89', '235', '99']
['100', '31', '90', '205', '181', '238', '246', '201', '124', '195']
['5', '146', '43', '13', '175', '58', '191', '18', '27', '243']
['144', '67', '169', '236', '245', '63', '210', '165', '215', '224']
['130', '61', '87', '4', '244', '118', '220', '202', '182', '48']
['134', '98', '180', '216', '233', '121', '237', '126', '199', '69']
['135', '78', '138', '171', '209', '44', '83', '162', '117', '94']
['248', '75', '85', '159', '88', '219', '40', '38', '211', '55']
['153', '82', '133', '41', '151', '29', '129', '231', '10', '54']
['172', '229', '30', '156', '188', '217', '107', '97', '242', '6']
