['156', '2', '4', '5', '6', '7', '10', '16', '17', '475']
['157', '3', '8', '12', '13', '15', '18', '20', '22', '445']
['491', '1', '9', '21', '28', '29', '30', '33', '35', '453']
['82', '11', '23', '24', '26', '27', '32', '34', '37', '493']
['196', '14', '25', '31', '36', '39', '40', '42', '44', '447']
['143', '38', '41', '47', '52', '53', '58', '60', '63', '449']
['267', '19', '45', '46', '48', '50', '57', '59', '62', '474']
['334', '43', '49', '51', '54', '55', '56', '64', '65', '476']
['186', '61', '67', '68', '69', '72', '76', '77', '78', '451']
['307', '73', '79', '80', '81', '84', '86', '90', '91', '480']
['252', '70', '71', '74', '75', '83', '87', '88', '92', '467']
['348', '85', '93', '94', '95', '97', '101', '106', '110', '426']
['375', '66', '96', '99', '100', '102', '104', '105', '107', '458']
['391', '103', '108', '111', '115', '116', '118', '119', '120', '481']
['262', '89', '113', '114', '124', '126', '128', '129', '134', '452']
['336', '98', '112', '121', '125', '130', '132', '136', '140', '497']
['428', '117', '122', '123', '139', '141', '142', '144', '146', '448']
['439', '109', '127', '133', '137', '138', '145', '149', '150', '469']
['208', '131', '135', '148', '151', '152', '154', '160', '167', '455']
['310', '147', '153', '155', '158', '161', '164', '165', '166', '421']
['337', '159', '168', '170', '171', '178', '180', '185', '187', '478']
['412', '162', '163', '175', '176', '177', '179', '181', '182', '460']
['335', '169', '173', '183', '189', '191', '192', '195', '197', '459']
['454', '172', '190', '193', '194', '198', '199', '200', '204', '461']
['312', '174', '188', '203', '205', '209', '211', '214', '215', '500']
['218', '184', '206', '207', '212', '213', '216', '217', '219', '495']
['488', '201', '202', '221', '227', '230', '232', '234', '235', '425']
['290', '220', '222', '224', '225', '228', '231', '237', '239', '483']
['210', '288', '292', '436', '243', '489', '249', '241', '484', '464']
['246', '242', '244', '245', '247', '248', '250', '298', '306', '490']
['260', '236', '238', '251', '253', '254', '255', '256', '257', '499']
['471', '223', '226', '229', '233', '240', '259', '264', '265', '427']
['423', '258', '261', '263', '268', '269', '270', '272', '273', '466']
['382', '271', '275', '276', '277', '278', '279', '280', '281', '498']
['482', '266', '274', '283', '284', '285', '287', '291', '293', '479']
['462', '282', '286', '295', '296', '297', '299', '302', '303', '477']
['468', '289', '304', '305', '308', '313', '316', '319', '320', '438']
['358', '294', '301', '309', '315', '317', '322', '325', '328', '492']
['435', '300', '311', '314', '318', '321', '324', '326', '329', '486']
['472', '323', '327', '330', '331', '332', '338', '339', '341', '444']
['346', '342', '343', '344', '345', '347', '349', '350', '402', '431']
['494', '333', '351', '353', '354', '356', '359', '360', '361', '456']
['411', '340', '355', '357', '362', '364', '365', '366', '369', '446']
['432', '367', '370', '372', '373', '374', '378', '379', '383', '496']
['463', '363', '368', '377', '380', '381', '384', '386', '387', '430']
['473', '376', '385', '388', '392', '394', '398', '399', '400', '470']
['408', '371', '390', '395', '396', '397', '401', '403', '404', '450']
['410', '352', '393', '405', '406', '407', '409', '457', '465', '487']
['419', '413', '414', '415', '416', '417', '418', '420', '440', '485']
['443', '389', '422', '424', '429', '433', '434', '441', '442', '437']
