['274', '209', '339', '309', '191', '110', '315', '294', '223', '394', '384', '396', '238', '367', '162', '397', '321', '327', '106', '26']
['296', '347', '388', '196', '266', '45', '224', '12', '178', '333', '234', '204', '127', '8', '112', '281', '345', '264', '395', '189']
['297', '267', '151', '289', '78', '158', '34', '25', '354', '132', '250', '40', '279', '282', '22', '215', '291', '373', '156', '99']
['128', '278', '368', '181', '21', '343', '246', '380', '257', '144', '385', '123', '229', '218', '140', '284', '318', '18', '228', '259']
['361', '71', '36', '95', '275', '338', '187', '93', '363', '261', '101', '154', '182', '205', '100', '252', '87', '328', '258', '103']
['376', '69', '379', '371', '57', '220', '27', '399', '329', '213', '192', '157', '287', '97', '14', '171', '233', '269', '390', '19']
['86', '262', '326', '76', '28', '366', '133', '393', '375', '227', '35', '168', '325', '370', '65', '314', '190', '378', '353', '299']
['115', '283', '48', '398', '270', '317', '253', '377', '155', '316', '119', '125', '206', '64', '340', '239', '349', '311', '226', '217']
['149', '163', '304', '288', '135', '80', '13', '51', '47', '197', '88', '337', '332', '236', '352', '20', '277', '169', '161', '207']
['150', '126', '320', '292', '46', '173', '29', '44', '312', '254', '334', '273', '381', '201', '240', '3', '62', '212', '295', '147']
['230', '120', '121', '247', '369', '200', '32', '152', '208', '265', '387', '389', '330', '365', '203', '251', '77', '92', '63', '271']
['360', '89', '66', '199', '111', '7', '38', '319', '176', '122', '307', '81', '256', '231', '272', '24', '172', '357', '37', '391']
['280', '225', '124', '323', '129', '73', '255', '356', '180', '52', '202', '0', '137', '235', '177', '55', '242', '72', '118', '185']
['54', '249', '79', '166', '75', '305', '364', '31', '85', '174', '193', '293', '94', '134', '49', '232', '113', '260', '351', '138']
['290', '96', '382', '107', '302', '348', '216', '350', '298', '59', '194', '139', '310', '90', '83', '392', '362', '243', '341', '358']
['308', '16', '104', '248', '195', '33', '148', '142', '164', '303', '324', '39', '359', '237', '136', '263', '245', '70', '276', '342']
['186', '68', '313', '74', '306', '143', '355', '84', '344', '159', '9', '301', '116', '105', '165', '50', '10', '6', '170', '167']
['153', '56', '23', '98', '4', '2', '374', '179', '109', '145', '300', '67', '244', '82', '183', '146', '41', '336', '5', '175']
['322', '17', '268', '58', '210', '383', '60', '1', '188', '335', '43', '285', '184', '61', '331', '102', '11', '53', '219', '211']
['198', '42', '372', '114', '131', '241', '214', '91', '130', '346', '286', '386', '117', '222', '30', '15', '108', '221', '160', '141']
