['430', '1', '14', '78', '84', '132', '233', '359', '378', '287']
['271', '27', '50', '64', '197', '232', '240', '281', '307', '491']
['75', '37', '62', '107', '153', '226', '291', '341', '384', '276']
['358', '33', '52', '59', '79', '130', '173', '223', '339', '423']
['245', '6', '101', '117', '135', '138', '146', '194', '282', '452']
['25', '57', '76', '125', '150', '196', '345', '364', '370', '446']
['357', '32', '159', '184', '326', '333', '387', '398', '435', '46']
['71', '54', '99', '129', '131', '175', '187', '206', '257', '95']
['215', '144', '186', '193', '217', '312', '374', '414', '416', '208']
['224', '55', '89', '152', '166', '270', '330', '415', '419', '126']
['235', '177', '180', '212', '213', '288', '334', '338', '372', '221']
['327', '0', '3', '19', '21', '35', '142', '171', '315', '165']
['388', '181', '190', '214', '277', '279', '300', '324', '342', '474']
['483', '9', '16', '29', '114', '202', '211', '243', '296', '317']
['82', '17', '31', '72', '115', '143', '148', '219', '308', '373']
['118', '22', '68', '149', '203', '227', '242', '305', '366', '313']
['170', '28', '44', '137', '207', '258', '285', '443', '445', '481']
['418', '96', '111', '253', '266', '391', '393', '400', '405', '123']
['247', '4', '119', '121', '163', '182', '263', '297', '343', '408']
['397', '2', '8', '10', '13', '45', '49', '66', '209', '460']
['39', '127', '210', '231', '262', '301', '306', '329', '336', '451']
['48', '124', '162', '183', '268', '299', '340', '352', '417', '438']
['410', '30', '47', '63', '87', '94', '259', '298', '406', '477']
['459', '58', '160', '250', '267', '303', '318', '328', '399', '472']
['469', '23', '26', '168', '188', '255', '283', '311', '361', '382']
['484', '77', '98', '128', '229', '249', '274', '293', '353', '295']
['273', '15', '24', '36', '40', '42', '112', '176', '185', '383']
['161', '43', '192', '261', '302', '335', '369', '409', '447', '116']
['136', '154', '155', '220', '376', '411', '426', '478', '494', '440']
['461', '7', '91', '157', '172', '239', '347', '348', '404', '310']
['204', '38', '100', '106', '236', '309', '349', '390', '448', '377']
['252', '11', '20', '60', '241', '244', '389', '394', '457', '499']
['354', '70', '92', '169', '191', '205', '265', '278', '422', '289']
['275', '74', '80', '164', '198', '420', '437', '465', '489', '468']
['346', '5', '83', '85', '86', '201', '314', '325', '424', '385']
['470', '90', '102', '109', '145', '238', '379', '463', '471', '228']
['396', '167', '222', '260', '344', '351', '493', '73', '158', '392']
['425', '356', '386', '402', '421', '432', '476', '480', '120', '485']
['67', '69', '105', '108', '156', '178', '61', '113', '147', '462']
['368', '93', '104', '174', '256', '363', '454', '467', '51', '350']
['81', '230', '280', '371', '380', '439', '482', '246', '304', '428']
['395', '151', '200', '216', '272', '322', '375', '199', '218', '495']
['434', '179', '225', '286', '337', '413', '433', '496', '18', '407']
['479', '41', '88', '97', '292', '464', '473', '103', '140', '492']
['401', '65', '110', '320', '427', '487', '498', '53', '332', '475']
['264', '294', '486', '316', '319', '360', '367', '403', '444', '497']
['237', '34', '122', '133', '12', '323', '331', '442', '455', '248']
['441', '141', '254', '269', '381', '449', '458', '134', '189', '362']
['412', '251', '355', '488', '195', '456', '466', '139', '436', '450']
['429', '284', '321', '56', '234', '365', '431', '453', '290', '490']
