['196', '8', '44', '71', '80', '127', '167', '181', '182', '184', '186', '189', '190', '197', '198', '199', '285', '293', '308', '494']
['203', '7', '43', '47', '156', '170', '201', '202', '205', '206', '209', '211', '216', '217', '241', '253', '286', '314', '315', '433']
['457', '4', '73', '126', '153', '288', '303', '339', '343', '364', '401', '418', '443', '445', '446', '447', '448', '449', '450', '39']
['114', '72', '74', '102', '103', '104', '107', '108', '110', '111', '112', '113', '116', '118', '119', '121', '251', '276', '352', '195']
['402', '11', '33', '54', '86', '117', '129', '136', '208', '210', '263', '289', '304', '326', '341', '359', '362', '391', '405', '481']
['151', '3', '21', '63', '75', '106', '132', '142', '145', '148', '150', '155', '157', '159', '166', '171', '193', '214', '246', '496']
['223', '30', '60', '100', '219', '220', '221', '222', '224', '226', '227', '231', '233', '235', '236', '237', '238', '239', '317', '489']
['26', '20', '23', '25', '28', '31', '32', '34', '35', '38', '46', '192', '213', '257', '290', '294', '306', '345', '372', '316']
['274', '0', '58', '61', '135', '141', '168', '200', '207', '242', '250', '260', '261', '262', '264', '266', '267', '270', '271', '215']
['240', '65', '130', '172', '174', '218', '243', '244', '248', '249', '252', '255', '259', '323', '351', '435', '18', '64', '68', '296']
['463', '49', '83', '91', '101', '122', '123', '154', '225', '300', '324', '337', '366', '377', '442', '454', '460', '461', '462', '258']
['416', '53', '204', '245', '282', '400', '410', '412', '414', '415', '432', '452', '453', '472', '492', '40', '41', '42', '45', '109']
['254', '19', '94', '133', '256', '284', '292', '328', '363', '367', '417', '431', '1', '2', '6', '9', '10', '12', '13', '342']
['277', '176', '268', '275', '279', '295', '335', '336', '344', '349', '357', '396', '422', '465', '66', '160', '162', '163', '169', '411']
['484', '55', '59', '125', '177', '291', '355', '385', '403', '406', '423', '438', '441', '480', '482', '483', '485', '486', '488', '29']
['378', '187', '280', '309', '361', '365', '368', '370', '373', '375', '384', '15', '36', '37', '84', '134', '183', '185', '188', '499']
['380', '56', '146', '298', '382', '383', '388', '389', '390', '392', '393', '395', '397', '398', '399', '429', '48', '51', '52', '408']
['374', '92', '105', '149', '212', '283', '371', '376', '381', '404', '444', '469', '470', '81', '87', '96', '97', '99', '143', '350']
['191', '16', '137', '144', '194', '278', '413', '434', '5', '14', '17', '24', '79', '175', '228', '265', '269', '272', '302', '407']
['322', '95', '320', '321', '325', '330', '332', '333', '347', '424', '467', '487', '27', '82', '85', '88', '89', '90', '93', '312']
['76', '62', '69', '77', '78', '115', '273', '329', '360', '67', '70', '301', '319', '356', '419', '427', '498', '98', '247', '466']
['369', '124', '178', '179', '307', '379', '440', '479', '497', '120', '138', '139', '318', '338', '346', '348', '420', '430', '281', '358']
['131', '57', '147', '161', '229', '297', '313', '334', '340', '50', '287', '311', '471', '140', '152', '158', '305', '437', '164', '128']
['386', '180', '387', '464', '475', '495', '436', '491', '331', '353', '354', '428', '473', '474', '476', '477', '478', '310', '468', '165']
['455', '234', '327', '426', '451', '456', '459', '173', '230', '232', '22', '394', '299', '409', '421', '425', '439', '493', '458', '490']
