['466', '17', '23', '41', '87', '185', '221', '244', '259', '267', '322', '401', '405', '434', '7', '14', '15', '16', '384', '469', '50', '51', '493', '377', '379', '365', '480', '349', '309', '476']
['471', '11', '33', '43', '89', '132', '154', '237', '263', '306', '367', '406', '407', '441', '0', '1', '2', '3', '4', '478', '497', '155', '490', '126', '203', '68', '481', '488', '138', '474']
['473', '28', '58', '61', '76', '182', '186', '208', '279', '310', '352', '364', '428', '432', '18', '26', '27', '261', '271', '464', '48', '484']
['477', '81', '168', '206', '217', '225', '280', '343', '376', '385', '386', '442', '448', '6', '54', '69', '70', '71', '72']
['482', '111', '131', '179', '188', '291', '299', '330', '342', '396', '408', '36', '62', '64', '74', '105', '107', '108', '109']
['485', '13', '35', '160', '220', '233', '268', '318', '366', '375', '392', '5', '8', '10', '12', '399', '400', '402', '387']
['489', '82', '94', '125', '171', '219', '327', '356', '357', '388', '389', '438', '443', '22', '73', '75', '77', '78', '79']
['494', '9', '96', '118', '148', '189', '192', '212', '226', '287', '413', '415', '419', '300', '44', '56', '338', '398', '101']
['495', '66', '124', '187', '199', '264', '275', '286', '297', '362', '59', '63', '65', '456', '409', '394', '395', '141', '404']
['498', '32', '42', '144', '169', '247', '273', '337', '371', '390', '29', '30', '31', '129', '391', '393', '397', '403', '452']
['499', '95', '99', '110', '285', '302', '307', '311', '360', '21', '49', '52', '55', '92', '93', '262', '289', '290', '293']
['462', '20', '38', '40', '60', '85', '112', '130', '173', '193', '281', '304', '444', '19', '24', '25', '410', '411', '412']
['463', '47', '119', '121', '128', '143', '151', '176', '180', '197', '251', '256', '348', '424', '37', '39', '45', '46', '276']
['465', '146', '157', '227', '243', '255', '269', '277', '325', '332', '358', '370', '451', '145', '270', '147', '149', '150', '153']
['467', '116', '200', '258', '324', '354', '363', '425', '34', '90', '113', '114', '115', '265', '335', '346', '117', '120', '378']
['468', '80', '190', '198', '213', '274', '321', '272', '283', '83', '340', '351', '380', '139', '414', '165', '422', '426', '429']
['470', '239', '245', '331', '353', '440', '88', '106', '158', '195', '223', '224', '228', '229', '230', '231', '234', '235', '236']
['472', '104', '202', '319', '359', '368', '423', '427', '445', '458', '97', '98', '100', '102', '103', '260', '294', '312', '314']
['486', '214', '252', '315', '347', '421', '57', '67', '205', '207', '209', '210', '211', '435', '313', '381', '417', '418', '430']
['487', '170', '284', '305', '416', '446', '135', '159', '162', '164', '166', '167', '288', '339', '350', '372', '373', '382', '172']
['491', '156', '242', '316', '329', '84', '152', '278', '479', '317', '333', '449', '383', '163', '433', '436', '437', '439', '447']
['492', '123', '136', '361', '122', '133', '134', '431', '183', '196', '455', '457', '334', '450', '483', '475', '459', '53', '127']
['496', '240', '296', '328', '91', '140', '201', '374', '420', '454', '460', '241', '246', '248', '249', '250', '253', '254', '222']
['341', '175', '178', '336', '344', '345', '174', '257', '181', '184', '232', '177', '282', '298', '326', '218', '295', '308', '355']
['461', '86', '303', '453', '292', '369', '191', '216', '301', '137', '142', '161', '194', '204', '215', '238', '266', '320', '323']
