['262', '234', '242', '380', '313', '309', '63', '248', '74', '381']
['4', '28', '325', '378', '368', '395', '462', '470', '107', '422']
['13', '205', '178', '24', '370', '306', '372', '263', '486', '196']
['199', '319', '335', '292', '403', '99', '465', '204', '324', '44']
['277', '291', '81', '416', '417', '377', '197', '11', '151', '477']
['223', '215', '213', '29', '459', '331', '144', '365', '285', '108']
['482', '278', '3', '264', '287', '282', '226', '163', '66', '179']
['58', '354', '109', '78', '266', '254', '216', '183', '474', '316']
['126', '312', '22', '497', '46', '47', '386', '32', '147', '475']
['436', '329', '420', '190', '431', '17', '473', '419', '43', '485']
['295', '84', '268', '83', '80', '328', '294', '342', '437', '250']
['388', '148', '42', '272', '345', '463', '145', '423', '189', '103']
['85', '392', '87', '220', '314', '34', '433', '31', '461', '203']
['251', '468', '476', '446', '425', '484', '427', '333', '35', '181']
['153', '158', '362', '105', '95', '383', '61', '460', '255', '160']
['174', '53', '352', '176', '270', '200', '198', '360', '364', '245']
['301', '493', '139', '343', '307', '221', '52', '494', '402', '230']
['164', '94', '113', '73', '442', '469', '478', '399', '283', '492']
['209', '217', '236', '384', '141', '253', '376', '154', '448', '249']
['224', '90', '231', '182', '320', '219', '162', '186', '289', '357']
['238', '112', '369', '127', '62', '449', '334', '210', '441', '393']
['39', '184', '14', '371', '156', '25', '247', '259', '149', '49']
['152', '132', '464', '257', '311', '284', '67', '225', '208', '405']
['59', '241', '391', '346', '375', '472', '110', '117', '65', '155']
['0', '102', '356', '15', '321', '143', '194', '64', '23', '305']
['260', '239', '79', '337', '243', '72', '135', '488', '191', '302']
['258', '5', '150', '256', '385', '214', '379', '69', '466', '458']
['299', '322', '18', '101', '136', '165', '415', '440', '240', '444']
['326', '410', '457', '21', '315', '134', '104', '274', '129', '286']
['421', '2', '467', '397', '146', '361', '297', '120', '275', '499']
['338', '10', '327', '428', '487', '6', '426', '429', '406', '192']
['351', '400', '389', '445', '187', '195', '296', '201', '281', '341']
['456', '229', '111', '317', '37', '298', '77', '116', '137', '454']
['434', '308', '133', '168', '86', '348', '359', '159', '435', '323']
['479', '350', '496', '394', '27', '288', '40', '188', '447', '185']
['91', '121', '56', '366', '9', '390', '20', '401', '235', '279']
['106', '36', '71', '347', '330', '173', '439', '363', '128', '119']
['12', '349', '57', '411', '261', '443', '495', '115', '455', '373']
['206', '228', '438', '252', '138', '483', '227', '339', '123', '332']
['48', '76', '177', '387', '237', '407', '424', '60', '451', '414']
['19', '232', '54', '300', '7', '355', '97', '142', '489', '89']
['169', '222', '233', '175', '374', '344', '432', '1', '100', '122']
['193', '68', '131', '166', '167', '16', '382', '161', '303', '218']
['498', '273', '124', '45', '413', '114', '452', '33', '490', '70']
['450', '481', '340', '118', '92', '171', '246', '125', '280', '140']
['172', '211', '30', '271', '408', '8', '412', '98', '310', '404']
['180', '276', '471', '82', '265', '93', '170', '418', '202', '96']
['491', '367', '51', '290', '318', '55', '157', '430', '396', '409']
['88', '75', '267', '38', '244', '50', '212', '207', '293', '269']
['336', '130', '480', '304', '358', '398', '453', '353', '41', '26']
