['57', '414', '232', '448', '213', '209', '459', '68', '48', '348', '272', '82', '256', '422', '195', '178']
['394', '106', '322', '384', '10', '205', '36', '150', '266', '391', '315', '380', '216', '366', '104', '54']
['206', '4', '118', '341', '66', '262', '482', '361', '387', '77', '432', '234', '100', '450', '219', '237']
['212', '476', '171', '225', '78', '62', '412', '452', '379', '22', '454', '438', '89', '274', '378', '135']
['304', '197', '131', '485', '126', '7', '270', '405', '297', '53', '263', '174', '112', '496', '444', '191']
['350', '2', '345', '121', '294', '242', '309', '371', '460', '298', '296', '28', '295', '180', '495', '73']
['27', '243', '300', '365', '193', '449', '201', '202', '467', '374', '51', '409', '393', '25', '364', '244']
['392', '75', '437', '494', '245', '475', '330', '390', '5', '453', '312', '6', '63', '299', '80', '281']
['427', '395', '426', '9', '493', '363', '154', '59', '153', '401', '152', '463', '217', '101', '275', '134']
['162', '170', '473', '480', '235', '222', '420', '250', '407', '468', '416', '484', '17', '114', '155', '465']
['451', '115', '336', '383', '447', '338', '3', '276', '16', '264', '333', '188', '486', '265', '483', '86']
['128', '224', '141', '400', '286', '249', '284', '238', '98', '198', '182', '19', '160', '492', '477', '72']
['278', '436', '92', '347', '339', '357', '203', '397', '168', '139', '240', '428', '404', '145', '103', '311']
['327', '120', '308', '166', '45', '69', '469', '176', '127', '173', '342', '267', '255', '385', '425', '433']
['354', '130', '124', '362', '241', '227', '251', '88', '408', '455', '179', '35', '356', '70', '288', '470']
['228', '18', '369', '340', '129', '464', '419', '239', '30', '99', '317', '429', '302', '331', '187', '146']
['413', '11', '277', '233', '46', '456', '105', '351', '39', '24', '344', '377', '301', '190', '64', '415']
['440', '293', '488', '423', '346', '381', '65', '229', '79', '140', '305', '83', '183', '258', '56', '192']
['458', '252', '355', '334', '373', '214', '211', '368', '303', '87', '133', '489', '29', '142', '208', '399']
['159', '466', '199', '259', '359', '21', '40', '441', '123', '165', '389', '149', '55', '323', '74', '479']
['306', '253', '26', '316', '218', '230', '352', '287', '260', '290', '189', '23', '84', '175', '108', '163']
['439', '481', '457', '136', '446', '194', '196', '406', '58', '435', '148', '215', '434', '42', '94', '223']
['151', '349', '376', '144', '119', '93', '47', '461', '13', '370', '52', '246', '107', '310', '32', '271']
['164', '329', '44', '31', '292', '200', '102', '184', '402', '257', '445', '421', '382', '20', '12', '207']
['15', '37', '358', '431', '172', '34', '61', '204', '291', '335', '319', '487', '411', '326', '156', '167']
['169', '60', '138', '137', '41', '1', '95', '143', '49', '157', '90', '8', '424', '116', '328', '161']
['491', '313', '360', '462', '490', '236', '109', '261', '122', '417', '248', '125', '478', '71', '353', '332']
['96', '314', '132', '289', '343', '113', '76', '185', '279', '186', '97', '324', '273', '474', '111', '254']
['386', '430', '247', '14', '181', '231', '50', '67', '388', '318', '226', '375', '81', '471', '367', '147']
['398', '268', '372', '280', '442', '117', '177', '320', '396', '220', '307', '110', '283', '269', '403', '410']
['38', '285', '210', '325', '43', '337', '221', '91', '282', '85', '418', '443', '472', '33', '321', '158']
