['0', '5', '1', '440']
['10', '15', '6', '80']
['100', '97', '102', '334']
['104', '109', '105', '464']
['106', '111', '110', '450']
['107', '95', '86', '460']
['108', '398', '393', '380']
['11', '14', '9', '42']
['112', '117', '113', '484']
['114', '119', '118', '88']
['115', '68', '65', '59']
['116', '249', '252', '432']
['12', '478', '473', '466']
['120', '125', '121', '390']
['122', '127', '126', '448']
['123', '301', '289', '479']
['124', '486', '481', '494']
['128', '133', '129', '429']
['130', '135', '134', '413']
['131', '75', '78', '382']
['132', '465', '468', '435']
['136', '141', '137', '34']
['138', '143', '142', '377']
['139', '321', '324', '469']
['140', '340', '337', '74']
['144', '149', '145', '389']
['146', '151', '150', '333']
['147', '246', '241', '443']
['148', '255', '250', '489']
['152', '157', '153', '412']
['154', '159', '158', '357']
['155', '278', '273', '493']
['156', '48', '53', '323']
['16', '21', '17', '491']
['160', '165', '161', '60']
['162', '167', '166', '441']
['163', '183', '174', '487']
['164', '209', '212', '483']
['168', '173', '169', '330']
['170', '175', '365', '392']
['171', '421', '409', '355']
['172', '485', '480', '344']
['176', '181', '177', '331']
['178', '96', '101', '420']
['179', '182', '191', '51']
['18', '23', '22', '379']
['180', '322', '327', '417']
['184', '189', '185', '56']
['186', '383', '374', '430']
['187', '190', '199', '67']
['188', '404', '401', '438']
['19', '336', '341', '475']
['192', '197', '193', '339']
['194', '350', '345', '384']
['195', '198', '207', '391']
['196', '470', '467', '386']
['2', '7', '471', '87']
['20', '76', '73', '72']
['200', '205', '201', '442']
['202', '376', '381', '406']
['203', '206', '215', '387']
['204', '463', '454', '45']
['208', '213', '424', '400']
['210', '265', '268', '455']
['211', '214', '223', '41']
['462', '457', '459', '396']
['216', '221', '217', '85']
['218', '43', '46', '368']
['219', '222', '231', '361']
['220', '426', '431', '447']
['224', '229', '225', '436']
['226', '351', '342', '399']
['227', '230', '239', '352']
['228', '411', '414', '44']
['232', '237', '233', '38']
['234', '263', '254', '369']
['235', '238', '247', '61']
['236', '98', '103', '437']
['24', '29', '25', '476']
['240', '245', '405', '82']
['242', '419', '422', '474']
['243', '362', '367', '92']
['244', '402', '407', '373']
['248', '253', '93', '482']
['91', '94', '89', '63']
['251', '285', '280', '57']
['281', '284', '286', '64']
['256', '261', '257', '346']
['258', '279', '270', '359']
['259', '262', '271', '35']
['26', '31', '30', '354']
['260', '79', '70', '394']
['264', '269', '295', '425']
['266', '363', '366', '488']
['267', '410', '415', '47']
['13', '8', '305', '378']
['27', '458', '348', '83']
['272', '277', '445', '58']
['274', '338', '343', '90']
['275', '388', '385', '403']
['276', '490', '495', '416']
['28', '49', '52', '492']
['461', '449', '456', '427']
['282', '287', '371', '4']
['283', '84', '81', '328']
['50', '55', '54', '69']
['288', '293', '453', '428']
['290', '358', '353', '349']
['291', '294', '303', '62']
['292', '472', '477', '451']
['296', '452', '33', '446']
['298', '375', '370', '356']
['299', '302', '297', '77']
['3', '335', '326', '66']
['300', '332', '329', '444']
['304', '309', '311', '397']
['306', '418', '423', '395']
['307', '310', '319', '433']
['308', '434', '439', '99']
['312', '317', '313', '364']
['314', '320', '325', '347']
['315', '318', '360', '71']
['316', '36', '372', '408']
['32', '37', '39', '40']
