['307', '98', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '281']
['376', '234', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '341']
['271', '212', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '301']
['377', '236', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '323']
['289', '244', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '243']
['277', '232', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '99', '100', '101', '102', '356']
['360', '275', '107', '104', '105', '106', '108', '109', '111', '114', '115', '116', '117', '118', '122', '123', '124', '126', '127', '397']
['379', '362', '103', '110', '112', '113', '119', '120', '121', '130', '132', '134', '136', '137', '138', '141', '144', '145', '146', '368']
['338', '253', '178', '226', '260', '272', '346', '367', '373', '378', '384', '399', '125', '128', '129', '131', '133', '135', '139', '355']
['291', '233', '152', '215', '219', '237', '249', '258', '269', '278', '293', '300', '304', '311', '321', '334', '339', '343', '344', '252']
['274', '330', '192', '140', '142', '143', '147', '148', '149', '150', '151', '153', '154', '155', '156', '157', '158', '159', '160', '261']
['345', '273', '247', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '308']
['391', '358', '177', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191', '193', '194', '195', '326']
['267', '374', '325', '196', '197', '198', '199', '200', '201', '202', '203', '204', '205', '206', '207', '208', '209', '210', '211', '265']
['389', '245', '375', '229', '250', '316', '327', '329', '366', '370', '371', '398', '213', '214', '216', '217', '218', '220', '221', '268']
['298', '257', '380', '256', '239', '335', '395', '297', '222', '223', '224', '287', '228', '264', '279', '305', '390', '312', '292', '230']
['357', '306', '283', '372', '337', '319', '225', '393', '369', '263', '349', '347', '388', '303', '361', '285', '363', '240', '227', '392']
['284', '387', '295', '364', '320', '336', '333', '276', '396', '248', '348', '262', '282', '322', '353', '266', '246', '351', '350', '354']
['280', '259', '331', '251', '270', '255', '299', '310', '359', '317', '286', '231', '288', '309', '296', '365', '332', '294', '385', '342']
['324', '302', '238', '318', '386', '313', '242', '340', '328', '383', '382', '254', '352', '290', '241', '394', '314', '381', '315', '235']
