['00C269', '1D4417', 'BE3703', 'F32B0B', 'DE6241', 'E2701A', '400D20', 'D6F426', '8DF985', '1A770B', '865328', '73271F', 'F13455', 'A89402', '273165', 'A4FCD1', '3D046E', '41AFC9', '052CC7', '4BD8B1']
['01E026', 'BA7ED0', '8254EB', 'AF83FA', '9DF876', '4BC7D0', 'A5F27A', 'E492E0', '9D8AD8', 'BC38A8', '49EEB4', 'D65E29', 'B49939', '9B09E5', '45CE10', '83ACF7', '38515C', '82B105', '9330C0', '219F75']
['026256', 'C96CD6', '0264AF', '93D432', '2D4D61', '2B8F4B', 'EB9D60', '9BAC71', '7334F9', '2D56C1', 'B2C27D', '739ABF', '78DB65', '18D668', '7FE1F2', 'D363AB', '3D830C', 'CD5322', '2B3DD7', '3B6837']
['D0E36A', '62BC31', '1E571E', 'CED5FC', 'E8A38A', 'FAB638', 'D2F8E5', 'FC75E7', '26C6B9', '94AED5', '69FD70', '316244', 'B32674', '0231A4', 'C2A74D', '1D9893', '7647CD', '22394B', '5C016B', 'CE0D10']
['029563', '88E0AE', '09CFE9', 'EC35B5', '87EE7F', '5248A9', '414B77', '35DA72', '2E6B38', '1D0C35', '82F466', '20C0D0', '0C3AFF', '60B803', '4DBE20', '5C5B8D', '3963FC', '923B8C', '09FFA6', 'AD6105']
['035E05', '43F505', 'C8F1A7', 'D31361', '206150', '2C02B7', '15AA36', '4BBAFA', '24A4D1', '38EA17', '3E6399', '81DA52', 'FCD63D', 'EEF23E', '71AE93', '4A32EA', 'A4EAD9', '940AC5', 'DFE9C6', '6246E1']
['037831', '05F2DC', '8E8C76', '118FE2', '66C38E', '6E7E64', '2D2248', 'EDB261', '415552', '0E78AA', 'CC08F5', 'C07CCC', 'DB6CBF', 'A1D29E', 'AAAF0B', '1D216B', '1E0B30', '66547C', '85CFC7', 'BB9072']
['03B42D', '39CAB7', 'E1A380', '81A856', '30EA83', '593AF4', '478A7C', 'B13536', '1F4650', '28CCA5', '1656DC', '861E09', 'B6ACFC', '83752D', 'B4257C', 'D98FB6', 'C60FE7', '605983', '26DB4C', 'F2B7FD']
['04279E', '33ABEE', '52FB79', 'D049CD', 'CBE0EA', '6EEE66', '9C4CA5', '068D28', '2B8E0B', '0A3E48', '40C7FF', '5ABFA9', 'EFBA0C', '4EBF50', '88FFF8', '380FF7', '7FADE3', '593840', 'DDA295', '31B17E']
['0525B9', 'EB90EE', 'C69699', 'D324E7', 'D78522', '9ABAFB', '5A5DE8', 'C0EA59', 'E93252', '5451FF', 'DBDDB5', '7848BA', '54C37C', '1600AD', '9C5DCF', '5C0D69', '7AADBC', '326662', '1866E0', 'D8492F']
['160ED4', 'BA6187', '992AEE', '49EB71', 'B56D74', 'B2A692', 'B8B01F', 'B2CB4D', '7F8E1D', '463E2C', '1986A0', '3D4600', '1B06C5', '833C34', 'FBB00D', '09944C', '468F31', '364B78', '57FCD8', '29BFBC']
['05473A', '10BBE1', 'A0DDCD', '3228BB', '5332A9', '26B294', 'F61AD7', '89372A', 'D6DD9E', 'E479C8', 'FB3B86', '78E144', 'FF3177', 'F9011B', '8ECA84', '2DE42A', 'C748A2', 'E4F6EF', '77B9A5', '34E9FE']
['36FCBF', 'CD374A', '3EF396', '25B295', '369765', 'C34593', 'AB96B9', '5F88E7', '5C4F81', '7B306C', 'D78532', '31B801', '0FE5DD', 'EC2626', 'CC66B0', 'F28C7F', 'B4BD91', 'CB5EDA', 'E4C3BA', '6E3DED']
['FCB503', '5D4F2F', '82BD08', 'E9F19A', '92C42A', '7B325B', '29267F', '3FAE1E', '0D6A28', '6C1A62', '8EC8D8', '4D74EB', 'B78EF9', '75002A', 'B00B7F', 'C1CAB9', 'E8C5B8', '0AC7A0', '4AC817', 'F7F9CB']
