['396', '0', '12', '16', '20', '39', '40', '60', '66', '121', '194', '258', '271', '283', '291', '337', '4', '7', '8', '282']
['398', '21', '24', '45', '48', '91', '117', '127', '160', '192', '215', '285', '307', '324', '359', '23', '25', '26', '28', '350']
['384', '1', '44', '50', '111', '129', '157', '201', '238', '250', '288', '298', '312', '313', '339', '2', '3', '5', '9', '200']
['387', '29', '57', '58', '82', '115', '241', '242', '248', '328', '331', '343', '346', '27', '30', '32', '33', '34', '35', '178']
['392', '68', '154', '180', '211', '228', '254', '259', '260', '274', '279', '327', '348', '349', '386', '61', '62', '63', '64', '224']
['399', '59', '70', '99', '104', '203', '221', '225', '245', '246', '276', '296', '325', '333', '22', '37', '41', '42', '43', '351']
['186', '85', '110', '147', '182', '184', '185', '187', '189', '195', '196', '197', '207', '234', '249', '252', '338', '31', '46', '395']
['385', '52', '56', '88', '96', '114', '123', '162', '172', '193', '236', '280', '294', '310', '319', '390', '19', '47', '51', '284']
['382', '6', '10', '105', '142', '168', '177', '179', '199', '204', '230', '287', '293', '305', '345', '394', '11', '13', '15', '308']
['393', '53', '65', '80', '83', '87', '90', '93', '122', '139', '173', '235', '340', '54', '55', '202', '212', '316', '353', '134']
['383', '97', '124', '143', '171', '176', '240', '329', '347', '358', '18', '49', '81', '86', '89', '92', '94', '95', '98', '208']
['391', '72', '77', '119', '120', '137', '247', '251', '266', '270', '292', '306', '67', '69', '73', '76', '78', '106', '148', '79']
['378', '125', '161', '304', '323', '336', '341', '361', '362', '363', '364', '365', '366', '367', '368', '369', '370', '371', '373', '36']
['213', '74', '132', '170', '181', '205', '209', '214', '216', '217', '218', '219', '231', '257', '267', '314', '317', '318', '380', '75']
['352', '174', '183', '206', '243', '342', '344', '354', '355', '356', '357', '377', '38', '133', '163', '164', '166', '169', '175', '108']
['268', '126', '156', '262', '265', '269', '272', '273', '275', '278', '309', '334', '128', '130', '131', '135', '136', '138', '150', '71']
['381', '14', '118', '144', '151', '332', '149', '188', '290', '311', '100', '101', '102', '103', '107', '109', '112', '113', '116', '397']
['388', '302', '237', '300', '301', '303', '315', '145', '220', '222', '223', '227', '229', '232', '233', '239', '322', '165', '321', '281']
['320', '141', '255', '330', '335', '140', '146', '152', '153', '155', '158', '159', '244', '295', '253', '167', '190', '326', '299', '277']
['360', '198', '261', '374', '375', '376', '17', '191', '210', '263', '264', '289', '372', '84', '256', '379', '297', '389', '226', '286']
