['12', '148', '408', '173', '89']
['128', '262', '308', '140', '87']
['156', '373', '268', '481', '2']
['159', '306', '458', '403', '198']
['16', '420', '461', '319', '61']
['176', '353', '314', '196', '245']
['197', '242', '496', '471', '437']
['225', '48', '199', '491', '362']
['230', '254', '237', '359', '57']
['231', '181', '473', '29', '432']
['239', '278', '338', '446', '69']
['241', '204', '331', '33', '307']
['25', '299', '39', '229', '454']
['267', '60', '264', '447', '258']
['287', '372', '66', '487', '493']
['288', '281', '321', '296', '220']
['3', '154', '137', '77', '290']
['30', '146', '26', '324', '95']
['328', '273', '145', '177', '427']
['336', '22', '257', '65', '453']
['34', '75', '339', '383', '246']
['368', '423', '434', '201', '322']
['375', '283', '44', '213', '313']
['379', '329', '167', '163', '226']
['390', '479', '451', '309', '380']
['394', '134', '421', '470', '464']
['445', '191', '395', '76', '426']
['450', '55', '399', '251', '42']
['457', '460', '417', '490', '40']
['466', '190', '404', '335', '244']
['480', '483', '233', '326', '80']
['497', '363', '347', '49', '415']
['51', '138', '228', '218', '386']
['70', '340', '276', '27', '416']
['71', '203', '342', '345', '411']
['90', '419', '180', '194', '165']
['93', '171', '143', '261', '492']
['99', '116', '202', '114', '452']
['0', '227', '88', '439', '270']
['1', '117', '371', '132', '355']
['101', '36', '449', '98', '433']
['104', '243', '393', '332', '443']
['106', '425', '63', '381', '272']
['109', '85', '412', '295', '297']
['11', '350', '46', '377', '289']
['111', '438', '337', '68', '211']
['112', '21', '253', '333', '100']
['115', '161', '351', '192', '414']
['120', '435', '168', '465', '119']
['124', '41', '280', '97', '240']
['125', '486', '498', '477', '210']
['127', '463', '83', '407', '72']
['129', '102', '96', '346', '284']
['135', '378', '279', '19', '396']
['358', '424', '108', '185', '5']
['142', '410', '110', '468', '401']
['149', '58', '440', '14', '364']
['15', '212', '216', '118', '35']
['150', '166', '121', '169', '303']
['151', '266', '484', '361', '382']
['157', '365', '259', '209', '17']
['153', '172', '133', '459', '312']
['162', '152', '144', '164', '406']
['293', '444', '476', '260', '18']
['286', '387', '107', '7', '6']
['175', '442', '217', '376', '193']
['208', '74', '374', '86', '78']
['178', '344', '301', '113', '448']
['456', '428', '495', '4', '105']
['183', '223', '182', '43', '294']
['184', '37', '310', '302', '388']
['186', '62', '305', '316', '405']
['9', '250', '370', '341', '441']
['494', '147', '343', '320', '360']
['215', '31', '318', '248', '474']
['469', '384', '123', '130', '81']
['20', '436', '467', '255', '32']
['200', '170', '292', '189', '54']
['205', '179', '298', '366', '92']
['214', '160', '28', '236', '94']
['219', '311', '82', '206', '131']
['221', '47', '10', '304', '475']
['222', '431', '478', '354', '139']
['224', '38', '56', '24', '79']
['285', '103', '187', '352', '429']
['235', '23', '422', '499', '323']
['247', '389', '174', '325', '462']
['482', '207', '232', '158', '488']
['256', '391', '64', '195', '252']
['45', '91', '317', '126', '234']
['418', '409', '330', '455', '392']
['269', '385', '489', '59', '402']
['271', '398', '400', '349', '238']
['369', '122', '265', '334', '430']
['274', '300', '136', '291', '472']
['275', '53', '356', '141', '84']
['277', '188', '67', '413', '50']
['73', '8', '485', '348', '357']
['327', '397', '155', '13', '367']
['282', '249', '315', '263', '52']
