['84', '6', '9', '34', '59', '127', '206', '240', '185', '101']
['99', '24', '35', '44', '48', '60', '62', '74', '87', '176']
['111', '11', '14', '27', '28', '36', '51', '56', '61', '229']
['46', '15', '21', '142', '104', '64', '130', '157', '203', '225']
['88', '5', '13', '25', '37', '38', '39', '40', '41', '179']
['52', '2', '17', '33', '66', '151', '123', '178', '195', '228']
['105', '0', '30', '47', '55', '83', '100', '153', '107', '121']
['218', '18', '68', '81', '93', '114', '118', '120', '137', '216']
['145', '7', '12', '20', '29', '45', '54', '65', '70', '191']
['180', '72', '73', '77', '80', '102', '134', '148', '155', '213']
['79', '4', '58', '69', '75', '184', '163', '109', '95', '196']
['174', '19', '31', '43', '49', '50', '53', '63', '82', '241']
['242', '42', '67', '92', '96', '117', '131', '138', '154', '233']
['71', '16', '208', '211', '219', '202', '234', '149', '129', '246']
['136', '86', '113', '150', '226', '175', '194', '238', '190', '222']
['177', '90', '110', '119', '124', '152', '161', '170', '244', '247']
['182', '32', '57', '97', '108', '112', '122', '132', '135', '204']
['115', '159', '221', '160', '230', '183', '140', '165', '215', '235']
['232', '3', '10', '22', '94', '98', '116', '126', '147', '220']
['167', '8', '78', '214', '245', '173', '188', '237', '197', '243']
['189', '85', '89', '143', '158', '164', '171', '193', '217', '91']
['224', '181', '199', '205', '231', '249', '106', '146', '156', '141']
['248', '23', '128', '133', '166', '168', '192', '210', '223', '201']
['198', '26', '103', '139', '144', '169', '207', '209', '227', '1']
['162', '236', '186', '239', '212', '187', '76', '125', '172', '200']
