['105', '455', '226', '494', '113', '284', '493', '165', '194', '32', '260', '104', '123', '422', '2', '6', '42', '400', '238', '36']
['109', '258', '343', '421', '303', '371', '34', '23', '230', '26', '233', '242', '275', '252', '48', '63', '101', '124', '310', '302']
['115', '54', '39', '224', '438', '68', '435', '379', '15', '391', '38', '380', '56', '234', '61', '93', '75', '18', '439', '73']
['117', '266', '288', '25', '317', '232', '390', '86', '181', '295', '345', '152', '192', '99', '119', '281', '11', '150', '419', '468']
['120', '60', '215', '58', '431', '103', '246', '0', '100', '200', '7', '473', '92', '322', '406', '481', '417', '461', '274', '218']
['121', '160', '276', '118', '399', '486', '446', '290', '21', '395', '308', '239', '22', '177', '337', '410', '320', '361', '268', '490']
['125', '360', '146', '157', '456', '467', '301', '457', '235', '420', '222', '127', '72', '263', '87', '377', '176', '255', '313', '415']
['13', '408', '3', '387', '418', '476', '324', '151', '66', '365', '475', '458', '383', '441', '114', '228', '81', '174', '231', '50']
['130', '116', '428', '45', '167', '145', '250', '289', '179', '208', '245', '323', '31', '1', '330', '411', '20', '307', '293', '351']
['132', '163', '401', '254', '398', '240', '433', '65', '166', '196', '155', '49', '325', '462', '112', '331', '107', '470', '423', '37']
['133', '363', '465', '143', '29', '102', '432', '437', '385', '370', '373', '449', '248', '407', '416', '442', '170', '12', '201', '27']
['136', '381', '227', '348', '156', '162', '326', '359', '447', '62', '147', '479', '425', '52', '464', '10', '328', '80', '237', '221']
['137', '469', '349', '443', '28', '299', '472', '74', '219', '67', '158', '350', '366', '353', '404', '128', '134', '397', '369', '76']
['138', '440', '426', '466', '499', '358', '204', '452', '203', '225', '55', '35', '394', '106', '424', '453', '261', '180', '318', '278']
['139', '356', '83', '110', '256', '296', '300', '85', '142', '389', '64', '316', '185', '206', '9', '69', '135', '271', '340', '253']
['14', '79', '444', '84', '197', '269', '216', '229', '279', '77', '367', '482', '183', '402', '329', '91', '403', '484', '463', '282']
['144', '298', '30', '336', '287', '187', '59', '8', '338', '154', '262', '51', '315', '273', '126', '334', '477', '191', '335', '376']
['149', '429', '270', '223', '182', '304', '53', '213', '292', '375', '285', '57', '372', '175', '195', '332', '122', '96', '236', '214']
['153', '460', '342', '247', '70', '82', '364', '129', '339', '148', '393', '243', '265', '412', '184', '327', '354', '485', '241', '396']
['159', '131', '249', '188', '430', '378', '4', '474', '305', '280', '40', '487', '171', '178', '33', '199', '17', '251', '244', '497']
['16', '409', '19', '414', '140', '210', '448', '97', '294', '454', '495', '306', '355', '312', '388', '189', '427', '496', '491', '44']
['161', '286', '352', '193', '190', '459', '492', '5', '71', '451', '498', '212', '321', '198', '368', '483', '291', '311', '98', '386']
['164', '272', '333', '319', '95', '374', '346', '257', '434', '357', '205', '78', '43', '172', '46', '362', '347', '141', '90', '478']
['168', '489', '445', '173', '297', '392', '341', '450', '41', '480', '259', '211', '207', '217', '209', '344', '405', '111', '89', '108']
['169', '413', '88', '264', '314', '309', '382', '488', '24', '436', '186', '267', '220', '283', '47', '471', '94', '202', '384', '277']
