['168', '148', '151', '153', '158', '160', '162', '164', '169', '170', '173', '174', '175', '178', '180', '181', '182', '183', '185', '186', '188', '614']
['331', '146', '147', '154', '156', '157', '159', '167', '176', '177', '179', '184', '187', '196', '197', '198', '199', '202', '203', '204', '205', '622']
['341', '155', '163', '166', '193', '195', '201', '206', '208', '211', '215', '217', '225', '229', '230', '233', '235', '240', '243', '250', '254', '573']
['411', '149', '150', '171', '172', '189', '190', '191', '192', '194', '200', '210', '213', '218', '223', '224', '234', '236', '237', '238', '241', '621']
['427', '161', '165', '219', '220', '231', '242', '247', '252', '259', '262', '274', '277', '286', '287', '289', '290', '291', '295', '296', '302', '584']
['421', '207', '212', '214', '216', '222', '227', '232', '239', '244', '253', '256', '258', '260', '261', '263', '265', '269', '271', '272', '282', '618']
['430', '152', '221', '228', '245', '251', '255', '275', '276', '281', '288', '298', '300', '301', '304', '305', '306', '312', '314', '316', '321', '609']
['431', '209', '246', '270', '279', '280', '284', '294', '299', '303', '307', '317', '323', '328', '330', '335', '336', '343', '344', '345', '346', '628']
['462', '248', '264', '266', '268', '273', '285', '293', '308', '318', '319', '322', '326', '334', '337', '339', '348', '349', '351', '352', '354', '602']
['533', '226', '249', '267', '311', '315', '325', '338', '342', '347', '359', '360', '365', '385', '386', '387', '366', '367', '368', '371', '373', '620']
['504', '283', '324', '340', '355', '356', '358', '361', '363', '364', '372', '377', '381', '382', '390', '391', '392', '409', '413', '416', '418', '611']
['586', '257', '278', '292', '309', '310', '313', '350', '353', '376', '378', '380', '383', '388', '396', '397', '402', '404', '414', '417', '419', '613']
['606', '297', '329', '333', '374', '393', '394', '399', '403', '405', '410', '412', '423', '424', '437', '441', '443', '446', '447', '448', '452', '600']
['607', '320', '384', '398', '400', '401', '408', '420', '422', '425', '428', '433', '434', '436', '444', '449', '450', '451', '453', '454', '461', '612']
['561', '332', '369', '406', '407', '426', '429', '439', '457', '463', '465', '466', '469', '474', '477', '481', '482', '490', '491', '494', '516', '560']
['582', '357', '362', '395', '415', '435', '438', '440', '442', '456', '458', '464', '476', '479', '480', '483', '489', '496', '517', '500', '502', '555']
['564', '370', '375', '379', '445', '459', '460', '467', '468', '471', '472', '473', '475', '484', '486', '487', '512', '513', '515', '518', '505', '610']
['624', '327', '470', '478', '492', '497', '519', '499', '501', '507', '520', '521', '522', '523', '524', '525', '526', '527', '528', '532', '535', '608']
['617', '389', '432', '493', '514', '498', '506', '510', '531', '534', '537', '538', '539', '540', '543', '545', '547', '549', '553', '554', '558', '559']
['615', '455', '485', '488', '503', '508', '509', '530', '536', '541', '542', '548', '550', '566', '567', '568', '570', '577', '579', '580', '585', '625']
['605', '511', '544', '551', '563', '569', '572', '574', '575', '583', '587', '589', '590', '591', '592', '593', '594', '595', '596', '597', '598', '578']
['601', '495', '529', '546', '552', '556', '557', '562', '571', '576', '581', '588', '599', '603', '604', '616', '619', '623', '626', '627', '629', '565']
