['130', '77', '90', '117', '188', '133', '403', '245', '234', '343', '237', '485', '433', '302', '392', '311', '409', '202', '382', '378', '291', '446', '224', '384', '435']
['32', '8', '13', '41', '171', '442', '316', '61', '73', '483', '371', '193', '393', '356', '199', '407', '340', '496', '427', '168', '290', '98', '445', '454', '310']
['59', '23', '39', '44', '451', '270', '67', '370', '158', '260', '329', '235', '357', '286', '317', '479', '95', '419', '96', '83', '228', '303', '339', '321', '223']
['201', '2', '12', '14', '21', '29', '94', '118', '151', '153', '172', '184', '192', '492', '388', '481', '219', '401', '354', '495', '412', '347', '365', '473', '491']
['232', '4', '63', '66', '76', '93', '128', '135', '142', '183', '204', '209', '231', '395', '296', '331', '315', '269', '467', '415', '287', '341', '399', '367', '387']
['137', '5', '20', '27', '35', '105', '109', '129', '132', '155', '352', '213', '422', '195', '390', '333', '366', '217', '215', '429', '418', '450', '381', '487', '141']
['149', '28', '110', '122', '131', '394', '438', '471', '413', '410', '278', '437', '276', '295', '472', '313', '163', '375', '359', '160', '494', '434', '344', '282', '379']
['246', '1', '9', '24', '81', '89', '121', '139', '145', '146', '159', '164', '175', '186', '214', '247', '364', '459', '360', '351', '252', '258', '463', '307', '423']
['82', '3', '34', '42', '43', '75', '108', '424', '325', '198', '327', '284', '212', '113', '218', '207', '497', '486', '338', '253', '349', '120', '414', '432', '404']
['348', '15', '64', '74', '80', '84', '92', '106', '114', '116', '292', '301', '305', '308', '312', '324', '328', '342', '447', '425', '420', '493', '431', '91', '280']
['444', '7', '19', '49', '58', '101', '112', '150', '154', '208', '220', '241', '244', '285', '299', '309', '337', '355', '406', '408', '411', '421', '441', '488', '268']
['261', '53', '71', '78', '161', '176', '182', '185', '226', '243', '372', '266', '335', '322', '474', '263', '385', '448', '460', '456', '363', '417', '332', '273', '47']
['389', '353', '0', '6', '46', '48', '55', '103', '143', '156', '196', '210', '238', '272', '279', '289', '318', '374', '430', '368', '457', '440', '443', '191', '222']
['180', '10', '37', '60', '70', '79', '138', '140', '167', '170', '242', '264', '236', '484', '203', '297', '257', '239', '436', '221', '265', '461', '373', '428', '377']
['293', '31', '40', '57', '65', '85', '86', '104', '115', '123', '200', '205', '206', '225', '233', '240', '475', '462', '391', '300', '358', '458', '476', '489', '216']
['136', '16', '33', '36', '38', '45', '50', '102', '127', '361', '152', '227', '298', '262', '211', '482', '306', '452', '346', '248', '230', '275', '181', '345', '319']
['69', '52', '54', '56', '62', '119', '402', '294', '323', '369', '304', '147', '439', '157', '416', '173', '126', '405', '179', '480', '469', '148', '386', '397', '376']
['271', '277', '26', '11', '25', '398', '326', '464', '254', '478', '449', '178', '87', '100', '124', '30', '166', '283', '383', '274', '111', '490', '400', '455', '466']
['177', '18', '51', '97', '107', '125', '144', '165', '169', '256', '197', '189', '288', '267', '350', '396', '470', '498', '314', '477', '453', '334', '362', '468', '259']
['426', '336', '380', '17', '22', '68', '72', '88', '99', '134', '162', '174', '187', '190', '194', '229', '249', '250', '251', '255', '281', '320', '330', '465']
