['476', '4', '13', '16', '17', '18', '21', '24', '25', '27', '29', '33', '34', '35', '36', '37', '45', '46', '48', '50', '51', '52', '53', '55', '422']
['127', '0', '1', '2', '3', '5', '6', '8', '10', '11', '20', '40', '42', '43', '44', '47', '54', '56', '57', '62', '64', '72', '73', '75', '439']
['7', '12', '26', '28', '58', '60', '70', '74', '76', '77', '78', '84', '87', '88', '89', '92', '93', '96', '100', '101', '108', '109', '110', '112', '480']
['175', '14', '19', '32', '39', '65', '67', '68', '69', '71', '82', '97', '103', '105', '123', '124', '126', '129', '136', '138', '146', '148', '153', '157', '487']
['302', '22', '23', '30', '31', '38', '63', '85', '98', '113', '114', '118', '120', '132', '134', '135', '143', '149', '150', '151', '152', '154', '155', '160', '493']
['417', '9', '41', '83', '86', '91', '94', '99', '104', '107', '111', '117', '122', '128', '133', '139', '141', '156', '158', '161', '163', '164', '166', '167', '494']
['189', '15', '66', '80', '81', '115', '116', '125', '137', '142', '144', '147', '162', '165', '173', '179', '180', '181', '184', '186', '188', '190', '191', '197', '397']
['205', '119', '130', '131', '159', '172', '174', '182', '187', '196', '203', '204', '207', '208', '210', '211', '212', '213', '216', '219', '222', '223', '224', '226', '420']
['445', '49', '79', '90', '121', '145', '168', '195', '198', '199', '200', '201', '206', '209', '214', '215', '217', '218', '220', '227', '228', '233', '237', '240', '471']
['495', '61', '95', '140', '178', '185', '192', '225', '229', '239', '241', '242', '243', '244', '246', '250', '254', '255', '258', '260', '264', '266', '267', '268', '433']
['315', '102', '177', '194', '202', '231', '245', '251', '252', '253', '261', '263', '265', '272', '279', '281', '286', '289', '292', '293', '298', '301', '308', '310', '464']
['356', '169', '221', '232', '236', '249', '274', '276', '278', '288', '295', '297', '304', '312', '313', '316', '318', '321', '322', '328', '331', '335', '337', '340', '398']
['415', '170', '247', '257', '262', '271', '273', '283', '291', '294', '306', '323', '325', '329', '336', '338', '339', '341', '345', '351', '352', '354', '355', '357', '455']
['59', '193', '234', '248', '256', '269', '280', '284', '285', '287', '290', '303', '307', '311', '314', '317', '320', '326', '327', '333', '342', '343', '344', '346', '410']
['479', '183', '230', '238', '277', '296', '309', '332', '347', '353', '358', '360', '363', '367', '369', '373', '375', '382', '383', '384', '385', '386', '391', '393', '454']
['460', '106', '299', '319', '324', '330', '334', '349', '350', '359', '361', '362', '364', '365', '366', '368', '374', '376', '378', '387', '388', '389', '399', '402', '474']
['492', '270', '275', '305', '370', '377', '390', '395', '400', '403', '406', '408', '412', '413', '414', '419', '424', '425', '426', '430', '431', '435', '436', '437', '452']
['499', '171', '176', '235', '259', '372', '380', '381', '392', '396', '401', '407', '421', '427', '429', '432', '438', '440', '441', '443', '444', '446', '447', '449', '490']
['477', '348', '394', '404', '405', '416', '442', '448', '450', '451', '456', '457', '459', '461', '462', '465', '467', '468', '469', '470', '473', '475', '478', '482', '428']
['496', '282', '300', '371', '409', '411', '418', '423', '453', '458', '463', '466', '472', '481', '483', '484', '485', '486', '488', '489', '491', '497', '379', '434', '498']
