['147', '426', '113', '137', '155', '360', '408', '421', '19', '38', '82', '103', '352', '240', '267', '72', '183', '347', '301', '433']
['195', '412', '4', '121', '277', '441', '88', '494', '149', '282', '320', '224', '287', '36', '205', '340', '52', '77', '180', '356']
['466', '218', '51', '436', '33', '413', '387', '332', '275', '490', '186', '407', '8', '143', '161', '382', '97', '246', '388', '189']
['122', '357', '14', '47', '128', '171', '496', '154', '401', '334', '333', '279', '293', '393', '380', '439', '497', '45', '81', '182']
['125', '375', '23', '74', '139', '316', '381', '394', '429', '35', '342', '395', '54', '184', '251', '46', '60', '288', '299', '271']
['16', '153', '319', '447', '230', '355', '7', '56', '98', '99', '145', '351', '21', '196', '17', '119', '328', '445', '309', '245']
['175', '295', '92', '162', '170', '266', '390', '402', '370', '194', '294', '53', '152', '268', '477', '261', '330', '269', '50', '425']
['203', '344', '144', '300', '428', '374', '488', '365', '465', '297', '243', '308', '345', '169', '59', '324', '209', '310', '336', '28']
['222', '165', '193', '385', '42', '173', '264', '102', '198', '419', '30', '123', '55', '109', '460', '386', '68', '80', '231', '350']
['256', '158', '349', '40', '91', '430', '459', '214', '363', '284', '305', '343', '432', '306', '32', '146', '164', '176', '358', '323']
['280', '396', '298', '304', '359', '215', '233', '260', '444', '489', '188', '341', '83', '211', '325', '406', '41', '148', '200', '290']
['322', '43', '286', '178', '133', '29', '223', '249', '474', '27', '95', '456', '57', '435', '472', '409', '499', '479', '484', '495']
['442', '235', '141', '239', '20', '138', '458', '411', '482', '5', '338', '199', '400', '317', '346', '12', '207', '238', '244', '464']
['71', '372', '403', '383', '473', '10', '278', '331', '437', '9', '78', '270', '302', '311', '446', '457', '65', '79', '262', '150']
['48', '107', '478', '399', '167', '210', '241', '289', '354', '368', '134', '190', '191', '58', '96', '398', '0', '93', '159', '250']
['487', '76', '1', '492', '362', '166', '136', '296', '25', '229', '486', '100', '111', '135', '367', '427', '3', '115', '124', '84']
['67', '417', '212', '312', '326', '157', '285', '369', '420', '6', '160', '18', '26', '63', '172', '213', '219', '414', '389', '66']
['73', '101', '483', '116', '451', '476', '485', '265', '335', '366', '11', '44', '339', '438', '106', '174', '258', '384', '163', '462']
['89', '449', '2', '276', '315', '337', '480', '348', '187', '49', '192', '252', '259', '491', '31', '130', '452', '440', '22', '281']
['410', '87', '34', '216', '405', '422', '307', '272', '253', '318', '493', '283', '255', '450', '463', '448', '61', '303', '118', '104']
['112', '273', '151', '454', '105', '226', '314', '114', '64', '471', '248', '132', '156', '254', '131', '177', '434', '94', '397', '204']
['120', '168', '378', '217', '424', '404', '329', '232', '377', '453', '313', '371', '179', '481', '69', '291', '498', '117', '461', '126']
['127', '376', '140', '423', '110', '475', '37', '86', '416', '15', '227', '221', '364', '129', '208', '108', '225', '62', '469', '202']
['13', '247', '75', '467', '263', '292', '39', '90', '321', '185', '201', '353', '470', '206', '274', '415', '455', '70', '237', '327']
['197', '431', '257', '242', '85', '379', '443', '392', '142', '418', '373', '228', '24', '236', '220', '361', '181', '391', '234', '468']
