['188', '346', '347', '341', '348', '297', '291', '190', '192', '272', '100', '106', '38', '33', '32', '158']
['358', '344', '342', '299', '294', '293', '198', '277', '278', '279', '108', '104', '37', '36', '34', '282']
['171', '343', '292', '194', '273', '101', '30', '35', '339', '337', '332', '97', '230', '145', '132', '300']
['216', '298', '191', '270', '109', '105', '335', '331', '95', '237', '233', '146', '148', '135', '26', '150']
['360', '345', '349', '290', '199', '274', '276', '103', '99', '91', '90', '238', '239', '143', '140', '49']
['87', '340', '196', '31', '336', '330', '93', '94', '1', '147', '144', '142', '149', '133', '130', '111']
['122', '129', '338', '98', '137', '138', '400', '370', '373', '377', '88', '82', '398', '84', '247', '227']
['152', '195', '197', '107', '334', '6', '236', '231', '232', '141', '136', '139', '27', '21', '28', '356']
['312', '296', '295', '275', '333', '92', '96', '23', '29', '372', '376', '393', '395', '394', '83', '42']
['319', '271', '131', '25', '371', '7', '243', '248', '176', '15', '62', '322', '323', '325', '206', '46']
['115', '102', '134', '22', '392', '396', '86', '241', '242', '175', '180', '14', '19', '327', '202', '159']
['258', '375', '390', '397', '85', '245', '249', '179', '174', '189', '329', '201', '209', '75', '74', '89']
['76', '378', '244', '178', '177', '182', '181', '186', '187', '184', '11', '320', '321', '326', '324', '155']
['234', '193', '214', '226', '24', '8', '220', '263', '121', '266', '264', '269', '58', '55', '54', '40']
['183', '20', '379', '173', '170', '215', '265', '211', '218', '41', '284', '286', '123', '267', '126', '112']
['359', '240', '17', '16', '328', '203', '208', '77', '79', '120', '124', '2', '311', '310', '317', '43']
['65', '399', '13', '205', '207', '72', '78', '68', '125', '127', '313', '316', '3', '369', '367', '47']
['305', '363', '386', '387', '60', '61', '252', '256', '255', '169', '164', '161', '163', '357', '351', '157']
['289', '235', '246', '185', '73', '70', '128', '364', '365', '361', '381', '388', '389', '66', '257', '382']
['254', '374', '18', '204', '318', '315', '314', '368', '366', '383', '259', '64', '67', '250', '210', '4']
['52', '172', '10', '200', '165', '9', '354', '213', '219', '281', '283', '285', '287', '59', '51', '45']
['221', '380', '385', '167', '162', '212', '280', '262', '268', '56', '308', '302', '303', '307', '391', '222']
['80', '71', '362', '384', '168', '160', '353', '350', '288', '114', '116', '110', '253', '304', '229', '119']
['118', '39', '166', '355', '352', '217', '260', '53', '63', '117', '113', '228', '224', '223', '153', '57']
['309', '12', '69', '251', '81', '301', '306', '225', '151', '154', '156', '48', '44', '5', '50', '261']
