['499', '264', '251', '95', '105', '447', '450', '371', '349', '395']
['0', '199', '418', '345', '435', '197', '112', '156', '205', '310']
['1', '357', '277', '479', '113', '486', '98', '73', '62', '401']
['10', '34', '151', '443', '149', '237', '415', '117', '351', '344']
['100', '249', '78', '428', '74', '399', '314', '248', '86', '164']
['101', '271', '200', '228', '372', '278', '24', '436', '223', '255']
['102', '374', '487', '252', '449', '87', '281', '419', '382', '318']
['103', '444', '343', '110', '43', '115', '355', '287', '230', '329']
['104', '239', '64', '121', '177', '339', '386', '423', '420', '369']
['306', '188', '473', '456', '416', '66', '56', '362', '23', '61']
['106', '412', '475', '89', '366', '40', '466', '446', '234', '425']
['107', '169', '72', '172', '431', '83', '359', '26', '492', '32']
['108', '313', '19', '472', '293', '99', '459', '233', '245', '55']
['109', '37', '88', '22', '53', '221', '319', '413', '166', '70']
['11', '403', '300', '325', '124', '405', '128', '398', '196', '227']
['365', '82', '480', '247', '133', '477', '69', '350', '173', '400']
['111', '360', '145', '146', '453', '41', '44', '338', '341', '291']
['323', '246', '402', '225', '375', '491', '250', '392', '272', '77']
['427', '175', '282', '286', '256', '147', '364', '424', '207', '263']
['114', '222', '48', '417', '6', '214', '328', '191', '178', '85']
['179', '378', '60', '385', '454', '383', '331', '90', '171', '299']
['116', '12', '437', '9', '67', '307', '462', '294', '236', '244']
['209', '139', '440', '144', '162', '426', '283', '63', '367', '326']
['118', '296', '316', '155', '474', '59', '65', '259', '75', '253']
['119', '284', '204', '324', '183', '186', '76', '370', '167', '2']
['269', '451', '131', '356', '481', '261', '302', '168', '212', '461']
['120', '195', '478', '206', '389', '335', '13', '7', '494', '68']
['15', '457', '352', '184', '260', '215', '268', '497', '5', '240']
['122', '218', '213', '384', '336', '135', '4', '174', '71', '280']
['123', '432', '29', '31', '150', '275', '279', '442', '193', '96']
['289', '304', '381', '140', '187', '161', '46', '498', '333', '438']
['125', '493', '142', '298', '158', '170', '471', '312', '217', '464']
['126', '220', '265', '141', '358', '274', '290', '379', '163', '52']
['127', '468', '317', '332', '25', '297', '57', '45', '267', '143']
['181', '257', '270', '54', '134', '182', '409', '258', '148', '224']
['129', '327', '91', '337', '363', '376', '305', '488', '97', '411']
['58', '266', '484', '243', '16', '194', '219', '388', '165', '330']
['130', '136', '346', '394', '202', '254', '340', '189', '407', '406']
['292', '495', '49', '210', '315', '301', '176', '81', '496', '285']
['132', '408', '396', '216', '361', '353', '485', '452', '342', '377']
['211', '94', '465', '311', '430', '160', '201', '8', '35', '93']
['198', '36', '159', '390', '154', '92', '458', '303', '404', '152']
['27', '321', '47', '421', '422', '231', '21', '393', '469', '190']
['368', '3', '334', '180', '17', '50', '467', '320', '20', '410']
['137', '380', '157', '192', '476', '439', '288', '226', '463', '354']
['138', '39', '295', '18', '391', '470', '441', '232', '309', '79']
['482', '434', '229', '28', '276', '397', '429', '273']
['14', '348', '42', '185', '30', '262', '455', '208']
['51', '38', '483', '489', '387', '448', '308', '445']
['347', '373', '203', '460', '84', '490', '33', '322']
['433', '80', '242', '153', '235', '241', '238', '414']
