['183', '54', '10', '15', '163']
['105', '73', '40', '357', '375']
['161', '322', '79', '86', '220']
['171', '494', '38', '359', '241']
['196', '318', '57', '141', '363']
['200', '188', '6', '24', '467']
['208', '19', '252', '298', '279']
['259', '445', '36', '92', '164']
['365', '442', '41', '94', '136']
['403', '4', '389', '63', '37']
['434', '382', '67', '115', '13']
['437', '66', '39', '58', '461']
['48', '191', '83', '176', '116']
['52', '81', '26', '75', '133']
['74', '165', '423', '251', '155']
['106', '278', '316', '12', '304']
['108', '100', '34', '93', '168']
['111', '268', '300', '55', '344']
['120', '32', '35', '402', '146']
['123', '118', '308', '114', '470']
['156', '64', '198', '56', '269']
['199', '193', '349', '68', '499']
['222', '99', '400', '77', '287']
['233', '219', '89', '113', '415']
['247', '209', '0', '46', '477']
['258', '240', '314', '138', '364']
['262', '186', '466', '195', '179']
['29', '53', '82', '30', '377']
['311', '17', '91', '97', '127']
['320', '491', '175', '214', '488']
['331', '90', '28', '485', '85']
['333', '366', '190', '255', '367']
['345', '197', '395', '373', '422']
['346', '289', '372', '59', '456']
['321', '3', '139', '253', '229']
['378', '302', '360', '210', '274']
['419', '180', '135', '173', '473']
['433', '358', '9', '483', '132']
['439', '350', '153', '184', '33']
['444', '143', '425', '128', '497']
['446', '206', '23', '31', '230']
['462', '312', '452', '201', '384']
['49', '134', '234', '469', '429']
['62', '158', '297', '140', '475']
['7', '288', '280', '257', '397']
['70', '390', '421', '329', '472']
['76', '348', '88', '244', '391']
['376', '47', '65', '117', '5']
['119', '292', '103', '121', '250']
['129', '430', '496', '50', '317']
['167', '61', '441', '449', '159']
['137', '211', '286', '479', '237']
['145', '401', '266', '20', '323']
['152', '354', '218', '435', '243']
['18', '353', '104', '386', '194']
['182', '189', '217', '291', '44']
['459', '87', '285', '306', '489']
['212', '22', '271', '343', '480']
['228', '327', '408', '150', '432']
['231', '71', '207', '181', '239']
['362', '95', '392', '455', '315']
['256', '381', '246', '295', '174']
['264', '227', '426', '72', '101']
['471', '144', '338', '476', '454']
['275', '2', '299', '330', '498']
['296', '187', '109', '147', '379']
['398', '185', '216', '414', '341']
['307', '16', '177', '340', '337']
['309', '223', '371', '148', '447']
['310', '96', '151', '203', '394']
['347', '238', '450', '443', '339']
['319', '418', '355', '492', '221']
['328', '272', '277', '493', '407']
['334', '411', '110', '326', '263']
['336', '226', '245', '468', '370']
['451', '102', '213', '335', '107']
['352', '254', '388', '276', '404']
['265', '305', '126', '313', '248']
['374', '487', '78', '399', '261']
['380', '130', '361', '27', '43']
['385', '204', '80', '166', '393']
['417', '1', '303', '112', '283']
['428', '465', '436', '249', '192']
['463', '235', '478', '84', '412']
['273', '60', '11', '21', '351']
['324', '405', '51', '232', '431']
['406', '267', '325', '332', '484']
['284', '162', '224', '453', '205']
['42', '14', '495', '45', '290']
['169', '122', '460', '342', '482']
['293', '125', '457', '356', '282']
['225', '242', '440', '420', '383']
['131', '157', '486', '215', '464']
['142', '281', '8', '124', '427']
['149', '416', '160', '294', '301']
['154', '98', '260', '413', '270']
['170', '172', '458', '481', '410']
['178', '474', '25', '369', '490']
['202', '438', '368', '409', '396']
['387', '448', '69', '424', '236']
