['0', '340', '14', '82', '96', '125', '196', '238', '274', '416', '414', '426', '3', '43', '87', '262', '63', '283', '367', '411', '190', '234', '56', '496', '465', '68', '247', '466', '420', '485']
['110', '199', '316', '130', '223', '278', '304', '428', '332', '40', '64', '84', '98', '107', '329', '395', '461', '483', '415', '235', '385', '471', '467', '268', '28', '290', '89', '315', '114', '93']
['132', '1', '460', '74', '50', '103', '104', '144', '146', '147', '193', '210', '300', '314', '342', '351', '363', '387', '459', '42', '57', '127', '192', '297', '288', '443', '356', '334', '486', '313']
['154', '490', '39', '204', '213', '227', '303', '388', '436', '456', '15', '18', '23', '34', '37', '240', '172', '480', '479', '169', '389', '322', '410', '167', '487', '489']
['176', '457', '20', '143', '165', '171', '173', '208', '209', '217', '298', '305', '390', '417', '437', '446', '453', '493', '491', '439', '482', '327', '260', '215']
['198', '345', '168', '191', '349', '404', '8', '100', '285', '394', '393', '347', '499', '83', '102', '108', '307', '218', '381', '357', '16', '41', '71', '113']
['22', '337', '54', '139', '241', '252', '328', '369', '455', '339', '12', '101', '120', '95', '106', '152', '362', '229', '272', '129', '149', '151', '373', '370']
['220', '475', '65', '185', '269', '281', '425', '477', '219', '85', '259', '189', '188', '452', '72', '58', '86', '141', '263', '368', '301', '430', '13', '109']
['242', '360', '38', '122', '254', '271', '449', '469', '375', '19', '31', '145', '231', '92', '55', '458', '302', '408', '380', '159', '61', '174', '250', '277']
['264', '249', '75', '478', '382', '214', '361', '403', '24', '81', '116', '170', '175', '228', '295', '359', '392', '409', '432', '433', '434', '35', '128', '306']
['265', '205', '51', '160', '216', '258', '412', '468', '419', '435', '211', '21', '105', '124', '131', '153', '194', '239', '454', '276', '450', '226', '60', '79']
['286', '401', '350', '495', '257', '284', '320', '372', '427', '126', '371', '402', '473', '53', '187', '251', '326', '310', '33', '195', '481', '431', '451', '30']
['287', '344', '76', '476', '391', '233', '447', '59', '232', '237', '248', '270', '323', '67', '200', '225', '230', '294', '118', '472', '62', '282', '448', '292']
['308', '462', '324', '137', '162', '178', '184', '318', '346', '464', '279', '397', '52', '99', '32', '164', '197', '358', '121', '379', '9', '49', '319', '321']
['309', '441', '136', '280', '73', '148', '341', '36', '186', '69', '289', '429', '150', '236', '498', '273', '424', '406', '256', '364', '423', '123', '166', '335']
['330', '183', '438', '261', '202', '10', '77', '140', '203', '338', '46', '112', '366', '299', '343', '115', '119', '206', '135', '142', '348', '11', '246', '400']
['352', '17', '78', '7', '440', '212', '325', '70', '317', '398', '5', '255', '47', '80', '407', '494', '6', '97', '207', '291', '383', '384', '296', '91']
['353', '182', '474', '244', '44', '2', '181', '134', '156', '133', '163', '157', '180', '470', '377', '365', '422', '94', '333', '138', '26', '497', '267', '421']
['374', '161', '177', '48', '155', '201', '25', '376', '266', '442', '90', '399', '117', '378', '243', '221', '158', '222', '413', '179', '463', '331', '253', '444']
['396', '492', '293', '275', '386', '45', '224', '488', '29', '354', '445', '418', '111', '312', '311', '66', '336', '27', '4', '405', '355', '88', '484', '245']
