['451', '87', '59', '79', '291', '44', '78', '433', '1', '415']
['130', '354', '65', '195', '366', '384', '463', '251', '42', '39']
['264', '380', '192', '383', '314', '7', '308', '183', '237', '57']
['270', '453', '252', '56', '399', '254', '300', '337', '238', '350']
['306', '263', '478', '171', '409', '388', '10', '469', '334', '210']
['397', '118', '431', '96', '408', '105', '205', '172', '138', '9']
['187', '401', '60', '161', '125', '382', '275', '190', '72', '406']
['326', '74', '122', '173', '367', '231', '51', '208', '455', '102']
['413', '83', '492', '328', '12', '77', '443', '110', '246', '241']
['454', '112', '185', '324', '163', '30', '162', '98', '38', '425']
['63', '119', '140', '213', '90', '305', '89', '55', '403', '358']
['471', '68', '378', '165', '303', '106', '212', '412', '54', '3']
['207', '286', '137', '262', '470', '33', '132', '257', '386', '259']
['335', '394', '229', '304', '494', '404', '206', '490', '400', '143']
['365', '24', '28', '317', '439', '280', '395', '73', '128', '362']
['115', '129', '265', '311', '370', '176', '193', '136', '379', '248']
['117', '145', '226', '466', '496', '396', '67', '20', '107', '459']
['284', '4', '228', '18', '361', '17', '168', '247', '460', '27']
['289', '43', '484', '434', '369', '483', '327', '169', '135', '32']
['307', '292', '70', '232', '375', '325', '281', '217', '288', '218']
['359', '447', '154', '109', '301', '489', '323', '219', '203', '214']
['121', '48', '148', '313', '166', '355', '150', '134', '127', '426']
['440', '464', '414', '343', '91', '75', '142', '322', '131', '298']
['493', '104', '268', '302', '108', '47', '86', '373', '25', '422']
['331', '253', '147', '113', '224', '390', '349', '159', '15', '181']
['332', '14', '276', '29', '481', '442', '260', '448', '184', '418']
['99', '321', '341', '432', '465', '250', '315', '152', '220', '178']
['103', '462', '34', '499', '407', '199', '436', '153', '346', '221']
['269', '58', '312', '141', '202', '441', '405', '344', '266', '456']
['64', '126', '211', '381', '167', '420', '457', '487', '186', '76']
['179', '283', '342', '458', '31', '374', '188', '372', '85', '71']
['352', '398', '164', '8', '295', '427', '452', '318', '92', '100']
['438', '80', '476', '23', '61', '498', '139', '402', '282', '227']
['234', '174', '310', '230', '182', '389', '360', '435', '299', '82']
['177', '497', '353', '320', '479', '244', '424', '2', '330', '81']
['267', '69', '155', '387', '235', '62', '274', '197', '376', '294']
['19', '480', '417', '290', '336', '189', '364', '215', '296', '345']
['94', '50', '13', '84', '151', '449', '200', '271', '97', '170']
['120', '348', '40', '467', '175', '485', '88', '377', '428', '22']
['124', '149', '0', '116', '333', '473', '329', '114', '261', '236']
['16', '180', '53', '446', '45', '209', '6', '245', '319', '461']
['198', '287', '316', '475', '111', '158', '430', '37', '21', '222']
['101', '146', '392', '204', '26', '160', '351', '340', '309', '36']
['277', '279', '11', '239', '338', '278', '356', '46', '240', '482']
['437', '357', '474', '391', '249', '225', '272', '444', '410', '273']
['385', '297', '347', '133', '429', '49', '156', '339', '216', '495']
['194', '445', '157', '293', '95', '243', '468', '488', '419', '242']
['93', '196', '472', '233', '35', '486', '421', '411', '144', '368']
['41', '450', '52', '223', '66', '123', '255', '256', '363', '491']
['416', '258', '191', '285', '393', '371', '5', '477', '423', '201']
