['260', '446', '24', '831', '815', '658', '637', '864', '414', '363', '493', '729', '185', '347', '886', '879', '274', '769', '340', '50', '385', '560', '650', '738', '872']
['43', '92', '433', '778', '900', '964', '228', '338', '524', '517', '929', '11', '234', '331', '308', '989', '955', '264', '584', '651', '206', '641', '844', '476', '353']
['636', '743', '615', '399', '357', '482', '151', '30', '388', '239', '492', '247', '673', '39', '173', '887', '892', '583', '408', '700', '516', '603', '532', '704', '740']
['672', '779', '684', '940', '227', '281', '728', '961', '401', '155', '975', '371', '570', '180', '923', '883', '716', '629', '193', '971', '336', '167', '866', '919', '91']
['957', '328', '736', '575', '708', '366', '602', '298', '416', '731', '99', '430', '676', '959', '754', '204', '413', '107', '251', '296', '742', '582', '461', '73', '645']
['114', '760', '674', '909', '862', '752', '633', '240', '285', '232', '841', '139', '564', '686', '102', '393', '387', '889', '689', '376', '163', '623', '759', '216', '536']
['428', '398', '481', '521', '383', '263', '640', '421', '750', '233', '162', '382', '441', '411', '283', '721', '473', '448', '751', '968', '431', '117', '467', '527', '863']
['848', '553', '918', '555', '356', '477', '930', '973', '621', '854', '89', '725', '374', '192', '827', '538', '770', '128', '88', '691', '468', '977', '55', '389', '630']
['823', '508', '962', '463', '937', '936', '951', '415', '938', '638', '342', '267', '370', '855', '996', '707', '881', '666', '84', '31', '816', '460', '327', '806', '148']
['537', '435', '235', '365', '945', '804', '758', '190', '120', '484', '16', '727', '515', '453', '747', '3', '210', '51', '983', '891', '40', '125', '737', '149', '170']
['718', '920', '23', '748', '188', '782', '614', '179', '488', '253', '61', '901', '45', '375', '592', '100', '367', '329', '838', '271', '888', '908', '589', '926', '205']
['321', '546', '568', '628', '786', '810', '306', '706', '443', '70', '990', '178', '771', '904', '944', '212', '993', '176', '720', '522', '711', '259', '949', '991', '14']
['643', '897', '109', '422', '323', '598', '141', '735', '456', '607', '585', '533', '417', '694', '110', '847', '551', '739', '410', '270', '548', '220', '869', '846', '184']
['842', '577', '34', '325', '268', '278', '781', '817', '860', '223', '766', '894', '690', '153', '857', '169', '965', '362', '808', '821', '921', '183', '309', '698', '68']
['972', '60', '559', '717', '932', '319', '379', '78', '226', '826', '911', '502', '69', '616', '86', '332', '761', '512', '576', '792', '653', '660', '675', '880', '295']
['851', '71', '142', '302', '343', '333', '934', '656', '875', '368', '741', '715', '425', '80', '871', '224', '903', '984', '825', '158', '140', '8', '561', '799', '119']
['451', '165', '626', '593', '604', '434', '612', '611', '186', '753', '914', '744', '939', '777', '196', '667', '466', '243', '66', '648', '135', '123', '845', '187', '118']
['613', '697', '418', '81', '498', '514', '762', '573', '985', '211', '348', '245', '229', '763', '355', '912', '299', '133', '556', '594', '458', '789', '797', '588', '75']
['293', '510', '619', '526', '236', '953', '346', '836', '587', '910', '599', '793', '442', '136', '483', '57', '337', '542', '124', '207', '95', '632', '19', '490', '649']
['884', '420', '499', '814', '600', '978', '96', '273', '523', '10', '680', '535', '56', '999', '710', '757', '943', '412', '17', '505', '7', '111', '714', '238', '554']
['601', '856', '312', '32', '784', '489', '419', '693', '928', '9', '669', '785', '301', '213', '373', '927', '199', '171', '712', '25', '646', '390', '361', '447', '639']
['164', '775', '246', '174', '655', '318', '58', '272', '249', '465', '380', '622', '289', '867', '159', '83', '472', '15', '386', '485', '507', '294', '503', '35', '970']
['801', '839', '90', '5', '22', '280', '287', '354', '946', '310', '76', '874', '905', '221', '773', '776', '520', '652', '678', '254', '372', '63', '200', '341', '26']
