['106', '977', '758', '164', '713', '858', '325', '606', '704', '999', '652', '538', '37', '347', '717', '915', '50', '600', '584', '341']
['150', '988', '874', '814', '808', '888', '635', '733', '890', '573', '699', '523', '990', '947', '837', '937', '514', '500', '561', '200']
['345', '978', '521', '658', '945', '336', '408', '876', '499', '886', '123', '688', '802', '789', '630', '785', '667', '678', '725', '686']
['407', '972', '122', '275', '727', '331', '643', '631', '994', '590', '559', '744', '152', '967', '115', '983', '552', '285', '921', '782']
['457', '338', '135', '474', '70', '932', '546', '904', '425', '206', '792', '495', '952', '377', '673', '853', '438', '397', '622', '413']
['467', '964', '557', '930', '923', '168', '672', '924', '320', '82', '695', '486', '370', '62', '432', '376', '248', '171', '645', '772']
['470', '374', '165', '452', '319', '34', '926', '823', '790', '75', '846', '956', '337', '953', '599', '65', '81', '517', '522', '720']
['578', '304', '342', '961', '608', '885', '900', '524', '567', '504', '734', '286', '970', '321', '33', '498', '329', '550', '501', '863']
['981', '367', '327', '459', '295', '419', '346', '225', '925', '625', '849', '843', '887', '867', '724', '414', '513', '57', '24', '830']
['105', '907', '571', '299', '813', '433', '536', '685', '856', '919', '456', '30', '309', '92', '709', '138', '747', '829', '819', '648']
['109', '545', '316', '362', '787', '311', '569', '687', '360', '979', '774', '818', '534', '189', '417', '401', '169', '398', '201', '257']
['113', '439', '431', '641', '440', '423', '549', '862', '662', '710', '873', '363', '712', '810', '963', '430', '632', '575', '449', '508']
['119', '463', '97', '192', '388', '312', '916', '816', '835', '453', '933', '32']
['121', '181', '943', '762']
['124', '155', '530', '951']
['140', '807', '597', '684']
['143', '91', '25', '80']
['144', '882', '543', '254']
['151', '861', '212', '464']
['160', '935', '443', '659']
['175', '415', '301', '409']
['179', '649', '909', '556']
['186', '172', '507', '460']
['191', '565', '753', '939']
['195', '603', '455', '0']
['202', '938', '247', '868']
['209', '503', '383', '221']
['210', '241', '379', '268']
['211', '674', '352', '872']
['227', '270', '795', '263']
['230', '976', '307', '399']
['484', '941', '328', '289']
['242', '391', '560', '628']
['262', '889', '149', '238']
['265', '510', '692', '544']
['267', '969', '547', '883']
['271', '587', '766', '739']
['272', '893', '585', '859']
['291', '894', '515', '824']
['296', '718', '838', '142']
['297', '906', '176', '353']
['310', '840', '832', '389']
['332', '441', '896', '633']
['343', '324', '866', '9']
['344', '194', '731', '250']
['349', '595', '77', '897']
['36', '235', '898', '732']
['361', '995', '277', '936']
['290', '79', '920', '726']
['365', '750', '982', '487']
['369', '108', '594', '110']
['372', '5', '540', '851']
['375', '446', '67', '395']
['380', '660', '468', '616']
['392', '147', '287', '43']
['405', '706', '63', '895']
['422', '604', '485', '148']
['436', '387', '118', '845']
['450', '317', '769', '492']
['451', '357', '145', '102']
['998', '553', '854', '779']
['466', '605', '493', '161']
['479', '10', '839', '623']
['48', '276', '891', '614']
['488', '480', '902', '505']
['490', '589', '965', '252']
['494', '959', '598', '427']
['512', '592', '141', '163']
['526', '69', '768', '306']
['527', '434', '548', '203']
['53', '788', '765', '215']
['531', '38', '539', '973']
['537', '368', '12', '279']
['269', '308', '178', '980']
['568', '852', '16', '593']
['577', '482', '714', '629']
['582', '756', '701', '442']
['59', '987', '554', '386']
['971', '132', '314', '640']
['60', '378', '781', '634']
['607', '198', '382', '564']
['620', '390', '870', '129']
['651', '735', '416', '899']
['663', '366', '471', '908']
['666', '637', '31', '136']
['696', '566', '682', '700']
['7', '234', '260', '239']
['705', '509', '240', '535']
['707', '574', '334', '528']
['71', '72', '903', '875']
['775', '690', '615', '730']
['73', '716', '323', '715']
['800', '542', '884', '821']
['74', '96', '773', '533']
['15', '264', '664', '721']
['764', '355', '364', '208']
['767', '204', '222', '87']
['771', '418', '11', '558']
['777', '454', '112', '95']
['6', '860', '541', '402']
['783', '243', '650', '689']
['796', '282', '675', '303']
['798', '931', '448', '226']
['799', '461', '167', '348']
['803', '657', '185', '962']
['811', '302', '88', '403']
['817', '934', '333', '740']
['661', '719', '4', '665']
['831', '525', '335', '655']
['836', '586', '233', '104']
['84', '435', '158', '683']
['848', '476', '805', '89']
['162', '17', '385', '770']
