['272', '245', '494', '303', '396', '82', '361', '356', '735', '318', '679', '192', '345', '604', '677', '256', '387', '418', '451', '372', '472', '499', '202', '251', '252', '507', '8', '694', '477', '431', '48', '613', '732', '23', '156', '147', '70', '742', '566', '249', '352', '533', '308', '71', '189', '725', '223', '233', '113', '461']
['13', '712', '481', '190', '394', '358', '248', '33', '280', '633', '424', '584', '749', '442', '532', '160', '696', '122', '642', '118', '621', '661', '354', '29', '721', '279', '104', '544', '30', '18', '500', '479', '685', '521', '459', '410', '702', '455', '290', '121', '169', '728', '513', '51', '259', '385', '120', '673', '366', '626']
['312', '413', '422', '736', '450', '502', '527', '14', '476', '124', '224', '363', '112', '718', '109', '583', '437', '321', '653', '239', '683', '596', '227', '310', '334', '135', '528', '693', '181', '395', '697', '408', '462', '614', '262', '125', '173', '675', '47', '518', '624', '37', '16', '187', '684', '138', '297', '671', '672', '664']
['364', '46', '234', '211', '643', '34', '549', '389', '285', '632', '94', '41', '541', '292', '445', '270', '531', '114', '73', '458', '659', '117', '552', '473', '257', '556', '268', '474', '607', '593', '38', '406', '448', '347', '412', '134', '63', '710', '623', '230', '11', '260', '210', '45', '386', '66', '328', '700', '9', '606']
['546', '676', '688', '559', '589', '717', '421', '317', '382', '284', '666', '652', '145', '562', '206', '242', '498', '85', '692', '620', '360', '326', '415', '221', '510', '667', '433', '595', '226', '133', '68', '314', '489', '344', '384', '417', '454', '368', '54', '61', '435', '291', '157', '577', '214', '665', '137', '572', '139', '563']
['50', '313', '724', '480', '663', '617', '731', '501', '43', '336', '77', '416', '525', '87', '711', '204', '611', '691', '243', '730', '419', '301', '398', '253', '603', '277', '452', '535', '516', '545', '161', '80', '378', '374', '629', '483', '585', '373', '383', '569', '302', '597', '162', '123', '587', '92', '232', '25', '634', '407']
['20', '17', '332', '89', '540', '655', '432', '323', '469', '645', '574', '707', '706', '295', '367', '12', '166', '571', '286', '565', '490', '132', '36', '282', '263', '428', '654', '715', '22', '438', '744', '508', '258', '619', '704', '590', '543', '393', '353', '237', '605', '737', '269', '434', '658', '443', '687', '350', '506', '429']
['488', '69', '183', '218', '573', '32', '519', '21', '309', '720', '167', '491', '67', '96', '631', '1', '98', '414', '144', '426', '311', '56', '236', '97', '471', '594', '558', '576', '163', '111', '640', '273', '247', '362', '388', '379', '397', '83', '575', '108', '551', '381', '136', '598', '327', '376', '62', '315', '175', '467']
['738', '699', '7', '84', '93', '299', '195', '660', '582', '567', '228', '231', '478', '159', '6', '335', '484', '200', '44', '670', '482', '578', '101', '622', '143', '646', '331', '127', '656', '42', '193', '207', '219', '365', '26', '680', '705', '523', '250', '686', '296', '76', '2', '723', '180', '399', '504', '610', '128', '463']
['241', '152', '355', '579', '514', '148', '430', '164', '271', '681', '669', '274', '188', '555', '276', '588', '213', '748', '333', '74', '370', '526', '307', '486', '745', '31', '599', '322', '100', '668', '58', '436', '196', '300', '24', '171', '116', '427', '203', '254', '641', '79', '497', '740', '512', '746', '106', '537', '342', '217']
['316', '627', '492', '689', '255', '141', '411', '580', '690', '701', '703', '90', '475', '602', '695', '4', '733', '440', '493', '470', '612', '201', '60', '319', '198', '246', '283', '713', '293', '557', '517', '534', '194', '294', '176', '266', '59', '505', '178', '235', '487', '409', '225', '570', '678', '19', '465', '151', '15', '177']
['630', '185', '651', '146', '174', '320', '57', '88', '199', '485', '35', '554', '191', '741', '149', '28', '129', '216', '154', '184', '298', '91', '287', '153', '542', '515', '402', '591', '650', '172', '371', '165', '530', '186', '110', '346', '209', '131', '390', '453', '338', '107', '727', '238', '420', '739', '103', '548', '150', '264']
['708', '65', '529', '456', '5', '220', '608', '628', '538', '464', '265', '547', '457', '222', '341', '468', '275', '734', '40', '637', '447', '509', '581', '325', '444', '305', '53', '288', '306', '648', '357', '496', '439', '86', '635', '337', '601', '170', '179', '722', '391', '564', '609', '168', '539', '369', '351', '403', '662', '182']
['105', '215', '289', '636', '380', '158', '212', '423', '401', '495', '520', '560', '615', '460', '446', '115', '592', '747', '340', '329', '229', '503', '709', '140', '441', '522', '304', '0', '75', '400', '81', '404', '72', '208', '205', '698', '511', '119', '682', '3', '64', '553', '600', '639', '466', '49', '240', '343', '618', '155']
['99', '726', '405', '647', '130', '716', '39', '550', '95', '281', '142', '261', '719', '197', '625', '102', '586', '126', '278', '27', '244', '674', '649', '348', '524', '375', '425', '714', '561', '638', '743', '449', '536', '52', '644', '392', '349', '377', '729', '657', '616', '78', '359', '55', '339', '330', '324', '267', '10', '568']
