['0', '830', '626', '455', '737']
['1', '522', '805', '337', '670']
['100', '384', '924', '779', '615']
['101', '256', '780', '369', '969']
['102', '530', '431', '904', '500']
['105', '545', '194', '914', '678']
['106', '602', '736', '801', '424']
['107', '566', '229', '247', '586']
['108', '837', '21', '917', '559']
['109', '77', '440', '372', '618']
['110', '293', '745', '294', '428']
['112', '721', '682', '588', '835']
['114', '589', '623', '361', '812']
['118', '949', '639', '704', '536']
['119', '829', '520', '241', '747']
['124', '660', '887', '380', '525']
['125', '276', '875', '727', '368']
['127', '353', '543', '257', '537']
['128', '208', '793', '795', '225']
['129', '991', '594', '352', '820']
['130', '60', '483', '492', '895']
['131', '327', '920', '749', '64']
['132', '841', '807', '126', '819']
['133', '581', '729', '572', '770']
['135', '726', '314', '224', '631']
['137', '281', '782', '329', '466']
['138', '752', '14', '45', '467']
['139', '441', '596', '939', '733']
['140', '561', '416', '456', '269']
['142', '673', '858', '983', '92']
['143', '725', '789', '43', '622']
['145', '235', '439', '187', '839']
['148', '328', '713', '640', '742']
['149', '683', '915', '263', '828']
['151', '521', '880', '718', '515']
['152', '24', '459', '320', '630']
['155', '12', '321', '847', '53']
['158', '642', '676', '458', '527']
['159', '499', '250', '74', '612']
['16', '334', '761', '800', '896']
['160', '251', '652', '714', '693']
['161', '756', '94', '418', '821']
['164', '893', '610', '58', '90']
['165', '540', '708', '688', '501']
['166', '196', '75', '972', '554']
['167', '591', '404', '301', '934']
['169', '781', '270', '900', '568']
['170', '391', '712', '717', '709']
['172', '813', '759', '325', '212']
['176', '52', '695', '446', '649']
['177', '173', '174', '62', '971']
['178', '720', '771', '381', '871']
['179', '710', '773', '231', '854']
['180', '426', '254', '740', '739']
['181', '973', '529', '700', '617']
['182', '513', '323', '490', '662']
['183', '494', '304', '867', '994']
['19', '50', '348', '744', '706']
['190', '911', '496', '217', '534']
['192', '519', '884', '305', '691']
['195', '414', '123', '941', '919']
['197', '922', '412', '643', '503']
['198', '168', '460', '93', '864']
['199', '978', '378', '487', '333']
['2', '959', '702', '876', '843']
['201', '163', '560', '634', '762']
['202', '371', '787', '17', '636']
['203', '799', '818', '67', '996']
['205', '267', '54', '851', '850']
['206', '558', '613', '344', '68']
['207', '9', '80', '76', '802']
['209', '641', '910', '343', '565']
['210', '986', '271', '482', '836']
['211', '156', '993', '892', '379']
['213', '592', '724', '394', '767']
['215', '315', '390', '470', '51']
['216', '87', '259', '56', '951']
['218', '764', '585', '575', '601']
['220', '486', '987', '661', '962']
['221', '650', '860', '957', '979']
['222', '10', '777', '701', '750']
['223', '186', '517', '883', '471']
['227', '646', '66', '86', '445']
['228', '583', '111', '608', '763']
['23', '644', '204', '71', '430']
['232', '175', '463', '788', '481']
['236', '91', '360', '121', '570']
['240', '927', '647', '162', '674']
['891', '535', '946', '262', '940']
['243', '567', '582', '400', '574']
['246', '944', '784', '810', '616']
['248', '544', '769', '888', '542']
['249', '396', '47', '171', '797']
['255', '657', '792', '722', '869']
['687', '877', '324', '923', '772']
['258', '932', '89', '955', '65']
['26', '233', '330', '244', '826']
['260', '635', '620', '37', '502']
['261', '912', '672', '571', '751']
['266', '667', '966', '189', '598']
['268', '768', '746', '469', '55']
['27', '291', '968', '975', '509']
['274', '356', '551', '935', '98']
['279', '95', '433', '882', '885']
['280', '677', '20', '931', '956']
['282', '936', '999', '925', '703']
['284', '814', '338', '997', '599']
['286', '122', '846', '318', '984']
['287', '354', '597', '765', '99']
['288', '690', '516', '386', '947']
['29', '948', '809', '79', '497']
['290', '595', '803', '866', '532']
['292', '658', '632', '775', '88']
['295', '317', '576', '277', '786']
['296', '684', '410', '265', '848']
['297', '120', '995', '901', '689']
['298', '5', '930', '696', '577']
['299', '603', '239', '154', '484']
['3', '272', '707', '285', '579']
['30', '63', '253', '621', '728']
['300', '569', '648', '363', '528']
['302', '242', '734', '340', '654']
['303', '863', '731', '681', '852']
['306', '798', '666', '498', '980']
['307', '976', '604', '104', '845']
['308', '506', '38', '952', '659']
['31', '57', '234', '453', '719']
['311', '629', '723', '886', '573']
['312', '507', '61', '791', '405']
['313', '539', '743', '495', '511']
['316', '264', '738', '451', '953']
['319', '444', '413', '754', '822']
['32', '878', '853', '454', '898']
['686', '831', '7', '84', '735']
['322', '741', '985', '679', '965']
['868', '633', '275', '546', '510']
['326', '103', '730', '15', '776']
['33', '96', '283', '273', '485']
['331', '963', '116', '774', '609']
['332', '136', '309', '614', '73']
['335', '855', '46', '443', '590']
['336', '663', '420', '491', '811']
['339', '671', '921', '146', '447']
['34', '950', '226', '157', '796']
['341', '370', '865', '844', '808']
['342', '578', '70', '188', '625']
['345', '81', '278', '547', '238']
['346', '908', '289', '480', '862']
['349', '705', '245', '48', '13']
['35', '59', '982', '783', '392']
['351', '870', '191', '989', '552']
