['381', '211', '3', '489', '378', '393', '721', '764', '610', '663']
['116', '126', '751', '407', '680', '29', '475', '352', '591', '458']
['127', '465', '404', '34', '568', '11', '649', '791', '528', '574']
['206', '220', '266', '274', '67', '688', '711', '659', '379', '796']
['207', '362', '214', '134', '633', '541', '79', '544', '775', '787']
['241', '245', '0', '224', '152', '233', '685', '161', '45', '156']
['256', '516', '669', '773', '26', '81', '238', '447', '39', '87']
['128', '386', '338', '84', '252', '355', '212', '604', '731', '300']
['310', '376', '260', '546', '263', '704', '612', '695', '259', '585']
['359', '98', '232', '223', '35', '350', '333', '626', '770', '38']
['361', '16', '747', '96', '673', '78', '664', '255', '467', '429']
['391', '786', '53', '631', '2', '181', '322', '472', '202', '268']
['449', '68', '788', '410', '258', '606', '556', '455', '83', '409']
['468', '759', '162', '745', '448', '670', '722', '72', '702', '752']
['58', '17', '692', '382', '578', '269', '621', '756', '13', '536']
['700', '632', '421', '627', '590', '723', '406', '351', '52', '298']
['744', '597', '496', '73', '452', '595', '405', '499', '473', '117']
['774', '743', '498', '180', '763', '103', '354', '305', '559', '414']
['108', '675', '155', '653', '483', '230', '767', '244', '661', '642']
['130', '719', '285', '488', '90', '497', '368', '139', '100', '390']
['15', '484', '208', '7', '246', '436', '31', '24', '613', '598']
['163', '226', '342', '339', '645', '183', '630', '470', '283', '618']
['758', '30', '656', '247', '735', '383', '187', '424', '337', '370']
['191', '185', '320', '575', '314', '640', '264', '136', '600', '486']
['201', '168', '124', '754', '565', '123', '144', '619', '460', '319']
['273', '646', '492', '746', '535', '104', '551', '182', '394', '543']
['554', '617', '592', '231', '510', '481', '99', '611', '522', '235']
['549', '176', '5', '485', '491', '526', '457', '648', '40', '423']
['92', '505', '165', '478', '456', '197', '430', '525', '138', '277']
['278', '736', '651', '112', '493', '453', '772', '560', '413', '218']
['282', '794', '48', '357', '571', '140', '715', '396', '86', '512']
['636', '377', '89', '537', '570', '662', '778', '634', '66', '750']
['288', '718', '344', '118', '616', '105', '304', '511', '469', '340']
['290', '151', '175', '306', '236', '562', '172', '289', '74', '690']
['299', '780', '160', '395', '650', '434', '366', '482', '589', '193']
['302', '234', '596', '198', '689', '119', '120', '293', '629', '674']
['308', '271', '374', '346', '451', '133', '682', '91', '284', '462']
['32', '741', '795', '566', '149', '110', '557', '375', '454', '203']
['323', '602', '660', '698', '678', '9', '75', '364', '716', '329']
['327', '221', '601', '623', '643', '228', '325', '101', '243', '318']
['336', '179', '694', '411', '495', '553', '652', '219', '190', '757']
['793', '37', '294', '515', '798', '607', '428', '507', '64', '667']
['581', '620', '588', '97', '587', '432', '728', '189', '384', '412']
['380', '122', '726', '296', '170', '476', '563', '82', '782', '584']
['389', '146', '166', '558', '341', '539', '609', '216', '494', '297']
['392', '313', '440', '681', '401', '59', '192', '19', '545', '402']
['771', '131', '253', '353', '387', '691', '710', '579', '628', '555']
['44', '188', '714', '385', '637', '464', '408', '397', '720', '343']
['143', '324', '444', '365', '330', '164', '265', '10', '95', '46']
['335', '514', '85', '195', '426', '567', '331', '608', '762', '150']
['433', '521', '317', '686', '420', '262', '530', '225', '157', '205']
['443', '250', '717', '153', '614', '309', '147', '527', '65', '36']
['445', '254', '49', '739', '171', '561', '315', '20', '326', '769']
['679', '753', '114', '477', '167', '54', '132', '301', '6', '459']
['471', '169', '178', '474', '518', '148', '785', '237', '576', '249']
['312', '790', '713', '657', '742', '55', '542', '416', '564', '639']
['279', '671', '307', '655', '533', '668', '784', '270', '697', '62']
['749', '513', '360', '724', '316', '94', '257', '699', '356', '61']
['506', '210', '141', '33', '422', '286', '672', '783', '398', '638']
['47', '321', '71', '705', '479', '242', '272', '43', '419', '766']
['523', '706', '69', '50', '520', '708', '12', '580', '605', '60']
['531', '51', '480', '776', '435', '738', '583', '303', '311', '111']
['552', '687', '577', '113', '734', '693', '707', '593', '461', '76']
['503', '276', '275', '267', '77', '781', '654', '348', '701', '524']
['799', '439', '573', '332', '509', '184', '572', '227', '647', '732']
['615', '696', '369', '240', '729', '27', '415', '737', '145', '328']
['367', '281', '174', '438', '417', '373', '121', '635', '21', '57']
['644', '431', '748', '594', '213', '684', '789', '658', '158', '137']
['450', '569', '159', '792', '519', '194', '154', '500', '712', '586']
['292', '388', '42', '599', '56', '425', '347', '508', '142', '441']
['676', '107', '217', '371', '125', '403', '199', '8', '442', '261']
['502', '173', '222', '93', '529', '797', '683', '239', '725', '1']
['70', '251', '363', '517', '624', '106', '490', '22', '427', '229']
['703', '730', '400', '550', '641', '204', '768', '709', '177', '466']
['102', '196', '23', '532', '209', '765', '135', '4', '28', '287']
['501', '534', '582', '463', '761', '115', '779', '80', '200', '41']
['399', '665', '186', '63', '547', '345', '129', '504', '677', '334']
['755', '18', '540', '487', '14', '215', '295', '418', '358', '625']
['777', '109', '437', '740', '760', '25', '291', '446', '548', '280']
['538', '727', '733', '248', '603', '349', '622', '88', '666', '372']
