['140', '807', '139', '468', '238', '681', '167', '633', '779', '805', '559', '550', '802', '387', '68', '597', '273', '44', '906', '263']
['153', '486', '592', '128', '377', '623', '693', '543', '415', '586', '608', '88', '591', '744', '233', '821', '19', '304', '481', '998']
['24', '507', '74', '514', '246', '634', '582', '935', '385', '393', '758', '596', '59', '265', '908', '461', '711', '26', '862', '967']
['247', '832', '268', '503', '770', '270', '401', '212', '264', '334', '221', '622', '808', '495', '930', '992', '241', '880', '355', '941']
['25', '577', '589', '171', '933', '309', '345', '545', '650', '613', '921', '957', '900', '746', '63', '594', '830', '699', '703', '176']
['336', '463', '660', '948', '785', '315', '790', '726', '92', '97', '109', '190', '828', '720', '164', '820', '717', '122', '100', '873']
['358', '368', '444', '218', '231', '518', '914', '822', '567', '864', '877', '520', '298', '491', '913', '897', '934', '306', '215', '766']
['551', '136', '316', '909', '17', '64', '538', '557', '798', '428', '260', '987', '968', '236', '903', '847', '748', '449', '745', '794']
['649', '177', '450', '57', '709', '769', '168', '527', '838', '361', '892', '406', '598', '192', '269', '15', '344', '457', '658', '440']
['878', '216', '695', '21', '694', '531', '994', '475', '49', '925', '978', '767', '860', '685', '267', '77', '764', '889', '843', '869']
['0', '382', '654', '731', '123', '993', '169', '698', '958', '229', '752', '725', '130', '580', '891', '533', '213', '575', '174', '662']
['1', '337', '678', '488', '206', '82', '94', '319', '208', '841', '378', '859', '614', '251', '210', '99', '349', '79', '485', '801']
['10', '405', '329', '454', '803', '223', '36', '478', '747', '854', '953', '573', '675', '61', '916', '81', '977', '187', '327', '989']
['281', '359', '205', '973', '323', '226', '917', '224', '248', '599', '407', '110', '484', '796', '105', '761', '544', '724', '308', '845']
['101', '300', '279', '477', '605', '756', '604', '736', '476', '517', '499', '549', '642', '163', '829', '244', '37', '370', '702', '7']
['102', '618', '701', '763', '243', '612', '78', '974', '351', '951', '117', '759', '714', '411', '189', '565', '237', '641', '751', '866']
['103', '835', '371', '697', '741', '500', '338', '438', '38', '18', '427', '776', '228', '729', '831', '547', '416', '629', '976', '961']
['104', '840', '570', '603', '689', '496', '524', '795', '902', '363', '85', '680', '448', '771', '521', '944', '928', '912', '143', '985']
['160', '940', '749', '242', '23', '667', '293', '552', '515', '773', '920', '257', '850', '939', '149', '350', '424', '2', '181', '464']
['106', '536', '502', '792', '659', '412', '922', '172', '797', '823', '408', '616', '453', '20', '706', '328', '834', '997', '566', '979']
['107', '791', '232', '964', '3', '354', '325', '595', '249', '469', '170', '276', '45', '625', '91', '443', '98', '147', '346', '609']
['108', '760', '816', '617', '278', '380', '158', '435', '548', '115', '127', '884', '466', '640', '317', '710', '217', '541', '347', '54']
['67', '753', '156', '239', '376', '983', '62', '937', '750', '950', '326', '353', '414', '569', '16', '151', '814', '154', '89', '80']
['11', '804', '643', '712', '142', '295', '952', '915', '857', '713', '637', '851', '762', '645', '858', '198', '924', '178', '574', '150']
['818', '995', '250', '12', '620', '197', '708', '784', '76', '439', '585', '811', '602', '506', '341', '421', '303', '946', '195', '161']
['111', '996', '429', '539', '581', '225', '960', '455', '86', '418', '262', '812', '31', '362', '47', '690', '194', '65', '372', '755']
['112', '942', '417', '431', '492', '389', '716', '289', '715', '287', '409', '526', '558', '956', '442', '60', '775', '638', '722', '621']
['113', '576', '209', '782', '384', '93', '522', '460', '734', '535', '926', '833', '867', '684', '931', '446', '193', '809', '339', '740']
['114', '626', '583', '392', '301', '923', '388', '186', '413', '936', '810', '141', '399', '855', '199', '180', '51', '990', '87', '331']
['789', '971', '297', '146', '896', '849', '721', '991', '459', '868', '610', '563', '975', '568', '479', '369', '519', '402', '819', '611']
