['173', '379', '66', '314', '263', '134', '123', '497', '138', '400']
['210', '276', '451', '79', '405', '119', '69', '356', '487', '116']
['216', '137', '413', '248', '223', '120', '427', '102', '52', '417']
['217', '359', '480', '47', '218', '493', '192', '11', '269', '80']
['30', '89', '244', '115', '469', '46', '190', '144', '449', '368']
['34', '40', '107', '432', '498', '176', '489', '479', '349', '268']
['341', '389', '57', '380', '289', '336', '178', '152', '335', '181']
['37', '484', '388', '49', '13', '174', '166', '441', '373', '12']
['424', '444', '113', '187', '17', '65', '177', '339', '371', '362']
['50', '9', '125', '194', '14', '227', '197', '161', '443', '239']
['74', '44', '364', '185', '29', '76', '131', '146', '346', '266']
['126', '358', '186', '255', '315', '429', '108', '326', '403', '70']
['150', '225', '409', '279', '344', '257', '302', '183', '114', '299']
['159', '392', '122', '136', '396', '288', '88', '408', '143', '463']
['169', '250', '92', '58', '415', '55', '410', '351', '188', '311']
['182', '390', '230', '240', '445', '306', '60', '32', '35', '414']
['189', '18', '284', '433', '111', '448', '253', '75', '382', '274']
['204', '121', '321', '206', '378', '320', '301', '418', '207', '7']
['232', '175', '461', '235', '133', '203', '43', '352', '101', '135']
['434', '154', '179', '112', '347', '202', '205', '453', '93', '374']
['236', '313', '193', '158', '221', '300', '439', '282', '22', '395']
['237', '494', '24', '56', '241', '224', '226', '478', '468', '211']
['477', '278', '103', '285', '247', '10', '38', '265', '4', '215']
['258', '430', '460', '401', '442', '97', '63', '421', '420', '485']
['27', '377', '290', '99', '170', '243', '213', '318', '357', '366']
['271', '171', '31', '450', '402', '139', '465', '160', '151', '252']
['28', '273', '128', '184', '62', '249', '458', '129', '291', '474']
['280', '353', '385', '208', '294', '295', '296', '100', '483', '229']
['437', '157', '106', '287', '419', '149', '21', '384', '245', '82']
['316', '238', '165', '488', '132', '59', '367', '319', '8', '404']
['322', '91', '275', '446', '338', '104', '261', '345', '438', '476']
['325', '15', '369', '292', '466', '426', '84', '283', '105', '167']
['327', '117', '272', '81', '399', '54', '397', '98', '464', '68']
['340', '342', '254', '141', '251', '304', '259', '334', '452', '394']
['355', '222', '61', '41', '96', '305', '431', '168', '470', '363']
['36', '372', '310', '407', '375', '309', '118', '387', '328', '219']
['361', '425', '234', '20', '195', '83', '370', '383', '164', '423']
['391', '343', '303', '130', '406', '412', '85', '281', '191', '155']
['393', '16', '233', '45', '231', '436', '153', '381', '348', '428']
['440', '198', '491', '25', '140', '286', '72', '124', '172', '473']
['270', '39', '53', '471', '246', '6', '350', '209', '94', '495']
['486', '199', '201', '95', '333', '256', '71', '19', '42', '5']
['490', '323', '337', '214', '87', '260', '277', '3', '360', '482']
['499', '33', '200', '64', '416', '267', '472', '48', '462', '307']
['51', '142', '386', '2', '312', '147', '459', '228', '196', '262']
['67', '220', '145', '329', '264', '148', '109', '90', '332', '212']
['0', '457', '180', '23', '308', '354', '467', '492', '481', '411']
['365', '317', '330', '293', '86', '163', '331', '297', '73', '447']
['156', '456', '455', '162', '127', '1', '110', '496', '435', '26']
['422', '398', '475', '454', '376', '78', '77', '324', '242', '298']
