['832', '459', '964', '854', '123', '394', '773', '223', '115', '991', '447', '480', '148', '998', '259', '568', '680', '444', '730', '802', '62', '274', '712', '83', '859', '673', '53', '57', '960', '709', '612', '764', '88', '878', '789', '715', '184', '598', '528', '795', '214', '555', '314', '384', '644', '837', '415', '825', '424', '95']
['937', '573', '865', '336', '560', '489', '563', '798', '575', '838', '291', '170', '877', '691', '68', '840', '982', '852', '814', '622', '305', '731', '85', '907', '718', '139', '402', '836', '359', '111', '595', '828', '818', '750', '15', '293', '67', '779', '959', '810', '154', '171', '853', '475', '728', '22', '543', '428', '231', '666']
['345', '106', '445', '76', '484', '582', '150', '6', '625', '927', '701', '768', '371', '474', '845', '862', '533', '881', '39', '775', '238', '781', '308', '547', '388', '298', '412', '687', '588', '693', '462', '957', '395', '648', '536', '578', '143', '341', '922', '201', '283', '502', '379', '544', '159', '78', '570', '997', '915', '912']
['249', '158', '494', '37', '310', '185', '319', '672', '137', '236', '713', '477', '119', '873', '351', '52', '34', '13', '128', '716', '192', '950', '698', '149', '857', '133', '574', '501', '391', '897', '60', '571', '465', '50', '554', '48', '182', '277', '498', '427', '800', '213', '667', '808', '913', '920', '989', '765', '63', '286']
['84', '178', '772', '113', '866', '827', '54', '458', '153', '968', '160', '591', '350', '431', '514', '86', '850', '165', '103', '108', '834', '983', '747', '592', '456', '46', '651', '493', '179', '898', '497', '670', '175', '743', '986', '403', '934', '197', '683', '135', '225', '375', '454', '209', '187', '219', '273', '257', '652', '25']
['117', '517', '628', '626', '962', '399', '735', '710', '44', '495', '451', '844', '20', '942', '717', '408', '8', '956', '917', '879', '946', '842', '42', '218', '414', '639', '668', '871', '861', '12', '948', '697', '260', '510', '744', '338', '926', '736', '423', '811', '682', '677', '104', '176', '354', '45', '663', '649', '935', '342']
['127', '615', '250', '316', '993', '110', '751', '755', '376', '233', '98', '601', '125', '72', '614', '619', '56', '124', '94', '156', '405', '657', '686', '19', '557', '785', '265', '256', '503', '945', '32', '343', '450', '994', '40', '638', '23', '972', '377', '508', '43', '151', '515', '294', '411', '161', '17', '355', '365', '967']
['193', '90', '47', '360', '325', '593', '443', '461', '268', '733', '105', '446', '518', '315', '694', '419', '352', '49', '460', '788', '392', '623', '887', '594', '987', '121', '177', '754', '741', '876', '31', '762', '362', '464', '387', '556', '855', '481', '851', '689', '210', '737', '51', '564', '490', '783', '499', '0', '276', '910']
['287', '953', '546', '815', '939', '14', '516', '328', '724', '664', '246', '71', '348', '422', '226', '726', '126', '627', '947', '537', '597', '931', '270', '332', '232', '378', '157', '636', '26', '11', '212', '729', '295', '429', '254', '75', '916', '457', '224', '839', '349', '529', '936', '599', '727', '696', '146', '641', '799', '933']
['748', '41', '220', '777', '739', '681', '361', '523', '425', '835', '199', '796', '618', '905', '552', '374', '740', '706', '91', '787', '468', '995', '807', '284', '841', '24', '363', '204', '318', '684', '820', '261', '27', '16', '413', '890', '992', '758', '690', '116', '356', '864', '279', '975', '892', '703', '333', '262', '801', '549']
['767', '470', '969', '806', '64', '826', '918', '661', '891', '300', '561', '963', '455', '430', '189', '858', '145', '4', '18', '970', '164', '152', '7', '965', '629', '420', '191', '883', '974', '275', '821', '504', '899', '609', '527', '971', '296', '140', '526', '195', '923', '886', '299', '509', '719', '307', '903', '216', '479', '409']
['73', '921', '322', '708', '562', '885', '69', '393', '805', '976', '321', '647', '759', '1', '577', '520', '407', '109', '653', '532', '674', '867', '266', '904', '264', '36', '327', '621', '999', '930', '453', '996', '389', '471', '373', '112', '830', '530', '784', '608', '742', '985', '980', '507', '334', '671', '400', '255', '242', '749']
['602', '437', '272', '662', '70', '202', '382', '659', '606', '848', '725', '169', '700', '524', '688', '640', '335', '603', '803', '794', '566', '367', '849', '569', '585', '29', '869', '358', '92', '304', '80', '776', '617', '136', '228', '10', '941', '235', '183', '330', '353', '707', '604', '620', '417', '357', '793', '188', '234', '874']
['340', '206', '567', '285', '611', '174', '401', '539', '74', '381', '466', '645', '380', '829', '131', '943', '478', '263', '118', '531', '766', '79', '288', '406', '435', '320', '364', '929', '581', '656', '9', '418', '589', '771', '227', '168', '565', '584', '269', '247', '535', '469', '951', '643', '819', '253', '323', '240', '824', '780']
['5', '889', '914', '203', '966', '984', '181', '655', '720', '572', '823', '875', '281', '297', '895', '432', '944', '3', '421', '607', '979', '107', '138', '282', '433', '426', '753', '198', '211', '2', '180', '476', '952', '205', '541', '760', '452', '196', '267', '551', '790', '369', '909', '843', '856', '488', '624', '436', '251', '940']
['745', '292', '230', '525', '704', '65', '290', '132', '30', '924', '513', '245', '580', '658', '637', '312', '194', '35', '505', '506', '746', '82', '732', '863', '207', '370', '398', '248', '38', '438', '472', '383', '486', '239', '396', '309', '955', '632', '326', '833', '96', '723', '346', '491', '938', '778', '685', '186', '990', '243']
['576', '331', '337', '366', '888', '404', '752', '416', '339', '311', '55', '676', '229', '669', '59', '679', '977', '467', '660', '893', '280', '252', '122', '162', '317', '586', '200', '512', '97', '763', '208', '237', '347', '901', '954', '221', '303', '631', '988', '978', '630', '813', '596', '538', '847', '721', '258', '711', '89', '163']
['587', '434', '925', '583', '900', '66', '141', '600', '559', '306', '822', '665', '809', '87', '884', '244', '846', '167', '872', '129', '482', '390', '756', '313', '190', '548', '77', '448', '831', '786', '215', '705', '579', '93', '932', '761', '439', '616', '33', '385', '386', '816', '289', '463', '550', '692', '908', '646', '496', '500']
['542', '928', '440', '633', '699', '485', '714', '134', '634', '397', '492', '114', '654', '558', '545', '61', '797', '173', '102', '791', '28', '868', '860', '678', '81', '344', '804', '675', '441', '896', '882', '610', '817', '519', '906', '880', '894', '483', '521', '770', '774', '241', '702', '278', '769', '540', '166', '144', '100', '329']
['981', '21', '958', '368', '870', '58', '155', '222', '120', '919', '782', '487', '372', '302', '642', '605', '511', '324', '172', '553', '147', '650', '635', '949', '449', '534', '902', '442', '961', '217', '101', '590', '99', '301', '734', '792', '738', '722', '757', '973', '812', '473', '695', '911', '613', '130', '142', '410', '271', '522']
