['1', '97', '168', '512', '120', '564', '903', '319', '870', '892']
['102', '523', '888', '453', '948', '770', '245', '534', '227', '650']
['103', '107', '931', '345', '131', '904', '717', '569', '748', '786']
['104', '17', '674', '908', '381', '230', '680', '890', '354', '304']
['109', '296', '167', '216', '611', '386', '169', '922', '471', '752']
['115', '691', '399', '614', '41', '313', '54', '781', '191', '559']
['116', '240', '181', '895', '814', '798', '803', '897', '774', '996']
['117', '333', '909', '965', '825', '509', '592', '974', '503', '307']
['118', '541', '468', '741', '539', '744', '515', '613', '779', '687']
['119', '112', '609', '349', '61', '440', '205', '121', '265', '445']
['12', '565', '111', '889', '583', '755', '547', '128', '20', '462']
['122', '743', '527', '401', '811', '209', '525', '294', '318', '863']
['132', '417', '347', '907', '824', '331', '423', '101', '44', '602']
['133', '712', '37', '65', '721', '178', '817', '454', '646', '416']
['134', '928', '641', '47', '425', '801', '930', '558', '229', '932']
['135', '722', '573', '993', '765', '108', '806', '234', '540', '637']
['136', '267', '56', '883', '164', '314', '251', '214', '737', '829']
['139', '615', '287', '849', '555', '745', '290', '608', '689', '976']
['14', '324', '921', '617', '663', '952', '511', '886', '894', '340']
['140', '177', '38', '472', '452', '581', '91', '576', '275', '378']
['141', '953', '355', '450', '753', '808', '189', '3', '762', '910']
['145', '93', '215', '720', '283', '10', '475', '110', '661', '731']
['146', '126', '281', '639', '696', '259', '432', '67', '945', '72']
['147', '704', '309', '686', '561', '723', '256', '224', '444', '526']
['152', '975', '598', '434', '552', '760', '165', '962', '589', '388']
['154', '757', '730', '289', '271', '305', '249', '344', '699', '353']
['155', '194', '709', '524', '918', '342', '621', '428', '833', '963']
['156', '681', '84', '669', '16', '960', '222', '160', '964', '449']
['157', '707', '269', '212', '985', '366', '500', '746', '233', '935']
['533', '53', '368', '986', '955', '73', '706', '912', '604', '83']
['161', '13', '977', '763', '421', '330', '659', '758', '137', '830']
['163', '371', '532', '35', '124', '790', '595', '185', '861', '62']
['166', '761', '852', '905', '508', '241', '562', '838', '58', '142']
['170', '915', '477', '692', '393', '988', '635', '939', '284', '942']
['171', '502', '577', '36', '11', '94', '519', '487', '574', '882']
['172', '535', '451', '891', '427', '59', '826', '620', '884', '299']
['179', '933', '483', '791', '280', '967', '326', '301', '924', '626']
['182', '220', '402', '893', '498', '144', '858', '991', '860', '784']
['184', '328', '480', '866', '201', '195', '983', '665', '998', '34']
['186', '298', '113', '492', '531', '315', '644', '248', '237', '601']
['19', '666', '685', '235', '359', '859', '174', '846', '926', '916']
['190', '143', '412', '226', '476', '800', '578', '622', '545', '900']
['192', '664', '210', '465', '338', '292', '772', '153', '406', '51']
['197', '848', '851', '293', '616', '911', '566', '966', '777', '865']
['198', '994', '878', '818', '82', '506', '528', '672', '841', '33']
['2', '193', '365', '961', '795', '776', '968', '917', '247', '792']
['200', '262', '675', '25', '87', '490', '489', '79', '754', '464']
['202', '749', '845', '920', '273', '793', '716', '872', '435', '947']
['203', '812', '645', '218', '992', '396', '636', '520', '726', '618']
['208', '356', '175', '403', '588', '973', '95', '221', '332', '499']
['21', '981', '446', '461', '308', '64', '310', '940', '719', '582']
['211', '688', '374', '651', '188', '383', '376', '470', '542', '89']
['151', '837', '880', '885', '868', '693', '823', '563', '896', '949']
['213', '844', '796', '742', '937', '944', '799', '286', '278', '927']
['327', '129', '656', '343', '560', '380', '491', '363', '352', '670']
['99', '902', '312', '75', '459', '647', '302', '632', '594', '68']
['219', '231', '76', '297', '387', '45', '223', '778', '303', '839']
['81', '391', '630', '414', '529', '50', '733', '311', '549', '593']
['750', '767', '827', '367', '15', '874', '351', '159', '725', '66']
['225', '978', '125', '987', '898', '729', '982', '8', '530', '138']
['787', '398', '479', '628', '676', '847', '162', '789', '766', '426']
['228', '317', '516', '369', '538', '22', '455', '40', '100', '323']
['232', '835', '127', '372', '702', '173', '254', '867', '456', '607']
['773', '788', '63', '88', '597', '279', '958', '517', '274', '596']
['236', '629', '114', '496', '819', '919', '624', '105', '951', '158']
['238', '90', '106', '698', '424', '419', '714', '404', '625', '458']
['239', '207', '24', '4', '715', '831', '149', '206', '771', '634']
['901', '623', '436', '871', '580', '204', '682', '150', '822', '418']
['433', '667', '995', '361', '705', '954', '98', '821', '485', '306']
['242', '999', '437', '828', '6', '60', '469', '972', '217', '802']
['243', '187', '794', '382', '570', '929', '183', '7', '567', '70']
['244', '957', '196', '605', '711', '785', '457', '612', '551', '443']
['679', '77', '683', '855', '899', '460', '881', '842', '673', '467']
['990', '690', '782', '32', '840', '906', '474', '92', '339', '554']
['250', '478', '385', '747', '553', '85', '584', '739', '23', '80']
['252', '148', '272', '724', '969', '497', '429', '18', '441', '862']
['395', '514', '648', '843', '52', '336', '74', '375', '57', '572']
['255', '606', '984', '320', '738', '660', '334', '941', '619', '959']
['971', '668', '400', '775', '643', '807', '493', '864', '768', '501']
['257', '751', '718', '780', '877', '649', '322', '266', '684', '556']
['258', '813', '86', '850', '734', '397', '337', '638', '887', '357']
['26', '30', '677', '873', '394', '548', '505', '543', '362', '39']
['260', '0', '253', '740', '96', '713', '55', '285', '591', '700']
['261', '710', '439', '350', '71', '914', '655', '703', '557', '300']
['263', '246', '277', '946', '708', '809', '373', '546', '180', '980']
['264', '78', '658', '346', '448', '640', '836', '442', '473', '657']
['513', '325', '123', '727', '568', '494', '695', '364', '510', '913']
['268', '769', '411', '652', '413', '199', '295', '537', '384', '5']
['27', '783', '482', '599', '943', '832', '408', '764', '938', '348']
['270', '989', '662', '697', '671', '979', '518', '522', '507', '875']
['627', '31', '415', '410', '360', '579', '923', '341', '575', '631']
['276', '654', '816', '329', '407', '438', '321', '970', '701', '956']
['759', '590', '9', '736', '805', '853', '43', '732', '876', '316']
['854', '69', '420', '550', '466', '735', '925', '389', '430', '810']
['422', '585', '370', '536', '504', '481', '409', '694', '797', '48']
['488', '642', '405', '610', '950', '49', '936', '521', '484', '335']
['804', '633', '431', '282', '600', '678', '390', '869', '392', '486']
['288', '176', '377', '820', '571', '815', '28', '879', '857', '603']
['29', '756', '42', '587', '358', '728', '463', '447', '544', '379']
['291', '934', '130', '856', '495', '834', '653', '46', '586', '997']
