['260', '446', '24', '831', '815', '658', '637', '864', '414', '363', '493', '729', '185', '347', '886', '879', '274', '769', '340', '50', '385', '560', '650', '738', '26']
['43', '92', '433', '778', '900', '964', '228', '338', '524', '517', '929', '11', '234', '331', '308', '989', '955', '264', '584', '651', '206', '641', '844', '476', '137']
['636', '743', '615', '399', '357', '482', '151', '30', '388', '239', '492', '247', '673', '39', '173', '887', '892', '583', '408', '700', '516', '603', '532', '704', '14']
['672', '779', '684', '940', '227', '281', '728', '961', '401', '155', '975', '371', '570', '180', '923', '883', '716', '629', '193', '971', '336', '167', '866', '919', '998']
['957', '328', '736', '575', '708', '366', '602', '298', '416', '731', '99', '430', '676', '959', '754', '204', '413', '107', '251', '296', '742', '582', '461', '73', '202']
['114', '760', '674', '909', '862', '752', '633', '240', '285', '232', '841', '139', '564', '686', '102', '393', '387', '889', '689', '376', '163', '623', '759', '216', '994']
['428', '398', '481', '521', '383', '263', '640', '421', '750', '233', '162', '382', '441', '411', '283', '721', '473', '448', '751', '968', '431', '117', '467', '527', '170']
['848', '553', '918', '555', '356', '477', '930', '973', '621', '854', '89', '725', '374', '192', '827', '538', '770', '128', '88', '691', '468', '977', '55', '389', '865']
['823', '508', '962', '463', '937', '936', '951', '415', '938', '638', '342', '267', '370', '855', '996', '707', '881', '666', '84', '31', '816', '460', '327', '806', '713']
['537', '435', '235', '365', '945', '804', '758', '190', '120', '484', '16', '727', '515', '453', '747', '3', '210', '51', '983', '891', '40', '125', '737', '149', '851']
['722', '897', '546', '568', '786', '179', '559', '810', '306', '253', '901', '592', '34', '323', '771', '598', '271', '141', '888', '908', '926', '456', '268', '993', '579']
['321', '23', '748', '188', '782', '628', '706', '443', '45', '70', '990', '178', '100', '367', '329', '904', '944', '212', '176', '720', '522', '711', '259', '949', '877']
['643', '920', '109', '614', '422', '61', '375', '735', '607', '585', '533', '417', '694', '110', '847', '551', '739', '410', '270', '548', '220', '869', '846', '223', '893']
['842', '577', '589', '325', '278', '781', '817', '860', '766', '894', '690', '153', '857', '169', '965', '362', '808', '821', '921', '183', '309', '698', '332', '761', '639']
['972', '60', '488', '717', '932', '991', '319', '379', '78', '226', '826', '911', '502', '69', '616', '86', '512', '576', '792', '653', '660', '675', '880', '619', '160']
['168', '838', '418', '343', '368', '741', '715', '514', '425', '80', '871', '903', '434', '181', '140', '611', '8', '839', '561', '799', '753', '420', '744', '90', '353']
['451', '165', '626', '302', '333', '934', '593', '604', '875', '224', '984', '612', '186', '914', '939', '777', '196', '667', '466', '243', '66', '648', '135', '123', '746']
['999', '71', '697', '510', '142', '656', '498', '762', '573', '985', '953', '499', '346', '211', '600', '245', '836', '587', '763', '845', '910', '599', '442', '96', '963']
['578', '158', '978', '483', '57', '299', '775', '337', '5', '133', '556', '856', '246', '594', '458', '174', '542', '789', '797', '588', '124', '95', '632', '490', '917']
['718', '825', '526', '236', '229', '187', '355', '136', '912', '29', '312', '32', '784', '292', '419', '10', '535', '757', '693', '943', '928', '17', '714', '785', '360']
['284', '814', '348', '793', '207', '655', '523', '318', '56', '412', '669', '7', '238', '22', '213', '222', '171', '25', '272', '390', '249', '310', '380', '76', '286']
['164', '81', '19', '273', '489', '9', '505', '111', '301', '373', '927', '199', '712', '58', '361', '447', '465', '622', '289', '867', '159', '83', '472', '15', '970']
['801', '710', '280', '287', '354', '946', '874', '905', '221', '386', '485', '507', '773', '776', '520', '652', '678', '254', '372', '63', '200', '341', '935', '805', '948']
['405', '680', '924', '692', '244', '646', '495', '705', '294', '668', '35', '890', '381', '884', '262', '334', '454', '409', '74', '950', '540', '307', '36', '843', '645']
['437', '93', '601', '590', '835', '613', '436', '82', '208', '113', '459', '266', '541', '812', '832', '958', '662', '819', '359', '631', '868', '432', '230', '172', '679']
['724', '67', '829', '4', '313', '300', '351', '803', '28', '682', '549', '683', '189', '723', '166', '696', '384', '833', '18', '275', '265', '876', '13', '543', '740']
['121', '795', '503', '269', '647', '519', '21', '48', '303', '719', '834', '134', '322', '995', '464', '756', '618', '150', '439', '858', '539', '345', '352', '931', '878']
['457', '317', '617', '59', '33', '219', '528', '941', '257', '471', '237', '116', '52', '475', '369', '898', '470', '214', '624', '478', '663', '902', '581', '529', '68']
['506', '811', '97', '807', '424', '291', '670', '277', '992', '732', '824', '293', '276', '509', '248', '788', '820', '565', '279', '105', '745', '642', '215', '203', '148']
['550', '813', '395', '94', '818', '38', '530', '677', '774', '634', '106', '161', '664', '225', '544', '755', '734', '438', '954', '987', '209', '440', '241', '794', '870']
['201', '324', '396', '1', '462', '44', '783', '452', '497', '837', '326', '217', '859', '486', '218', '980', '849', '563', '828', '288', '574', '733', '701', '685', '791']
['487', '258', '976', '809', '474', '256', '392', '378', '145', '547', '146', '635', '255', '608', '861', '610', '261', '494', '127', '620', '197', '132', '112', '231', '144']
['566', '606', '988', '449', '981', '654', '822', '191', '644', '787', '586', '339', '986', '764', '687', '500', '572', '966', '406', '850', '122', '397', '885', '703', '536']
['130', '104', '391', '513', '252', '305', '315', '798', '625', '562', '545', '455', '730', '922', '41', '156', '772', '571', '198', '840', '427', '316', '335', '349', '525']
['800', '115', '518', '852', '580', '534', '6', '942', '597', '154', '726', '131', '402', '394', '558', '915', '873', '79', '423', '2', '184', '101', '659', '969', '630']
['913', '591', '596', '103', '426', '364', '195', '65', '242', '152', '960', '595', '491', '480', '403', '496', '906', '330', '479', '147', '91', '899', '469', '531', '952']
['681', '72', '344', '304', '407', '297', '882', '98', '765', '780', '20', '557', '699', '400', '767', '54', '605', '49', '295', '311', '46', '47', '661', '688', '925']
['872', '609', '12', '702', '695', '445', '802', '182', '709', '933', '768', '53', '982', '126', '85', '282', '129', '404', '0', '853', '974', '863', '501', '350', '790']
['895', '37', '796', '671', '511', '657', '108', '967', '42', '916', '320', '143', '62', '907', '444', '997', '175', '554', '250', '314', '749', '947', '138', '896', '77']
['429', '377', '979', '87', '194', '552', '504', '64', '27', '956', '649', '205', '290', '665', '358', '450', '177', '567', '157', '75', '118', '830', '119', '627', '569']
