['10', '712', '947', '867', '674', '615', '537', '945', '386', '90', '479', '690', '936', '372', '368', '212', '469', '326', '573', '254', '697', '81', '944', '793', '481', '647', '7', '732', '920', '47', '431', '987', '180', '888', '982', '607', '464', '692', '319', '553', '735', '413', '626', '980', '877', '699', '595', '807', '817', '761', '261', '0', '80', '925', '128', '339', '167', '865', '680', '425', '886', '563', '833', '321', '104', '141', '19', '814', '953', '923', '915', '766', '330', '983', '812', '930', '541', '967', '731', '902', '637', '445', '852', '268', '390', '907', '654', '853', '743', '818', '571', '624', '976', '374', '702', '256', '603', '866', '42', '582', '58', '219', '371', '269', '460', '716', '801', '74', '770', '854', '776', '830', '725', '606', '938', '613', '106', '773', '870', '403', '658', '85', '336', '509', '585', '957', '621', '940', '194', '210', '524', '653', '966', '781', '879', '884', '988', '360', '356', '602', '574', '672', '655', '749', '816', '13', '485', '46', '855', '844', '848', '800', '708', '629', '696', '710', '31', '328', '892', '948', '862', '561', '641', '610', '695', '39', '748', '929', '284', '470', '294', '736', '741', '298', '335', '108', '178', '467', '949', '878', '250', '142', '407', '63', '933', '623', '359', '788', '99', '733', '694', '729', '805', '542', '969', '612', '111', '649', '160', '984', '619', '604', '100', '617', '394', '427', '688', '715', '263', '835', '782', '448', '116', '547', '189', '718', '145', '15', '48', '896', '350', '444', '711', '93', '714', '565', '292', '555', '575', '76', '465', '240', '843', '97', '794', '115', '747', '909', '36', '2', '752', '88', '587', '660', '997', '875', '935', '832', '707', '466', '513', '786', '151', '148', '171', '636', '259', '96', '901', '86', '73', '917', '765', '705', '874', '55', '137', '304', '667', '810', '559', '904', '754', '824', '594', '922', '92', '977', '850', '815', '871', '955', '745', '313', '16', '77', '597', '543', '954', '973', '685', '937', '676', '522', '778', '643', '779', '576', '796', '663', '158', '62', '544', '668', '662', '560', '857', '887', '631', '962', '638', '83', '979', '723', '760', '322', '493', '682', '316', '963', '820', '838', '683', '899', '679', '578', '64', '872', '924', '671', '898', '206', '900', '889', '552', '192']
['101', '125']
['102', '635']
['103', '249']
['105', '968']
['107', '3']
['109', '903']
['11', '433']
['110', '12']
['112', '486']
['114', '429']
['117', '880']
['118', '895']
['119', '379']
['789', '27']
['121', '868']
['122', '876']
['123', '780']
['670', '406']
['126', '562']
['127', '300']
['129', '634']
['131', '274']
['132', '589']
['133', '487']
['135', '251']
['138', '958']
['139', '247']
['14', '454']
['140', '301']
['143', '797']
['144', '82']
['146', '320']
['147', '235']
['149', '311']
['150', '156']
['152', '483']
['153', '646']
['154', '669']
['155', '919']
['245', '822']
['157', '419']
['159', '428']
['161', '803']
['162', '916']
['163', '784']
['164', '169']
['165', '918']
['166', '764']
['168', '897']
['24', '851']
['17', '539']
['170', '511']
['173', '959']
['174', '342']
['175', '811']
['176', '312']
['179', '650']
['181', '70']
['182', '550']
['183', '910']
['185', '981']
['186', '893']
['187', '744']
['190', '706']
['191', '828']
['193', '719']
['195', '891']
['197', '996']
['198', '285']
['199', '385']
['20', '449']
['201', '881']
['202', '792']
['203', '738']
['204', '491']
['205', '405']
['207', '942']
['208', '534']
['209', '369']
['213', '556']
['214', '551']
['215', '586']
['216', '746']
['217', '72']
['218', '408']
['22', '395']
['220', '826']
['221', '230']
['222', '911']
['224', '642']
['225', '232']
['226', '373']
['227', '863']
['228', '829']
['229', '61']
['23', '353']
['628', '267']
['231', '404']
['992', '177']
['234', '757']
['914', '622']
['236', '885']
['238', '657']
['239', '32']
['242', '644']
['243', '497']
['244', '461']
['709', '568']
['248', '730']
['120', '459']
['25', '57']
['69', '68']
['252', '689']
['253', '640']
['258', '737']
['26', '382']
['260', '545']
['262', '840']
['264', '831']
['265', '451']
['266', '6']
['823', '593']
['94', '557']
['271', '384']
['272', '383']
['273', '912']
['488', '961']
['275', '775']
['276', '704']
['277', '455']
['278', '952']
['279', '869']
['28', '665']
['280', '846']
['281', '494']
['282', '858']
['283', '675']
['839', '89']
['286', '590']
['287', '995']
['288', '331']
['289', '620']
['29', '802']
['290', '825']
['293', '648']
['295', '516']
