['238', '553', '468', '764', '544', '86', '56', '883', '81', '311', '929', '549', '837', '44', '970', '882', '495', '708', '294', '488']
['596', '111', '124', '491', '143', '240', '861', '184', '416', '506', '232', '532', '483', '426', '419', '415', '947', '180', '193', '21']
['163', '881', '648', '176', '93', '719', '378', '690', '706', '255', '349', '392', '851', '70', '586', '829', '786', '809', '716', '68']
['389', '981', '515', '973', '582', '949', '273', '423', '633', '394', '868', '840', '16', '835', '41', '961', '747', '658', '253', '337']
['754', '589', '203', '637', '873', '159', '327', '780', '646', '365', '272', '195', '687', '857', '980', '356', '148', '441', '196', '566']
['816', '28', '959', '207', '534', '136', '548', '599', '498', '920', '714', '821', '496', '569', '715', '33', '300', '156', '424', '595']
['169', '630', '466', '597', '399', '290', '957', '770', '575', '319', '696', '173', '261', '146', '673', '934', '522', '366', '535', '178']
['181', '692', '119', '669', '955', '905', '974', '371', '795', '276', '251', '299', '579', '541', '110', '486', '353', '514', '546', '435']
['504', '76', '841', '936', '743', '622', '938', '382', '236', '239', '713', '314', '702', '403', '775', '336', '197', '46', '777', '268']
['508', '746', '287', '259', '812', '798', '992', '993', '820', '59', '677', '825', '210', '462', '312', '357', '130', '380', '932', '461']
['614', '26', '906', '128', '31', '350', '444', '758', '524', '129', '456', '723', '651', '732', '432', '58', '591', '585', '953', '578']
['643', '753', '709', '678', '712', '22', '458', '969', '359', '472', '246', '894', '757', '703', '666', '979', '649', '639', '787', '71']
['730', '494', '540', '601', '808', '580', '513', '241', '674', '545', '768', '682', '103', '818', '681', '215', '52', '661', '581', '157']
['745', '27', '139', '636', '951', '604', '843', '577', '728', '329', '0', '516', '34', '788', '230', '865', '879', '695', '182', '476']
['790', '736', '565', '994', '335', '24', '411', '368', '916', '101', '621', '610', '607', '151', '391', '13', '308', '225', '114', '686']
['872', '613', '944', '45', '626', '292', '84', '647', '539', '948', '237', '304', '18', '470', '360', '907', '641', '234', '249', '262']
['988', '49', '446', '489', '39', '717', '256', '64', '761', '1', '87', '744', '168', '191', '291', '170', '185', '592', '910', '209']
['105', '464', '247', '862', '166', '455', '968', '6', '459', '519', '971', '631', '3', '526', '779', '502', '452', '999', '370', '567']
['106', '123', '109', '431', '660', '844', '963', '527', '400', '457', '5', '529', '375', '14', '8', '990', '62', '126', '583', '517']
['164', '839', '986', '886', '79', '765', '344', '25', '20', '134', '600', '172', '531', '914', '853', '171', '771', '654', '228', '440']
['17', '298', '899', '72', '97', '481', '657', '179', '10', '487', '263', '796', '536', '700', '331', '557', '926', '406', '800', '480']
['208', '29', '131', '154', '266', '258', '874', '755', '901', '12', '453', '902', '433', '397', '405', '941', '670', '751', '277', '96']
['243', '804', '954', '766', '442', '785', '741', '675', '867', '836', '507', '220', '373', '939', '940', '274', '351', '436', '345', '250']
['257', '387', '676', '364', '347', '852', '23', '216', '47', '628', '315', '386', '306', '313', '235', '78', '854', '846', '414', '876']
['289', '704', '663', '175', '449', '831', '889', '80', '379', '396', '330', '118', '987', '638', '284', '634', '402', '460', '227', '217']
['307', '737', '871', '479', '935', '726', '492', '408', '302', '802', '149', '376', '587', '576', '830', '500', '542', '367', '869', '893']
['322', '352', '904', '694', '477', '748', '550', '120', '834', '323', '731', '806', '588', '832', '188', '571', '782', '845', '930', '810']
['326', '928', '211', '499', '962', '385', '850', '921', '82', '281', '427', '69', '430', '279', '659', '915', '805', '778', '11', '933']
['332', '625', '267', '92', '409', '471', '558', '995', '303', '162', '280', '671', '718', '598', '572', '645', '891', '183', '54', '475']
['393', '410', '420', '474', '413', '799', '923', '958', '121', '733', '900', '877', '377', '9', '898', '317', '662', '74', '826', '484']
['192', '965', '395', '104', '297', '689', '620', '759', '603', '848', '328', '369', '469', '525', '309', '533', '226', '325', '711', '190']
['142', '248', '214', '293', '739', '897', '511', '212', '680', '100', '847', '811', '918', '75', '133', '278', '991', '760', '204', '892']
['482', '264', '318', '219', '161', '752', '88', '605', '855', '750', '967', '701', '975', '447', '624', '283', '42', '561', '305', '722']
['556', '859', '358', '562', '966', '89', '503', '135', '155', '756', '61', '186', '769', '887', '725', '99', '707', '784', '48', '141']
['57', '594', '908', '698', '271', '937', '827', '776', '655', '341', '922', '815', '875', '467', '199', '463', '448', '956', '909', '927']
['570', '36', '838', '422', '950', '774', '428', '187', '90', '884', '265', '833', '997', '53', '619', '127', '65', '734', '445', '301']
['590', '288', '863', '137', '642', '485', '388', '618', '555', '828', '783', '174', '381', '363', '679', '797', '781', '635', '856', '165']
['925', '160', '984', '50', '2', '102', '890', '616', '346', '978', '789', '206', '688', '740', '85', '697', '611', '98', '584', '40']
['684', '814', '888', '878', '942', '194', '612', '478', '903', '443', '523', '55', '982', '152', '606', '189', '229', '465', '221', '383']
['724', '202', '552', '51', '94', '140', '960', '632', '509', '473', '83', '538', '324', '223', '858', '67', '295', '672', '95', '822']
['729', '554', '727', '819', '384', '122', '551', '437', '510', '321', '66', '407', '792', '917', '563', '158', '773', '125', '147', '342']
['73', '627', '252', '374', '113', '112', '490', '683', '362', '108', '244', '560', '275', '390', '943', '438', '269', '153', '132', '521']
['537', '167', '231', '767', '801', '505', '361', '107', '404', '205', '896', '245', '735', '985', '699', '564', '807', '913', '398', '528']
['742', '721', '668', '924', '218', '286', '530', '270', '952', '138', '870', '653', '749', '501', '30', '7', '77', '450', '972', '593']
['343', '803', '794', '296', '609', '4', '691', '412', '282', '144', '989', '35', '177', '945', '425', '793', '720', '493', '667', '849']
['285', '617', '421', '354', '547', '372', '568', '763', '629', '656', '866', '964', '738', '693', '355', '145', '644', '320', '454', '911']
['772', '19', '340', '434', '842', '198', '38', '602', '224', '37', '222', '710', '573', '615', '931', '338', '559', '976', '15', '200']
['824', '497', '417', '333', '864', '116', '983', '912', '977', '860', '334', '254', '418', '115', '574', '316', '201', '63', '762', '885']
['60', '520', '242', '117', '543', '664', '685', '518', '652', '650', '919', '260', '512', '310', '998', '43', '429', '348', '895', '640']
