['1', '97', '168', '512', '120', '564', '903', '319', '870', '321']
['102', '523', '888', '453', '948', '770', '245', '534', '227', '530']
['103', '107', '931', '345', '131', '904', '717', '569', '748', '570']
['104', '17', '674', '908', '381', '230', '680', '890', '354', '850']
['109', '296', '167', '216', '611', '386', '169', '922', '471', '493']
['115', '691', '399', '614', '41', '313', '54', '781', '191', '947']
['116', '240', '181', '895', '814', '798', '540', '765', '379', '544']
['117', '333', '909', '965', '825', '509', '592', '974', '503', '389']
['118', '541', '468', '741', '539', '744', '515', '613', '779', '375']
['119', '112', '609', '349', '61', '440', '880', '151', '837', '601']
['12', '949', '3', '753', '350', '189', '355', '519', '412', '567']
['122', '743', '527', '401', '811', '209', '525', '294', '318', '407']
['132', '417', '347', '907', '824', '331', '423', '101', '44', '316']
['133', '712', '37', '65', '721', '121', '178', '817', '454', '797']
['134', '928', '641', '47', '425', '801', '930', '558', '229', '513']
['135', '722', '573', '993', '108', '832', '336', '408', '943', '981']
['136', '267', '56', '883', '164', '314', '251', '214', '737', '462']
['139', '615', '287', '849', '555', '745', '290', '608', '689', '180']
['14', '324', '921', '617', '663', '952', '633', '804', '431', '820']
['140', '177', '38', '775', '971', '668', '400', '643', '807', '784']
['141', '953', '450', '514', '395', '648', '829', '159', '15', '756']
['145', '93', '215', '720', '283', '10', '475', '110', '661', '568']
['146', '126', '281', '639', '576', '696', '563', '452', '902', '716']
['147', '704', '806', '309', '686', '561', '723', '256', '224', '610']
['152', '975', '598', '59', '427', '451', '535', '172', '891', '176']
['154', '757', '730', '289', '271', '305', '760', '434', '552', '40']
['155', '194', '709', '524', '918', '342', '621', '428', '833', '8']
['156', '681', '84', '531', '315', '644', '248', '237', '659', '989']
['157', '707', '269', '212', '985', '366', '448', '658', '346', '488']
['16', '669', '960', '729', '987', '125', '898', '978', '225', '526']
['161', '693', '885', '868', '640', '174', '846', '926', '494', '929']
['163', '371', '532', '484', '521', '486', '618', '637', '388', '217']
['166', '761', '852', '676', '628', '777', '715', '966', '4', '839']
['170', '915', '477', '692', '393', '988', '635', '939', '284', '556']
['171', '502', '577', '36', '11', '94', '487', '574', '446', '699']
['889', '755', '111', '547', '128', '20', '585', '583', '565', '821']
['179', '933', '483', '791', '280', '967', '900', '480', '201', '479']
['182', '220', '402', '893', '498', '144', '858', '991', '860', '642']
['184', '328', '866', '282', '50', '600', '678', '414', '714', '369']
['186', '710', '439', '261', '262', '675', '200', '25', '185', '822']
['19', '666', '685', '235', '359', '859', '630', '81', '391', '805']
['190', '143', '226', '196', '605', '957', '840', '32', '906', '343']
['192', '664', '210', '465', '338', '292', '772', '153', '406', '390']
['197', '848', '851', '293', '511', '616', '886', '894', '813', '634']
['198', '861', '790', '913', '124', '595', '35', '815', '28', '958']
['2', '193', '365', '708', '809', '946', '259', '67', '945', '994']
['491', '560', '700', '83', '129', '912', '380', '327', '575', '7']
['202', '749', '845', '920', '273', '793', '752', '137', '467', '99']
['203', '812', '976', '857', '299', '127', '234', '372', '835', '306']
['208', '758', '421', '536', '763', '330', '604', '706', '74', '787']
['21', '962', '593', '206', '378', '501', '764', '594', '302', '82']
['211', '688', '374', '651', '188', '383', '96', '253', '713', '34']
['956', '322', '266', '684', '158', '335', '603', '862', '66', '853']
['213', '844', '796', '970', '701', '392', '986', '533', '53', '485']
['579', '360', '923', '917', '795', '247', '961', '776', '968', '627']
['218', '645', '992', '995', '162', '667', '705', '847', '433', '972']
['219', '231', '76', '272', '969', '148', '497', '429', '724', '31']
['221', '95', '403', '175', '588', '973', '396', '636', '520', '274']
['774', '320', '897', '738', '660', '803', '625', '419', '106', '650']
['778', '223', '45', '303', '387', '297', '734', '397', '337', '694']
['867', '456', '951', '382', '105', '624', '586', '18', '441', '249']
['228', '410', '404', '424', '670', '481', '351', '504', '409', '854']
['232', '865', '596', '964', '222', '160', '357', '582', '998', '936']
['87', '490', '489', '687', '727', '123', '325', '443', '5', '571']
['236', '629', '114', '496', '819', '919', '818', '589', '878', '459']
['238', '90', '698', '51', '980', '999', '437', '828', '6', '307']
['239', '207', '24', '623', '436', '871', '901', '580', '204', '89']
['13', '977', '550', '69', '420', '916', '549', '529', '311', '317']
['241', '508', '905', '358', '42', '587', '728', '463', '447', '646']
['242', '352', '432', '697', '882', '473', '495', '566', '554', '312']
['243', '187', '794', '597', '788', '773', '88', '63', '279', '368']
['244', '766', '276', '672', '841', '27', '80', '275', '422', '458']
['551', '457', '736', '785', '711', '612', '702', '173', '254', '48']
['334', '941', '619', '652', '464', '875', '329', '816', '654', '332']
['250', '478', '385', '937', '742', '799', '286', '944', '278', '517']
['252', '842', '881', '673', '768', '864', '631', '874', '827', '879']
['367', '767', '750', '780', '751', '718', '257', '682', '877', '982']
['255', '606', '984', '55', '285', '591', '195', '665', '559', '344']
['528', '506', '783', '165', '482', '599', '786', '149', '938', '43']
['725', '23', '340', '739', '71', '914', '655', '703', '557', '301']
['258', '719', '940', '308', '461', '64', '310', '518', '979', '430']
['26', '30', '677', '873', '394', '548', '455', '538', '22', '647']
['260', '0', '740', '942', '142', '460', '855', '683', '899', '138']
['91', '472', '581', '843', '927', '70', '810', '298', '113', '52']
['263', '246', '277', '77', '679', '638', '887', '288', '449', '435']
['264', '537', '295', '384', '62', '199', '413', '869', '363', '545']
['265', '205', '546', '373', '910', '33', '584', '85', '553', '826']
['268', '769', '411', '934', '130', '856', '671', '622', '578', '732']
['607', '996', '476', '800', '863', '884', '892', '620', '39', '935']
['270', '150', '416', '415', '831', '771', '72', '98', '426', '377']
['341', '823', '896', '300', '726', '802', '950', '789', '49', '326']
['542', '376', '470', '370', '590', '759', '9', '323', '339', '657']
['469', '60', '959', '353', '602', '690', '990', '782', '632', '924']
['735', '466', '925', '68', '830', '510', '364', '695', '438', '516']
['474', '92', '505', '543', '362', '100', '572', '997', '733', '405']
['444', '522', '75', '762', '808', '356', '838', '58', '562', '792']
['731', '233', '662', '955', '73', '418', '361', '492', '398', '872']
['911', '932', '507', '442', '836', '57', '499', '348', '183', '649']
['29', '963', '754', '79', '656', '653', '46', '834', '983', '86']
['291', '954', '445', '746', '500', '304', '626', '876', '78', '747']
